 #number of gauss points = 50
                  #q              psi(q)
        0.0008903241        1.1775249654
        0.0046873146        1.1775014783
        0.0115033829        1.1773790588
        0.0213154895        1.1770219558
        0.0340908735        1.1762376244
        0.0497908600        1.1747806188
        0.0683741946        1.1723576725
        0.0898007680        1.1686339732
        0.1140356841        1.1632406066
        0.1410535753        1.1557831477
        0.1708430913        1.1458513572
        0.2034115207        1.1330299389
        0.2387895516        1.1169103128
        0.2770362229        1.0971033522
        0.3182441709        1.0732530368
        0.3625453321        1.0450509561
        0.4101173192        1.0122515696
        0.4611907577        0.9746880742
        0.5160579467        0.9322886281
        0.5750833095        0.8850925453
        0.6387162255        0.8332658845
        0.7075070081        0.7771156258
        0.7821270256        0.7171013769
        0.8633942859        0.6538432959
        0.9523062594        0.5881247016
        1.0500823554        0.5208877052
        1.1582193864        0.4532201638
        1.2785646926        0.3863323415
        1.4134135614        0.3215218348
        1.5656405148        0.2601255203
        1.7388784956        0.2034574687
        1.9377668853        0.1527319920
        2.1683001735        0.1089716412
        2.4383266765        0.0729019746
        2.7582757561        0.0448399275
        3.1422413712        0.0245925863
        3.6096362762        0.0113985497
        4.1877879212        0.0039597334
        4.9161423931        0.0006117379
        5.8533241967       -0.0003596077
        7.0895048046       -0.0003419327
        8.7691849102       -0.0001451983
       11.1357622291       -0.0000368359
       14.6254008022       -0.0000058466
       20.0840073662       -0.0000005870
       29.3333639346       -0.0000000339
       46.9142405700       -0.0000000009
       86.9309500134       -0.0000000000
      213.3417725702       -0.0000000000
     1123.1864616060       -0.0000000000
