 #number of gauss points = 50
                  #q              psi(q)
        0.0008903241        1.5597820216
        0.0046873146        1.5596777122
        0.0115033829        1.5591346578
        0.0213154895        1.5575519710
        0.0340908735        1.5540832399
        0.0497908600        1.5476665930
        0.0683741946        1.5370730365
        0.0898007680        1.5209773958
        0.1140356841        1.4980538560
        0.1410535753        1.4670933075
        0.1708430913        1.4271335325
        0.2034115207        1.3775864921
        0.2387895516        1.3183422342
        0.2770362229        1.2498285581
        0.3182441709        1.1730111350
        0.3625453321        1.0893297063
        0.4101173192        1.0005793248
        0.4611907577        0.9087570246
        0.5160579467        0.8159000871
        0.5750833095        0.7239407540
        0.6387162255        0.6345951661
        0.7075070081        0.5492945626
        0.7821270256        0.4691576370
        0.8633942859        0.3949965688
        0.9523062594        0.3273462554
        1.0500823554        0.2665061213
        1.1582193864        0.2125854904
        1.2785646926        0.1655458026
        1.4134135614        0.1252352091
        1.5656405148        0.0914129249
        1.7388784956        0.0637621713
        1.9377668853        0.0418918442
        2.1683001735        0.0253286267
        2.4383266765        0.0135035904
        2.7582757561        0.0057406493
        3.1422413712        0.0012580954
        3.6096362762       -0.0008030237
        4.1877879212       -0.0013126461
        4.9161423931       -0.0010495488
