 #                Euler method to solve the differential equation
 #              step size h =  0.15
 #                         
 #           x                        y               exact               error
 #                         
            0.000000            0.000000            0.000000            0.303379
           -0.153846           -0.307692           -0.264859            0.161723
           -0.307692           -0.520710           -0.459567            0.133045
           -0.461538           -0.668184           -0.602705            0.108641
           -0.615385           -0.770281           -0.707932            0.088072
           -0.769231           -0.840964           -0.785289            0.070898
           -0.923077           -0.889898           -0.842157            0.056689
           -1.076923           -0.923776           -0.883963            0.045039
           -1.230769           -0.947229           -0.914696            0.035567
           -1.384615           -0.963466           -0.937290            0.027928
           -1.538462           -0.974708           -0.953899            0.021814
           -1.692308           -0.982490           -0.966109            0.016955
           -1.846154           -0.987878           -0.975086            0.013119
           -2.000000           -0.991608           -0.981684            0.010108
            0.000000            0.000000            0.000000            0.010108
            0.153846            0.307692            0.360282            0.145969
            0.307692            0.710059            0.850368            0.164998
            0.461538            1.236231            1.517023            0.185094
            0.615385            1.924302            2.423862            0.206101
            0.769231            2.824088            3.657419            0.227847
            0.923077            4.000730            5.335406            0.250154
            1.076923            5.539416            7.617941            0.272846
            1.230769            7.551544           10.722833            0.295751
            1.384615           10.182789           14.946363            0.318711
            1.538462           13.623647           20.691556            0.341584
            1.692308           18.123230           28.506642            0.364245
            1.846154           24.007301           39.137365            0.386589
            2.000000           31.701856           53.598150            0.408527
