              #x          answer           exact           error
        0.000000        0.000000        0.000000        0.000000
        0.100000        0.221435        0.221403        0.000033
        0.200000        0.491904        0.491825        0.000080
        0.300000        0.822265        0.822119        0.000146
        0.400000        1.225778        1.225541        0.000237
        0.500000        1.718644        1.718282        0.000363
        0.600000        2.320648        2.320117        0.000531
        0.700000        3.055957        3.055200        0.000757
        0.800000        3.954089        3.953032        0.001057
        0.900000        5.051100        5.049647        0.001452
        1.000000        6.391027        6.389056        0.001971
        1.100000        8.027662        8.025013        0.002648
        1.200000       10.026705       10.023176        0.003529
        1.300000       12.468407       12.463738        0.004669
        1.400000       15.450789       15.444647        0.006142
        1.500000       19.093574       19.085537        0.008037
        1.600000       23.543001       23.532530        0.010471
        1.700000       28.977686       28.964100        0.013586
        1.800000       35.615800       35.598234        0.017565
        1.900000       43.723818       43.701184        0.022633
        2.000000       53.627220       53.598150        0.029070
        0.000000        0.000000        0.000000        0.000000
       -0.100000       -0.181291       -0.181269        0.000022
       -0.200000       -0.329716       -0.329680        0.000036
       -0.300000       -0.451232       -0.451188        0.000044
       -0.400000       -0.550719       -0.550671        0.000048
       -0.500000       -0.632170       -0.632121        0.000049
       -0.600000       -0.698854       -0.698806        0.000048
       -0.700000       -0.753449       -0.753403        0.000046
       -0.800000       -0.798147       -0.798103        0.000043
       -0.900000       -0.834741       -0.834701        0.000040
       -1.000000       -0.864701       -0.864665        0.000036
       -1.100000       -0.889229       -0.889197        0.000033
       -1.200000       -0.909311       -0.909282        0.000029
       -1.300000       -0.925752       -0.925726        0.000026
       -1.400000       -0.939213       -0.939190        0.000023
       -1.500000       -0.950233       -0.950213        0.000020
       -1.600000       -0.959254       -0.959238        0.000016
       -1.700000       -0.966639       -0.966627        0.000012
       -1.800000       -0.972682       -0.972676        0.000006
       -1.900000       -0.977623       -0.977629        0.000006
       -2.000000       -0.981653       -0.981684        0.000031
