 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x            Energy    Relative error
 
      0.500000D-01      0.951058D+00      0.197389D+02      0.131879D-02
      0.100000D+00      0.809035D+00      0.197387D+02      0.263756D-02
      0.150000D+00      0.587833D+00      0.197384D+02      0.395632D-02
      0.200000D+00      0.309102D+00      0.197382D+02      0.527505D-02
      0.250000D+00      0.123039D-03      0.197379D+02      0.659377D-02
      0.300000D+00     -0.308864D+00      0.197376D+02      0.791248D-02
      0.350000D+00     -0.587619D+00      0.197374D+02      0.923116D-02
      0.400000D+00     -0.808859D+00      0.197371D+02      0.105498D-01
      0.450000D+00     -0.950932D+00      0.197369D+02      0.118685D-01
      0.500000D+00     -0.999934D+00      0.197366D+02      0.131871D-01
      0.550000D+00     -0.951071D+00      0.197363D+02      0.145057D-01
      0.600000D+00     -0.809127D+00      0.197361D+02      0.158243D-01
      0.650000D+00     -0.587994D+00      0.197358D+02      0.171429D-01
      0.700000D+00     -0.309316D+00      0.197356D+02      0.184615D-01
      0.750000D+00     -0.369093D-03      0.197353D+02      0.197800D-01
      0.800000D+00      0.308610D+00      0.197350D+02      0.210985D-01
      0.850000D+00      0.587381D+00      0.197348D+02      0.224171D-01
      0.900000D+00      0.808661D+00      0.197345D+02      0.237356D-01
      0.950000D+00      0.950793D+00      0.197343D+02      0.250540D-01
      0.100000D+01      0.999868D+00      0.197340D+02      0.263725D-01
      0.105000D+01      0.951084D+00      0.197337D+02      0.276909D-01
      0.110000D+01      0.809218D+00      0.197335D+02      0.290094D-01
      0.115000D+01      0.588154D+00      0.197332D+02      0.303278D-01
      0.120000D+01      0.309530D+00      0.197330D+02      0.316462D-01
      0.125000D+01      0.615115D-03      0.197327D+02      0.329645D-01
      0.130000D+01     -0.308356D+00      0.197324D+02      0.342829D-01
      0.135000D+01     -0.587143D+00      0.197322D+02      0.356012D-01
      0.140000D+01     -0.808463D+00      0.197319D+02      0.369195D-01
      0.145000D+01     -0.950654D+00      0.197317D+02      0.382378D-01
      0.150000D+01     -0.999802D+00      0.197314D+02      0.395561D-01
      0.155000D+01     -0.951098D+00      0.197311D+02      0.408744D-01
      0.160000D+01     -0.809309D+00      0.197309D+02      0.421926D-01
      0.165000D+01     -0.588314D+00      0.197306D+02      0.435109D-01
      0.170000D+01     -0.309743D+00      0.197304D+02      0.448291D-01
      0.175000D+01     -0.861104D-03      0.197301D+02      0.461473D-01
      0.180000D+01      0.308101D+00      0.197298D+02      0.474655D-01
      0.185000D+01      0.586905D+00      0.197296D+02      0.487836D-01
      0.190000D+01      0.808264D+00      0.197293D+02      0.501018D-01
      0.195000D+01      0.950515D+00      0.197291D+02      0.514199D-01
      0.200000D+01      0.999736D+00      0.197288D+02      0.527380D-01
      0.205000D+01      0.951111D+00      0.197285D+02      0.540561D-01
      0.210000D+01      0.809400D+00      0.197283D+02      0.553742D-01
      0.215000D+01      0.588474D+00      0.197280D+02      0.566923D-01
      0.220000D+01      0.309957D+00      0.197278D+02      0.580103D-01
      0.225000D+01      0.110706D-02      0.197275D+02      0.593283D-01
      0.230000D+01     -0.307847D+00      0.197272D+02      0.606463D-01
      0.235000D+01     -0.586667D+00      0.197270D+02      0.619643D-01
      0.240000D+01     -0.808066D+00      0.197267D+02      0.632823D-01
      0.245000D+01     -0.950376D+00      0.197265D+02      0.646002D-01
      0.250000D+01     -0.999670D+00      0.197262D+02      0.659182D-01
      0.255000D+01     -0.951124D+00      0.197259D+02      0.672361D-01
      0.260000D+01     -0.809491D+00      0.197257D+02      0.685540D-01
      0.265000D+01     -0.588634D+00      0.197254D+02      0.698719D-01
      0.270000D+01     -0.310170D+00      0.197252D+02      0.711898D-01
      0.275000D+01     -0.135298D-02      0.197249D+02      0.725076D-01
      0.280000D+01      0.307592D+00      0.197246D+02      0.738254D-01
      0.285000D+01      0.586429D+00      0.197244D+02      0.751433D-01
      0.290000D+01      0.807868D+00      0.197241D+02      0.764611D-01
      0.295000D+01      0.950237D+00      0.197239D+02      0.777788D-01
      0.300000D+01      0.999603D+00      0.197236D+02      0.790966D-01
      0.305000D+01      0.951137D+00      0.197233D+02      0.804143D-01
      0.310000D+01      0.809582D+00      0.197231D+02      0.817321D-01
      0.315000D+01      0.588794D+00      0.197228D+02      0.830498D-01
      0.320000D+01      0.310383D+00      0.197226D+02      0.843675D-01
      0.325000D+01      0.159888D-02      0.197223D+02      0.856852D-01
      0.330000D+01     -0.307338D+00      0.197220D+02      0.870028D-01
      0.335000D+01     -0.586192D+00      0.197218D+02      0.883205D-01
      0.340000D+01     -0.807670D+00      0.197215D+02      0.896381D-01
