 #     x               legendre p( 3 ,x)
  -.998999            -0.993996292
  -.997999            -0.988018771
  -.996999            -0.982056240
  -.995999            -0.976108673
  -.994999            -0.970176050
  -.993999            -0.964258356
  -.992999            -0.958355573
  -.991999            -0.952467687
  -.990999            -0.946594683
  -.989999            -0.940736544
  -.988999            -0.934893255
  -.987999            -0.929064802
  -.986999            -0.923251170
  -.985999            -0.917452343
  -.984999            -0.911668306
  -.983999            -0.905899045
  -.982999            -0.900144544
  -.981999            -0.894404788
  -.980999            -0.888679762
  -.979999            -0.882969451
  -.978999            -0.877273841
  -.977999            -0.871592915
  -.976999            -0.865926660
  -.975999            -0.860275059
  -.974999            -0.854638099
  -.973999            -0.849015764
  -.972999            -0.843408039
  -.971999            -0.837814908
  -.970999            -0.832236358
  -.969999            -0.826672373
  -.968999            -0.821122938
  -.967999            -0.815588038
  -.966999            -0.810067657
  -.965999            -0.804561782
  -.964999            -0.799070397
  -.963999            -0.793593487
  -.962999            -0.788131036
  -.961999            -0.782683031
  -.960999            -0.777249456
  -.959999            -0.771830295
  -.958999            -0.766425535
  -.957999            -0.761035159
  -.956999            -0.755659154
  -.955999            -0.750297503
  -.954999            -0.744950193
  -.953999            -0.739617207
  -.952999            -0.734298531
  -.951999            -0.728994151
  -.950999            -0.723704050
  -.949999            -0.718428214
  -.948999            -0.713166628
  -.947999            -0.707919277
  -.946999            -0.702686146
  -.945999            -0.697467220
  -.944999            -0.692262484
  -.943999            -0.687071923
  -.942999            -0.681895522
  -.941999            -0.676733265
  -.940999            -0.671585139
  -.939999            -0.666451128
  -.938999            -0.661331216
  -.937999            -0.656225390
  -.936999            -0.651133633
  -.935999            -0.646055931
  -.934999            -0.640992269
  -.933999            -0.635942633
  -.932999            -0.630907006
  -.931999            -0.625885374
  -.930999            -0.620877722
  -.929999            -0.615884035
  -.928999            -0.610904297
  -.927999            -0.605938495
  -.926999            -0.600986613
  -.925999            -0.596048636
  -.924999            -0.591124548
  -.923999            -0.586214336
  -.922999            -0.581317983
  -.921999            -0.576435475
  -.920999            -0.571566798
  -.919999            -0.566711935
  -.918999            -0.561870872
  -.917999            -0.557043594
  -.916999            -0.552230086
  -.915999            -0.547430333
  -.914999            -0.542644320
  -.913999            -0.537872031
  -.912999            -0.533113453
  -.911999            -0.528368570
  -.910999            -0.523637366
  -.909999            -0.518919828
  -.908999            -0.514215939
  -.907999            -0.509525685
  -.906999            -0.504849052
  -.905999            -0.500186023
  -.904999            -0.495536584
  -.903999            -0.490900720
  -.902999            -0.486278416
  -.901999            -0.481669656
  -.900999            -0.477074427
  -.899999            -0.472492713
  -.898999            -0.467924499
  -.897999            -0.463369769
  -.896999            -0.458828509
  -.895999            -0.454300705
  -.894999            -0.449786340
