 #     x               legendre p( 3 ,x)
  -.998999            -0.993996292
  -.898999            -0.467924499
  -.798999            -0.076702162
  -.698999             0.194670944
  -.598999             0.361194764
  -.498999             0.437869224
  -.398999             0.439694250
  -.298999             0.381669763
  -.198999             0.278795682
  -.098999             0.146071926
  0.001001            -0.001501586
  0.101001            -0.148924937
  0.201001            -0.281198211
  0.301001            -0.383321492
  0.401001            -0.440294865
  0.501001            -0.437118416
  0.601001            -0.358792232
  0.701001            -0.190316403
  0.801001             0.083308976
  0.901001             0.477083795
