   #x      l     jdown unnormalized value
  0.10    49     0.100800E+04
  0.10    48     0.997919E+06
  0.10    47     0.967980E+09
  0.10    46     0.919580E+12
  0.10    45     0.855209E+15
  0.10    44     0.778239E+18
  0.10    43     0.692632E+21
  0.10    42     0.602589E+24
  0.10    41     0.512200E+27
  0.10    40     0.425125E+30
  0.10    39     0.344351E+33
  0.10    38     0.272037E+36
  0.10    37     0.209468E+39
  0.10    36     0.157101E+42
  0.10    35     0.114683E+45
  0.10    34     0.814250E+47
  0.10    33     0.561832E+50
  0.10    32     0.376426E+53
  0.10    31     0.244677E+56
  0.10    30     0.154146E+59
  0.10    29     0.940287E+61
  0.10    28     0.554768E+64
  0.10    27     0.316217E+67
  0.10    26     0.173919E+70
  0.10    25     0.921766E+72
  0.10    24     0.470099E+75
  0.10    23     0.230347E+78
  0.10    22     0.108263E+81
  0.10    21     0.487181E+83
  0.10    20     0.209487E+86
  0.10    19     0.858890E+88
  0.10    18     0.334965E+91
  0.10    17     0.123936E+94
  0.10    16     0.433773E+96
  0.10    15     0.143144E+99
  0.10    14     0.443742+101
  0.10    13     0.128684+104
  0.10    12     0.347442+106
  0.10    11     0.868591+108
  0.10    10     0.199772+111
  0.10     9     0.419514+113
  0.10     8     0.797056+115
  0.10     7     0.135495+118
  0.10     6     0.203235+120
  0.10     5     0.264192+122
  0.10     4     0.290591+124
  0.10     3     0.261505+126
  0.10     2     0.183025+128
  0.10     1     0.914862+129
  0.10     0     0.274275+131
