 #----------------------------------------------------------------
 #   x     l       jup           jdown               relative difference 
  0.10     0     0.998334E+00    0.998330E+00        0.208819E-05
  0.10     1     0.333000E-01    0.332999E-01        0.208819E-05
  0.10     2     0.666191E-03    0.666188E-03        0.208815E-05
  0.10     3     0.951852E-05    0.951848E-05        0.195957E-05
  0.10     4     0.105601E-06    0.105772E-06        0.808542E-03
  0.10     5    -0.144570E-07    0.961627E-09        0.100000E+01
  0.10     6    -0.169587E-05    0.739751E-11        0.100000E+01
  0.10     7    -0.220448E-03    0.493187E-13        0.100000E+01
  0.10     8    -0.330656E-01    0.290119E-15        0.100000E+01
  0.10     9    -0.562093E+01    0.152698E-17        0.100000E+01
  0.10    10    -0.106794E+04    0.727148E-20        0.100000E+01
  0.10    11    -0.224262E+06    0.316157E-22        0.100000E+01
  0.10    12    -0.515793E+08    0.126465E-24        0.100000E+01
  0.10    13    -0.128946E+11    0.468393E-27        0.100000E+01
  0.10    14    -0.348149E+13    0.161517E-29        0.100000E+01
  0.10    15    -0.100962E+16    0.521027E-32        0.100000E+01
  0.10    16    -0.312979E+18    0.157888E-34        0.100000E+01
  0.10    17    -0.103282E+21    0.451113E-37        0.100000E+01
  0.10    18    -0.361484E+23    0.121923E-39        0.100000E+01
  0.10    19    -0.133748E+26    0.312626E-42        0.100000E+01
  0.10    20    -0.521613E+28    0.762506E-45        0.100000E+01
  0.10    21    -0.213860E+31    0.177328E-47        0.100000E+01
  0.10    22    -0.919593E+33    0.394064E-50        0.100000E+01
  0.10    23    -0.413815E+36    0.838437E-53        0.100000E+01
  0.10    24    -0.194492E+39    0.171110E-55        0.100000E+01
  0.10    25    -0.953007E+41    0.335512E-58        0.100000E+01
 #----------------------------------------------------------------
