 #Search Root via Bisection Method : 
   #ieration        root(x)           f(x)
   1              0.55000         -0.29497E+01
   2              0.32500         -0.10454E+01
   3              0.21250          0.10647E+00
   4              0.26875         -0.49505E+00
   5              0.24063         -0.20196E+00
   6              0.22656         -0.49872E-01
   7              0.21953          0.27736E-01
   8              0.22305         -0.11205E-01
   9              0.22129          0.82309E-02
  10              0.22217         -0.14956E-02
  11              0.22173          0.33655E-02
  12              0.22195          0.93439E-03
  13              0.22206         -0.28074E-03
  14              0.22200          0.32679E-03
  15              0.22203          0.23018E-04
  16              0.22204         -0.12886E-03
  17              0.22204         -0.52924E-04
  18              0.22203         -0.14953E-04
  19              0.22203          0.40322E-05
  20              0.22203         -0.54605E-05
  21              0.22203         -0.71415E-06
  22              0.22203          0.16590E-05
  23              0.22203          0.47244E-06
  24              0.22203         -0.12086E-06
