 #Search Root via Newton-Raphson Secant Method : 
     #iteration    root      Function Value
    1               0.10      0.798E+03
    2               0.20      0.129E+04
    3               0.30      0.106E+04
    4               0.40      0.812E+03
    5               0.50      0.608E+03
    6               0.60      0.452E+03
    7               0.70      0.334E+03
    8               0.80      0.246E+03
    9               0.90      0.180E+03
   10               1.00      0.132E+03
   11               1.10      0.962E+02
   12               1.20      0.698E+02
   13               1.30      0.504E+02
   14               1.40      0.362E+02
   15               1.50      0.258E+02
   16               1.60      0.181E+02
   17               1.70      0.126E+02
   18               1.80      0.852E+01
   19               1.90      0.558E+01
   20               2.00      0.347E+01
   21               2.10      0.196E+01
   22               2.20      0.881E+00
   23               2.30      0.126E+00
   24               2.40     -0.396E+00
   25               2.32     -0.185E-01
   26               2.32      0.293E-02
   27               2.32     -0.176E-04
 
    #the value of Y(x) =            -0.17E-07   at x =       2.32
