              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02   -0.433249E-01    0.566028E+00   -0.455712E-02    0.954353E+00    0.876057E-02    0.108775E+01
    0.320000E+02   -0.687498E-02    0.931136E+00    0.179640E-02    0.101799E+01   -0.170606E-01    0.829109E+00
    0.256000E+02   -0.592293E-02    0.940672E+00   -0.180566E-02    0.981913E+00   -0.182218E-02    0.981748E+00
    0.204800E+02   -0.563464E-01    0.435596E+00    0.709634E-02    0.107108E+01    0.215028E-01    0.121539E+01
    0.163840E+02   -0.104291E+00    0.446476E-01   -0.114971E-01    0.884837E+00    0.303497E-01    0.130400E+01
    0.131072E+02   -0.147556E-01    0.852198E+00   -0.406931E-02    0.959239E+00    0.683215E-02    0.106844E+01
    0.104858E+02   -0.132889E+00    0.331108E+00    0.164246E-01    0.116452E+01   -0.307121E-01    0.692366E+00
    0.838861E+01   -0.189290E+00    0.896060E+00    0.206786E-01    0.120713E+01   -0.617738E-01    0.381231E+00
    0.671089E+01   -0.195261E-01    0.804414E+00    0.631424E-02    0.106325E+01   -0.809921E-01    0.188728E+00
    0.536871E+01   -0.575100E-01    0.423940E+00   -0.164187E-01    0.835539E+00   -0.911222E-01    0.872578E-01
    0.429497E+01   -0.304338E+00    0.204846E+01   -0.389701E-01    0.609648E+00   -0.959780E-01    0.386184E-01
    0.343597E+01   -0.558281E+00    0.459212E+01   -0.574823E-01    0.424217E+00   -0.981741E-01    0.166210E-01
    0.274878E+01   -0.710293E+00    0.611479E+01   -0.712418E-01    0.286393E+00   -0.991319E-01    0.702699E-02
    0.219902E+01   -0.755131E+00    0.656391E+01   -0.808997E-01    0.189653E+00   -0.995402E-01    0.293715E-02
    0.175922E+01   -0.727280E+00    0.628493E+01   -0.874486E-01    0.124054E+00   -0.997117E-01    0.121875E-02
    0.140737E+01   -0.661960E+00    0.563064E+01   -0.917958E-01    0.805099E-01   -0.997832E-01    0.503358E-03
    0.112590E+01   -0.583449E+00    0.484422E+01   -0.946433E-01    0.519881E-01   -0.998127E-01    0.207272E-03
    0.900720E+00   -0.505493E+00    0.406337E+01   -0.964927E-01    0.334629E-01   -0.998249E-01    0.851875E-04
    0.720576E+00   -0.434658E+00    0.335383E+01   -0.976875E-01    0.214946E-01   -0.998299E-01    0.349687E-04
    0.576461E+00   -0.373331E+00    0.273954E+01   -0.984568E-01    0.137887E-01   -0.998320E-01    0.143431E-04
    0.461169E+00   -0.321727E+00    0.222264E+01   -0.989511E-01    0.883799E-02   -0.998328E-01    0.588018E-05
    0.368935E+00   -0.279057E+00    0.179523E+01   -0.992682E-01    0.566173E-02   -0.998332E-01    0.240989E-05
    0.295148E+00   -0.244164E+00    0.144572E+01   -0.994714E-01    0.362573E-02   -0.998333E-01    0.987452E-06
    0.236118E+00   -0.215833E+00    0.116193E+01   -0.996017E-01    0.232138E-02   -0.998334E-01    0.404555E-06
    0.188895E+00   -0.192937E+00    0.932591E+00   -0.996851E-01    0.148605E-02   -0.998334E-01    0.165730E-06
    0.151116E+00   -0.174491E+00    0.747825E+00   -0.997385E-01    0.951227E-03   -0.998334E-01    0.678897E-07
    0.120893E+00   -0.159662E+00    0.599279E+00   -0.997726E-01    0.608848E-03   -0.998334E-01    0.278093E-07
    0.967141E-01   -0.147756E+00    0.480024E+00   -0.997945E-01    0.389688E-03   -0.998334E-01    0.113911E-07
    0.773713E-01   -0.138207E+00    0.384376E+00   -0.998085E-01    0.249411E-03   -0.998334E-01    0.466593E-08
    0.618970E-01   -0.130554E+00    0.307716E+00   -0.998175E-01    0.159627E-03   -0.998334E-01    0.191118E-08
    0.495176E-01   -0.124423E+00    0.246303E+00   -0.998232E-01    0.102163E-03   -0.998334E-01    0.782831E-09
    0.396141E-01   -0.119513E+00    0.197122E+00   -0.998269E-01    0.653852E-04   -0.998334E-01    0.320646E-09
    0.316913E-01   -0.115582E+00    0.157747E+00   -0.998292E-01    0.418468E-04   -0.998334E-01    0.131311E-09
    0.253530E-01   -0.112435E+00    0.126228E+00   -0.998307E-01    0.267821E-04   -0.998334E-01    0.537252E-10
    0.202824E-01   -0.109917E+00    0.101002E+00   -0.998317E-01    0.171406E-04   -0.998334E-01    0.220997E-10
    0.162259E-01   -0.107901E+00    0.808134E-01   -0.998323E-01    0.109700E-04   -0.998334E-01    0.910053E-11
    0.129807E-01   -0.106288E+00    0.646582E-01   -0.998327E-01    0.702080E-05   -0.998334E-01    0.356059E-11
    0.103846E-01   -0.104998E+00    0.517313E-01   -0.998330E-01    0.449332E-05   -0.998334E-01    0.157595E-11
    0.830767E-02   -0.103965E+00    0.413881E-01   -0.998331E-01    0.287573E-05   -0.998334E-01    0.826272E-12
    0.664614E-02   -0.103139E+00    0.331124E-01   -0.998332E-01    0.184046E-05   -0.998334E-01    0.257445E-12
    0.531691E-02   -0.102478E+00    0.264911E-01   -0.998333E-01    0.117790E-05   -0.998334E-01    0.750651E-14
    0.425353E-02   -0.101949E+00    0.211937E-01   -0.998333E-01    0.753855E-06   -0.998334E-01    0.114544E-12
    0.340282E-02   -0.101526E+00    0.169554E-01   -0.998334E-01    0.482467E-06   -0.998334E-01    0.275239E-13
    0.272226E-02   -0.101188E+00    0.135646E-01   -0.998334E-01    0.308779E-06   -0.998334E-01    0.517115E-12
    0.217781E-02   -0.100917E+00    0.108519E-01   -0.998334E-01    0.197619E-06   -0.998334E-01    0.129696E-12
    0.174225E-02   -0.100700E+00    0.868166E-02   -0.998334E-01    0.126476E-06   -0.998334E-01    0.300121E-12
