              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02   -0.433249E-01    0.566028E+00   -0.455714E-02    0.954353E+00    0.876061E-02    0.108775E+01
    0.320000E+02   -0.687495E-02    0.931136E+00    0.179641E-02    0.101799E+01   -0.170607E-01    0.829109E+00
    0.256000E+02   -0.592295E-02    0.940672E+00   -0.180566E-02    0.981913E+00   -0.182217E-02    0.981748E+00
    0.204800E+02   -0.563464E-01    0.435596E+00    0.709637E-02    0.107108E+01    0.215028E-01    0.121539E+01
    0.163840E+02   -0.104291E+00    0.446479E-01   -0.114971E-01    0.884837E+00    0.303497E-01    0.130400E+01
    0.131072E+02   -0.147555E-01    0.852199E+00   -0.406930E-02    0.959239E+00    0.683214E-02    0.106844E+01
    0.104858E+02   -0.132889E+00    0.331109E+00    0.164246E-01    0.116452E+01   -0.307121E-01    0.692366E+00
    0.838861E+01   -0.189290E+00    0.896060E+00    0.206785E-01    0.120713E+01   -0.617738E-01    0.381231E+00
    0.671089E+01   -0.195260E-01    0.804414E+00    0.631422E-02    0.106325E+01   -0.809921E-01    0.188727E+00
    0.536871E+01   -0.575101E-01    0.423939E+00   -0.164187E-01    0.835539E+00   -0.911222E-01    0.872576E-01
    0.429497E+01   -0.304338E+00    0.204846E+01   -0.389701E-01    0.609649E+00   -0.959780E-01    0.386182E-01
    0.343597E+01   -0.558281E+00    0.459213E+01   -0.574824E-01    0.424217E+00   -0.981741E-01    0.166212E-01
    0.274878E+01   -0.710293E+00    0.611479E+01   -0.712419E-01    0.286393E+00   -0.991319E-01    0.702672E-02
    0.219902E+01   -0.755131E+00    0.656391E+01   -0.808997E-01    0.189653E+00   -0.995402E-01    0.293729E-02
    0.175922E+01   -0.727280E+00    0.628493E+01   -0.874487E-01    0.124054E+00   -0.997118E-01    0.121856E-02
    0.140737E+01   -0.661960E+00    0.563064E+01   -0.917958E-01    0.805099E-01   -0.997831E-01    0.503604E-03
    0.112590E+01   -0.583449E+00    0.484422E+01   -0.946432E-01    0.519885E-01   -0.998127E-01    0.207770E-03
    0.900720E+00   -0.505493E+00    0.406337E+01   -0.964927E-01    0.334632E-01   -0.998249E-01    0.856008E-04
