              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02    0.650351E+16    0.588462E+16    0.134048E+08    0.121291E+08   -0.446663E+07    0.404158E+07
    0.320000E+02    0.272711E+13    0.246759E+13    0.306896E+06    0.277690E+06   -0.102024E+06    0.923163E+05
    0.256000E+02    0.566407E+10    0.512506E+10    0.156372E+05    0.141481E+05   -0.514312E+04    0.465468E+04
    0.204800E+02    0.423107E+08    0.382843E+08    0.151104E+04    0.136624E+04   -0.479600E+03    0.434960E+03
    0.163840E+02    0.880015E+06    0.796269E+06    0.243641E+03    0.219455E+03   -0.704060E+02    0.647060E+02
    0.131072E+02    0.415244E+05    0.375718E+05    0.591712E+02    0.525404E+02   -0.137758E+02    0.134649E+02
    0.104858E+02    0.377333E+04    0.341325E+04    0.199421E+02    0.170444E+02   -0.280168E+01    0.353507E+01
    0.838861E+01    0.579118E+03    0.523007E+03    0.873381E+01    0.690268E+01   -0.935991E-01    0.108469E+01
    0.671089E+01    0.135089E+03    0.121234E+03    0.471380E+01    0.326522E+01    0.697652E+00    0.368739E+00
    0.536871E+01    0.439675E+02    0.387834E+02    0.300145E+01    0.171582E+01    0.957102E+00    0.133978E+00
    0.429497E+01    0.186117E+02    0.158406E+02    0.217343E+01    0.966605E+00    0.104901E+01    0.508156E-01
    0.343597E+01    0.966924E+01    0.774909E+01    0.173492E+01    0.569823E+00    0.108327E+01    0.198131E-01
    0.274878E+01    0.587952E+01    0.432001E+01    0.148748E+01    0.345932E+00    0.109648E+01    0.786336E-02
    0.219902E+01    0.402873E+01    0.264535E+01    0.134170E+01    0.214023E+00    0.110168E+01    0.315635E-02
    0.175922E+01    0.302040E+01    0.173297E+01    0.125330E+01    0.134033E+00    0.110376E+01    0.127615E-02
    0.140737E+01    0.242273E+01    0.119218E+01    0.119866E+01    0.845968E-01    0.110460E+01    0.518399E-03
    0.112590E+01    0.204464E+01    0.850067E+00    0.116448E+01    0.536620E-01    0.110494E+01    0.211308E-03
    0.900720E+00    0.179309E+01    0.622451E+00    0.114291E+01    0.341484E-01    0.110508E+01    0.862920E-04
    0.720576E+00    0.161903E+01    0.464962E+00    0.112924E+01    0.217753E-01    0.110513E+01    0.354876E-04
    0.576461E+00    0.149487E+01    0.352613E+00    0.112054E+01    0.139037E-01    0.110515E+01    0.146696E-04
    0.461169E+00    0.140415E+01    0.270525E+00    0.111499E+01    0.888506E-02    0.110516E+01    0.560898E-05
    0.368935E+00    0.133660E+01    0.209410E+00    0.111145E+01    0.568093E-02    0.110517E+01    0.237303E-05
    0.295148E+00    0.128557E+01    0.163230E+00    0.110919E+01    0.363354E-02    0.110517E+01    0.107865E-05
    0.236118E+00    0.124655E+01    0.127926E+00    0.110774E+01    0.232481E-02    0.110517E+01    0.431460E-06
    0.188895E+00    0.121645E+01    0.100685E+00    0.110681E+01    0.148735E-02    0.110517E+01    0.323595E-06
    0.151116E+00    0.119304E+01    0.795115E-01    0.110622E+01    0.951693E-03    0.110517E+01    0.000000E+00
    0.120893E+00    0.117475E+01    0.629568E-01    0.110584E+01    0.608898E-03    0.110517E+01    0.970785E-06
    0.967141E-01    0.116038E+01    0.499540E-01    0.110560E+01    0.390148E-03    0.110517E+01    0.970785E-06
    0.773713E-01    0.114905E+01    0.397019E-01    0.110545E+01    0.249600E-03    0.110517E+01    0.323595E-05
    0.618970E-01    0.114009E+01    0.315968E-01    0.110535E+01    0.159317E-03    0.110518E+01    0.366741E-05
    0.495176E-01    0.113299E+01    0.251725E-01    0.110528E+01    0.102256E-03    0.110517E+01    0.517752E-05
    0.396141E-01    0.112735E+01    0.200703E-01    0.110524E+01    0.652583E-04    0.110517E+01    0.107865E-06
    0.316913E-01    0.112287E+01    0.160112E-01    0.110522E+01    0.414202E-04    0.110517E+01    0.539325E-06
    0.253530E-01    0.111930E+01    0.127813E-01    0.110520E+01    0.304179E-04    0.110517E+01    0.204944E-05
    0.202824E-01    0.111646E+01    0.102104E-01    0.110519E+01    0.155326E-04    0.110517E+01    0.129438E-05
    0.162259E-01    0.111419E+01    0.815632E-02    0.110519E+01    0.128359E-04    0.110517E+01    0.485393E-05
    0.129807E-01    0.111238E+01    0.651925E-02    0.110519E+01    0.128359E-04    0.110516E+01    0.927639E-05
    0.103846E-01    0.111092E+01    0.520427E-02    0.110518E+01    0.107865E-04    0.110517E+01    0.312809E-05
    0.830767E-02    0.110977E+01    0.416553E-02    0.110517E+01    0.226517E-05    0.110515E+01    0.196314E-04
    0.664614E-02    0.110884E+01    0.332160E-02    0.110518E+01    0.106786E-04    0.110513E+01    0.325752E-04
    0.531691E-02    0.110810E+01    0.265208E-02    0.110519E+01    0.147775E-04    0.110516E+01    0.122966E-04
    0.425353E-02    0.110750E+01    0.210930E-02    0.110518E+01    0.453033E-05    0.110518E+01    0.453033E-05
    0.340282E-02    0.110703E+01    0.167816E-02    0.110520E+01    0.298786E-04    0.110520E+01    0.298786E-04
    0.272226E-02    0.110668E+01    0.136126E-02    0.110519E+01    0.140225E-04    0.110519E+01    0.140225E-04
    0.217781E-02    0.110637E+01    0.108394E-02    0.110516E+01    0.571685E-05    0.110531E+01    0.126310E-03
    0.174225E-02    0.110612E+01    0.860979E-03    0.110516E+01    0.571685E-05    0.110535E+01    0.159317E-03
    0.139380E-02    0.110588E+01    0.644386E-03    0.110520E+01    0.252404E-04    0.110520E+01    0.252404E-04
    0.111504E-02    0.110578E+01    0.547523E-03    0.110524E+01    0.638561E-04    0.110496E+01    0.194049E-03
    0.892030E-03    0.110559E+01    0.378283E-03    0.110505E+01    0.105384E-03    0.110523E+01    0.557662E-04
    0.713624E-03    0.110552E+01    0.317770E-03    0.110519E+01    0.154247E-04    0.110519E+01    0.154247E-04
    0.570899E-03    0.110544E+01    0.242157E-03    0.110502E+01    0.135694E-03    0.110502E+01    0.135694E-03
    0.456719E-03    0.110539E+01    0.194912E-03    0.110513E+01    0.412044E-04    0.110513E+01    0.412044E-04
    0.365375E-03    0.110539E+01    0.194912E-03    0.110506E+01    0.100314E-03    0.110463E+01    0.493914E-03
    0.292300E-03    0.110522E+01    0.472449E-04    0.110522E+01    0.472449E-04    0.110522E+01    0.472449E-04
    0.233840E-03    0.110522E+01    0.472449E-04    0.110522E+01    0.472449E-04    0.110522E+01    0.472449E-04
    0.187072E-03    0.110497E+01    0.183371E-03    0.110497E+01    0.183371E-03    0.110497E+01    0.183371E-03
    0.149658E-03    0.110481E+01    0.327586E-03    0.110481E+01    0.327586E-03    0.110587E+01    0.633491E-03
    0.119726E-03    0.110521E+01    0.327910E-04    0.110521E+01    0.327910E-04    0.110521E+01    0.327910E-04
    0.957810E-04    0.110521E+01    0.327910E-04    0.110521E+01    0.327910E-04    0.110521E+01    0.327910E-04
    0.766248E-04    0.110458E+01    0.530264E-03    0.110614E+01    0.877374E-03    0.110407E+01    0.999477E-03
    0.612998E-04    0.110458E+01    0.530372E-03    0.110653E+01    0.122934E-02    0.110394E+01    0.111683E-02
    0.490399E-04    0.110361E+01    0.141012E-02    0.110604E+01    0.789356E-03    0.110280E+01    0.214339E-02
    0.392319E-04    0.110300E+01    0.196002E-02    0.110300E+01    0.196002E-02    0.110706E+01    0.170589E-02
    0.313855E-04    0.110528E+01    0.102040E-03    0.110528E+01    0.102040E-03    0.110022E+01    0.448039E-02
    0.251084E-04    0.110149E+01    0.333476E-02    0.110623E+01    0.961185E-03    0.111256E+01    0.668914E-02
    0.200867E-04    0.110386E+01    0.118673E-02    0.110386E+01    0.118673E-02    0.110386E+01    0.118673E-02
    0.160694E-04    0.110534E+01    0.155757E-03    0.110534E+01    0.155757E-03    0.111523E+01    0.910564E-02
    0.128555E-04    0.110349E+01    0.152241E-02    0.110349E+01    0.152241E-02    0.109112E+01    0.127098E-01
    0.102844E-04    0.110117E+01    0.362006E-02    0.110117E+01    0.362006E-02    0.108572E+01    0.176043E-01
    0.822753E-05    0.110117E+01    0.362006E-02    0.111566E+01    0.949018E-02    0.109634E+01    0.799010E-02
    0.658202E-05    0.110479E+01    0.342471E-03    0.110479E+01    0.342471E-03    0.112894E+01    0.215080E-01
    0.526562E-05    0.108668E+01    0.167303E-01    0.110932E+01    0.375446E-02    0.113951E+01    0.310675E-01
    0.421249E-05    0.110366E+01    0.136665E-02    0.110366E+01    0.136665E-02    0.106593E+01    0.355080E-01
    0.336999E-05    0.109659E+01    0.776822E-02    0.109659E+01    0.776822E-02    0.104942E+01    0.504448E-01
    0.269600E-05    0.110543E+01    0.233636E-03    0.110543E+01    0.233636E-03    0.116439E+01    0.535795E-01
    0.215680E-05    0.110543E+01    0.233636E-03    0.110543E+01    0.233636E-03    0.110543E+01    0.233636E-03
    0.172544E-05    0.110543E+01    0.233636E-03    0.110543E+01    0.233636E-03    0.110543E+01    0.233636E-03
    0.138035E-05    0.103634E+01    0.622809E-01    0.112270E+01    0.158623E-01    0.123785E+01    0.120053E+00
    0.110428E-05    0.107952E+01    0.232093E-01    0.107952E+01    0.232093E-01    0.107952E+01    0.232093E-01
    0.883424E-06    0.107952E+01    0.232093E-01    0.107952E+01    0.232093E-01    0.107952E+01    0.232093E-01
    0.706739E-06    0.101205E+01    0.842588E-01    0.118073E+01    0.683647E-01    0.955826E+00    0.135133E+00
    0.565391E-06    0.105422E+01    0.461029E-01    0.105422E+01    0.461029E-01    0.133534E+01    0.208270E+00
    0.452313E-06    0.105422E+01    0.461029E-01    0.105422E+01    0.461029E-01    0.105422E+01    0.461029E-01
    0.361850E-06    0.988331E+00    0.105721E+00    0.988331E+00    0.105721E+00    0.549073E+00    0.503179E+00
    0.289480E-06    0.823609E+00    0.254768E+00    0.123541E+01    0.117848E+00    0.686341E+00    0.378973E+00
    0.231584E-06    0.102951E+01    0.684599E-01    0.102951E+01    0.684599E-01    0.102951E+01    0.684599E-01
    0.185267E-06    0.643444E+00    0.417787E+00    0.643444E+00    0.417787E+00    0.150137E+01    0.358496E+00
    0.148214E-06    0.804306E+00    0.272234E+00    0.804306E+00    0.272234E+00    0.187671E+01    0.698120E+00
    0.118571E-06    0.100538E+01    0.902928E-01    0.100538E+01    0.902928E-01    0.234589E+01    0.112265E+01
