              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02    0.628860E+29    0.588463E+16    0.129618E+21    0.121291E+08   -0.431902E+20    0.404158E+07
    0.320000E+02    0.263699E+26    0.246759E+13    0.296754E+19    0.277690E+06   -0.986524E+18    0.923162E+05
    0.256000E+02    0.547688E+23    0.512506E+10    0.151204E+18    0.141481E+05   -0.497314E+17    0.465468E+04
    0.204800E+02    0.409125E+21    0.382843E+08    0.146110E+17    0.136624E+04   -0.463750E+16    0.434960E+03
    0.163840E+02    0.850933E+19    0.796270E+06    0.235589E+16    0.219455E+03   -0.680792E+15    0.647060E+02
    0.131072E+02    0.401521E+18    0.375718E+05    0.572158E+15    0.525404E+02   -0.133206E+15    0.134649E+02
    0.104858E+02    0.364863E+17    0.341325E+04    0.192831E+15    0.170444E+02   -0.270910E+14    0.353507E+01
    0.838861E+01    0.559979E+16    0.523007E+03    0.844518E+14    0.690268E+01   -0.905067E+12    0.108469E+01
    0.671089E+01    0.130625E+16    0.121234E+03    0.455802E+14    0.326522E+01    0.674595E+13    0.368739E+00
    0.536871E+01    0.425145E+15    0.387834E+02    0.290226E+14    0.171583E+01    0.925472E+13    0.133978E+00
    0.429497E+01    0.179967E+15    0.158406E+02    0.210161E+14    0.966605E+00    0.101434E+14    0.508158E-01
    0.343597E+01    0.934969E+14    0.774909E+01    0.167759E+14    0.569823E+00    0.104747E+14    0.198131E-01
    0.274878E+01    0.568522E+14    0.432001E+01    0.143833E+14    0.345932E+00    0.106024E+14    0.786320E-02
    0.219902E+01    0.389559E+14    0.264535E+01    0.129736E+14    0.214023E+00    0.106527E+14    0.315630E-02
    0.175922E+01    0.292058E+14    0.173297E+01    0.121188E+14    0.134034E+00    0.106728E+14    0.127619E-02
    0.140737E+01    0.234267E+14    0.119218E+01    0.115905E+14    0.845969E-01    0.106809E+14    0.518415E-03
    0.112590E+01    0.197707E+14    0.850067E+00    0.112599E+14    0.536621E-01    0.106842E+14    0.211219E-03
    0.900720E+00    0.173383E+14    0.622452E+00    0.110514E+14    0.341485E-01    0.106856E+14    0.862222E-04
    0.720576E+00    0.156553E+14    0.464963E+00    0.109192E+14    0.217754E-01    0.106861E+14    0.352400E-04
    0.576461E+00    0.144547E+14    0.352613E+00    0.108351E+14    0.139038E-01    0.106863E+14    0.144142E-04
    0.461169E+00    0.135774E+14    0.270525E+00    0.107814E+14    0.888511E-02    0.106864E+14    0.589882E-05
    0.368935E+00    0.129243E+14    0.209410E+00    0.107472E+14    0.568103E-02    0.106864E+14    0.241478E-05
    0.295148E+00    0.124308E+14    0.163230E+00    0.107253E+14    0.363363E-02    0.106865E+14    0.988733E-06
    0.236118E+00    0.120536E+14    0.127927E+00    0.107113E+14    0.232461E-02    0.106865E+14    0.404891E-06
    0.188895E+00    0.117625E+14    0.100686E+00    0.107024E+14    0.148738E-02    0.106865E+14    0.165818E-06
    0.151116E+00    0.115362E+14    0.795121E-01    0.106966E+14    0.951770E-03    0.106865E+14    0.679128E-07
    0.120893E+00    0.113593E+14    0.629576E-01    0.106930E+14    0.609070E-03    0.106865E+14    0.278154E-07
    0.967141E-01    0.112203E+14    0.499544E-01    0.106906E+14    0.389779E-03    0.106865E+14    0.113927E-07
    0.773713E-01    0.111108E+14    0.397029E-01    0.106891E+14    0.249448E-03    0.106865E+14    0.466635E-08
    0.618970E-01    0.110241E+14    0.315970E-01    0.106882E+14    0.159643E-03    0.106865E+14    0.191131E-08
    0.495176E-01    0.109555E+14    0.251726E-01    0.106876E+14    0.102170E-03    0.106865E+14    0.783028E-09
    0.396141E-01    0.109010E+14    0.200712E-01    0.106872E+14    0.653878E-04    0.106865E+14    0.320839E-09
    0.316913E-01    0.108576E+14    0.160144E-01    0.106869E+14    0.418479E-04    0.106865E+14    0.131374E-09
    0.253530E-01    0.108231E+14    0.127843E-01    0.106868E+14    0.267825E-04    0.106865E+14    0.541381E-10
    0.202824E-01    0.107956E+14    0.102101E-01    0.106867E+14    0.171408E-04    0.106865E+14    0.220144E-10
    0.162259E-01    0.107736E+14    0.815702E-02    0.106866E+14    0.109701E-04    0.106865E+14    0.879671E-11
    0.129807E-01    0.107561E+14    0.651855E-02    0.106865E+14    0.702083E-05    0.106865E+14    0.350381E-11
    0.103846E-01    0.107422E+14    0.521032E-02    0.106865E+14    0.449333E-05    0.106865E+14    0.236335E-11
    0.830767E-02    0.107310E+14    0.416536E-02    0.106865E+14    0.287573E-05    0.106865E+14    0.153907E-11
    0.664614E-02    0.107221E+14    0.333044E-02    0.106865E+14    0.184047E-05    0.106865E+14    0.100521E-13
    0.531691E-02    0.107149E+14    0.266317E-02    0.106865E+14    0.117790E-05    0.106865E+14    0.114211E-11
    0.425353E-02    0.107092E+14    0.212978E-02    0.106865E+14    0.753855E-06    0.106865E+14    0.185727E-11
    0.340282E-02    0.107047E+14    0.170334E-02    0.106865E+14    0.482468E-06    0.106865E+14    0.186092E-11
    0.272226E-02    0.107010E+14    0.136237E-02    0.106865E+14    0.308778E-06    0.106865E+14    0.118506E-11
    0.217781E-02    0.106981E+14    0.108969E-02    0.106865E+14    0.197618E-06    0.106865E+14    0.375511E-11
    0.174225E-02    0.106958E+14    0.871629E-03    0.106865E+14    0.126478E-06    0.106865E+14    0.353927E-11
    0.139380E-02    0.106939E+14    0.697222E-03    0.106865E+14    0.809455E-07    0.106865E+14    0.592564E-11
    0.111504E-02    0.106924E+14    0.557726E-03    0.106865E+14    0.518065E-07    0.106865E+14    0.639572E-11
    0.892030E-03    0.106912E+14    0.446148E-03    0.106865E+14    0.331569E-07    0.106865E+14    0.197735E-11
    0.713624E-03    0.106903E+14    0.356897E-03    0.106865E+14    0.212173E-07    0.106865E+14    0.186421E-11
    0.570899E-03    0.106895E+14    0.285504E-03    0.106865E+14    0.135807E-07    0.106865E+14    0.162064E-10
    0.456719E-03    0.106889E+14    0.228394E-03    0.106865E+14    0.868576E-08    0.106865E+14    0.489484E-11
    0.365375E-03    0.106884E+14    0.182710E-03    0.106865E+14    0.555652E-08    0.106865E+14    0.519513E-11
    0.292300E-03    0.106880E+14    0.146164E-03    0.106865E+14    0.355967E-08    0.106865E+14    0.314873E-10
    0.233840E-03    0.106877E+14    0.116929E-03    0.106865E+14    0.226583E-08    0.106865E+14    0.132716E-10
    0.187072E-03    0.106875E+14    0.935419E-04    0.106865E+14    0.145259E-08    0.106865E+14    0.457379E-10
    0.149658E-03    0.106873E+14    0.748326E-04    0.106865E+14    0.947492E-09    0.106865E+14    0.128463E-10
    0.119726E-03    0.106871E+14    0.598655E-04    0.106865E+14    0.599137E-09    0.106865E+14    0.745735E-10
    0.957810E-04    0.106870E+14    0.478920E-04    0.106865E+14    0.413281E-09    0.106865E+14    0.341921E-10
    0.766248E-04    0.106869E+14    0.383134E-04    0.106865E+14    0.256811E-09    0.106865E+14    0.112101E-09
    0.612998E-04    0.106868E+14    0.306505E-04    0.106865E+14    0.100580E-09    0.106865E+14    0.100580E-09
    0.490399E-04    0.106867E+14    0.245204E-04    0.106865E+14    0.132631E-09    0.106865E+14    0.170489E-09
    0.392319E-04    0.106867E+14    0.196162E-04    0.106865E+14    0.127176E-10    0.106865E+14    0.173627E-09
    0.313855E-04    0.106866E+14    0.156929E-04    0.106865E+14    0.548324E-10    0.106865E+14    0.824622E-11
    0.251084E-04    0.106866E+14    0.125543E-04    0.106865E+14    0.149460E-09    0.106865E+14    0.120344E-09
    0.200867E-04    0.106866E+14    0.100434E-04    0.106865E+14    0.145821E-09    0.106865E+14    0.145821E-09
    0.160694E-04    0.106866E+14    0.803476E-05    0.106865E+14    0.571067E-10    0.106865E+14    0.564648E-09
    0.128555E-04    0.106865E+14    0.642786E-05    0.106865E+14    0.176051E-09    0.106865E+14    0.213963E-09
    0.102844E-04    0.106865E+14    0.514224E-05    0.106865E+14    0.318221E-09    0.106865E+14    0.582186E-09
    0.822752E-05    0.106865E+14    0.411386E-05    0.106865E+14    0.322664E-09    0.106865E+14    0.293045E-09
    0.658202E-05    0.106865E+14    0.329111E-05    0.106865E+14    0.104955E-09    0.106865E+14    0.679321E-10
    0.526561E-05    0.106865E+14    0.263264E-05    0.106865E+14    0.165778E-09    0.106865E+14    0.163911E-08
    0.421249E-05    0.106865E+14    0.210641E-05    0.106865E+14    0.163961E-09    0.106865E+14    0.203430E-08
    0.336999E-05    0.106865E+14    0.168493E-05    0.106865E+14    0.988308E-09    0.106865E+14    0.113293E-08
    0.269599E-05    0.106865E+14    0.134793E-05    0.106865E+14    0.421258E-10    0.106865E+14    0.421258E-10
    0.215680E-05    0.106865E+14    0.107869E-05    0.106865E+14    0.139796E-08    0.106865E+14    0.139796E-08
    0.172544E-05    0.106865E+14    0.862586E-06    0.106865E+14    0.194926E-08    0.106865E+14    0.194926E-08
    0.138035E-05    0.106865E+14    0.688923E-06    0.106865E+14    0.117552E-08    0.106865E+14    0.588612E-08
    0.110428E-05    0.106865E+14    0.552942E-06    0.106865E+14    0.233407E-08    0.106865E+14    0.627230E-08
    0.883424E-06    0.106865E+14    0.440811E-06    0.106865E+14    0.885881E-09    0.106865E+14    0.987208E-08
    0.706739E-06    0.106865E+14    0.355472E-06    0.106865E+14    0.295472E-08    0.106865E+14    0.108375E-07
    0.565391E-06    0.106865E+14    0.284808E-06    0.106865E+14    0.228203E-08    0.106865E+14    0.185102E-08
    0.452313E-06    0.106865E+14    0.229612E-06    0.106865E+14    0.394065E-08    0.106865E+14    0.447941E-08
    0.361850E-06    0.106865E+14    0.182639E-06    0.106865E+14    0.777932E-08    0.106865E+14    0.178118E-07
    0.289480E-06    0.106865E+14    0.143621E-06    0.106865E+14    0.116666E-07    0.106865E+14    0.116666E-07
    0.231584E-06    0.106865E+14    0.111579E-06    0.106865E+14    0.113509E-07    0.106865E+14    0.113509E-07
    0.185267E-06    0.106865E+14    0.920465E-07    0.106865E+14    0.194279E-07    0.106865E+14    0.167972E-07
    0.148214E-06    0.106865E+14    0.784821E-07    0.106865E+14    0.189346E-07    0.106865E+14    0.189346E-07
    0.118571E-06    0.106865E+14    0.458044E-07    0.106865E+14    0.165177E-07    0.106865E+14    0.636354E-07
    0.948569E-07    0.106865E+14    0.492725E-07    0.106865E+14    0.110362E-08    0.106865E+14    0.965187E-07
    0.758855E-07    0.106865E+14    0.198895E-07    0.106865E+14    0.186456E-07    0.106865E+14    0.106594E-06
    0.607084E-07    0.106865E+14    0.126642E-07    0.106865E+14    0.174414E-07    0.106865E+14    0.174414E-07
    0.485667E-07    0.106865E+14    0.216958E-07    0.106865E+14    0.706174E-07    0.106865E+14    0.115034E-06
    0.388534E-07    0.106865E+14    0.518014E-07    0.106865E+14    0.329854E-07    0.106865E+14    0.217894E-06
    0.310827E-07    0.106865E+14    0.235774E-07    0.106865E+14    0.999024E-07    0.106865E+14    0.205857E-06
    0.248662E-07    0.106865E+14    0.396325E-07    0.106865E+14    0.469825E-07    0.106865E+14    0.325417E-06
    0.198929E-07    0.106865E+14    0.283549E-07    0.106865E+14    0.191674E-07    0.106865E+14    0.446332E-06
