              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.100000E+00    0.488088E+00    0.238230E-01    0.500156E+00    0.268930E+01    0.500000E+00    0.856069E-07
    0.800000E-01    0.490381E+00    0.192379E-01    0.500100E+00    0.268930E+01    0.500000E+00    0.350413E-07
    0.640000E-01    0.492246E+00    0.155076E-01    0.500064E+00    0.268930E+01    0.500000E+00    0.143468E-07
    0.512000E-01    0.493759E+00    0.124824E-01    0.500041E+00    0.268930E+01    0.500000E+00    0.587485E-08
    0.409600E-01    0.494982E+00    0.100355E-01    0.500026E+00    0.268930E+01    0.500000E+00    0.240592E-08
    0.327680E-01    0.495970E+00    0.806047E-02    0.500017E+00    0.268930E+01    0.500000E+00    0.985367E-09
    0.262144E-01    0.496765E+00    0.646908E-02    0.500011E+00    0.268930E+01    0.500000E+00    0.403570E-09
    0.209715E-01    0.497406E+00    0.518861E-02    0.500007E+00    0.268930E+01    0.500000E+00    0.165312E-09
    0.167772E-01    0.497920E+00    0.415948E-02    0.500004E+00    0.268930E+01    0.500000E+00    0.676746E-10
    0.134218E-01    0.498333E+00    0.333311E-02    0.500003E+00    0.268930E+01    0.500000E+00    0.276911E-10
    0.107374E-01    0.498665E+00    0.267004E-02    0.500002E+00    0.268930E+01    0.500000E+00    0.113434E-10
    0.858993E-02    0.498931E+00    0.213831E-02    0.500001E+00    0.268930E+01    0.500000E+00    0.458800E-11
    0.687195E-02    0.499144E+00    0.171211E-02    0.500001E+00    0.268930E+01    0.500000E+00    0.194489E-11
    0.549756E-02    0.499315E+00    0.137062E-02    0.500000E+00    0.268930E+01    0.500000E+00    0.631051E-12
    0.439805E-02    0.499451E+00    0.109710E-02    0.500000E+00    0.268930E+01    0.500000E+00    0.122902E-12
    0.351844E-02    0.499561E+00    0.878065E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.346390E-13
    0.281475E-02    0.499649E+00    0.702699E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.768274E-13
    0.225180E-02    0.499719E+00    0.562317E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.179412E-12
    0.180144E-02    0.499775E+00    0.449955E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.165645E-12
    0.144115E-02    0.499820E+00    0.360029E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.134781E-12
    0.115292E-02    0.499856E+00    0.288064E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.963674E-13
    0.922337E-03    0.499885E+00    0.230478E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.288991E-12
    0.737870E-03    0.499908E+00    0.184399E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.389466E-12
    0.590296E-03    0.499926E+00    0.147530E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.439537E-12
    0.472237E-03    0.499941E+00    0.118031E-03    0.500000E+00    0.268930E+01    0.500000E+00    0.532019E-12
    0.377789E-03    0.499953E+00    0.944295E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.119194E-11
    0.302231E-03    0.499962E+00    0.755464E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.669242E-12
    0.241785E-03    0.499970E+00    0.604390E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.213851E-11
    0.193428E-03    0.499976E+00    0.483524E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.693223E-12
    0.154743E-03    0.499981E+00    0.386826E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.275047E-11
    0.123794E-03    0.499985E+00    0.309466E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.490319E-11
    0.990352E-04    0.499988E+00    0.247576E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.137479E-11
    0.792282E-04    0.499990E+00    0.198063E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.698019E-11
    0.633825E-04    0.499992E+00    0.158451E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.674349E-12
    0.507060E-04    0.499994E+00    0.126762E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.709710E-11
    0.405648E-04    0.499995E+00    0.101410E-04    0.500000E+00    0.268930E+01    0.500000E+00    0.895950E-11
    0.324519E-04    0.499996E+00    0.811283E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.518130E-11
    0.259615E-04    0.499997E+00    0.649030E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.974287E-11
    0.207692E-04    0.499997E+00    0.519225E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.197212E-10
    0.166153E-04    0.499998E+00    0.415382E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.399705E-10
    0.132923E-04    0.499998E+00    0.332303E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.235078E-10
    0.106338E-04    0.499999E+00    0.265844E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.819511E-11
    0.850706E-05    0.499999E+00    0.212677E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.179061E-10
    0.680565E-05    0.499999E+00    0.170139E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.647479E-10
    0.544452E-05    0.499999E+00    0.136109E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.765144E-11
    0.435561E-05    0.499999E+00    0.108886E-05    0.500000E+00    0.268930E+01    0.500000E+00    0.637190E-10
    0.348449E-05    0.500000E+00    0.871132E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.509837E-10
    0.278759E-05    0.500000E+00    0.696880E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.124257E-09
    0.223007E-05    0.500000E+00    0.557445E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.616042E-10
    0.178406E-05    0.500000E+00    0.445978E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.877480E-10
    0.142725E-05    0.500000E+00    0.356740E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.264890E-09
    0.114180E-05    0.500000E+00    0.285409E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.721905E-10
    0.913439E-06    0.500000E+00    0.228332E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.250454E-09
    0.730751E-06    0.500000E+00    0.182510E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.615084E-09
    0.584601E-06    0.500000E+00    0.145743E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.904207E-09
    0.467681E-06    0.500000E+00    0.117446E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.967511E-09
    0.374144E-06    0.500000E+00    0.929954E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.971167E-09
    0.299316E-06    0.500000E+00    0.751912E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.150164E-08
    0.239452E-06    0.500000E+00    0.599835E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.636156E-09
    0.191562E-06    0.500000E+00    0.479285E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.194983E-08
    0.153250E-06    0.500000E+00    0.386555E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.287986E-08
    0.122600E-06    0.500000E+00    0.285132E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.465014E-09
    0.980797E-07    0.500000E+00    0.230798E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.559657E-08
    0.784638E-07    0.500000E+00    0.196839E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.102509E-07
    0.627710E-07    0.500000E+00    0.154390E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.128952E-08
    0.502168E-07    0.500000E+00    0.101330E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.276343E-08
    0.401735E-07    0.500000E+00    0.792210E-08    0.500000E+00    0.268930E+01    0.500000E+00    0.116069E-07
    0.321388E-07    0.500000E+00    0.106857E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.313219E-08
    0.257110E-07    0.500000E+00    0.106857E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.946538E-08
    0.205688E-07    0.500000E+00    0.150038E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.658666E-08
    0.164550E-07    0.500000E+00    0.150038E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.164823E-07
    0.131640E-07    0.500000E+00    0.523726E-08    0.500000E+00    0.268930E+01    0.500000E+00    0.341203E-07
    0.105312E-07    0.500000E+00    0.523726E-08    0.500000E+00    0.268930E+01    0.500000E+00    0.523726E-08
    0.842498E-08    0.500000E+00    0.523726E-08    0.500000E+00    0.268930E+01    0.500000E+00    0.523726E-08
    0.673999E-08    0.500000E+00    0.474737E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.293965E-07
    0.539199E-08    0.500000E+00    0.474737E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.486140E-07
    0.431359E-08    0.500000E+00    0.474737E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.646323E-07
    0.345087E-08    0.500000E+00    0.732115E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.554774E-07
    0.276070E-08    0.500000E+00    0.732115E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.100022E-06
    0.220856E-08    0.500000E+00    0.732115E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.106724E-06
    0.176685E-08    0.500000E+00    0.273267E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.307801E-06
    0.141348E-08    0.500000E+00    0.224019E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.142527E-06
    0.113078E-08    0.500000E+00    0.116176E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.446564E-06
    0.904626E-09    0.500000E+00    0.116176E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.116176E-07
    0.723701E-09    0.500000E+00    0.134345E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.236618E-06
    0.578960E-09    0.500000E+00    0.190642E-07    0.500000E+00    0.268930E+01    0.500001E+00    0.113150E-05
    0.463168E-09    0.500000E+00    0.402587E-06    0.500000E+00    0.268930E+01    0.499999E+00    0.184080E-05
    0.370535E-09    0.500000E+00    0.768165E-07    0.500000E+00    0.268930E+01    0.499999E+00    0.152120E-05
    0.296428E-09    0.500000E+00    0.768165E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.768165E-07
    0.237142E-09    0.500000E+00    0.451351E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.763462E-06
    0.189714E-09    0.500000E+00    0.953152E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.953152E-06
    0.151771E-09    0.500000E+00    0.217267E-06    0.500000E+00    0.268930E+01    0.499998E+00    0.368413E-05
    0.121417E-09    0.499999E+00    0.124576E-05    0.500000E+00    0.268930E+01    0.499997E+00    0.673210E-05
    0.971334E-10    0.500000E+00    0.331367E-06    0.499999E+00    0.268930E+01    0.500000E+00    0.430624E-06
