              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.100000E+00    0.488088E+00    0.238237E-01    0.500156E+00    0.200538E+01    0.499998E+00    0.375509E-05
    0.800000E-01    0.490381E+00    0.192384E-01    0.500100E+00    0.200538E+01    0.500000E+00    0.417233E-06
    0.640000E-01    0.492247E+00    0.155063E-01    0.500064E+00    0.200538E+01    0.500002E+00    0.452995E-05
    0.512000E-01    0.493759E+00    0.124813E-01    0.500040E+00    0.200538E+01    0.499998E+00    0.393391E-05
    0.409600E-01    0.494981E+00    0.100389E-01    0.500026E+00    0.200538E+01    0.500000E+00    0.953674E-06
    0.327680E-01    0.495969E+00    0.806129E-02    0.500017E+00    0.200538E+01    0.499995E+00    0.104308E-04
    0.262144E-01    0.496766E+00    0.646788E-02    0.500013E+00    0.200538E+01    0.500001E+00    0.166893E-05
    0.209715E-01    0.497408E+00    0.518322E-02    0.500009E+00    0.200538E+01    0.499990E+00    0.199676E-04
    0.167772E-01    0.497920E+00    0.415999E-02    0.500005E+00    0.200538E+01    0.500001E+00    0.143051E-05
    0.134218E-01    0.498330E+00    0.333935E-02    0.500000E+00    0.200538E+01    0.500000E+00    0.238419E-06
    0.107374E-01    0.498668E+00    0.266439E-02    0.500006E+00    0.200538E+01    0.499983E+00    0.331402E-04
    0.858993E-02    0.498934E+00    0.213146E-02    0.500003E+00    0.200538E+01    0.499984E+00    0.312328E-04
    0.687195E-02    0.499149E+00    0.170124E-02    0.499999E+00    0.200538E+01    0.500023E+00    0.450611E-04
    0.549756E-02    0.499319E+00    0.136298E-02    0.499991E+00    0.200538E+01    0.500020E+00    0.392199E-04
    0.439805E-02    0.499438E+00    0.112444E-02    0.499993E+00    0.200538E+01    0.499975E+00    0.492930E-04
    0.351844E-02    0.499580E+00    0.839829E-03    0.499987E+00    0.200538E+01    0.500032E+00    0.636578E-04
    0.281475E-02    0.499665E+00    0.670433E-03    0.500004E+00    0.200538E+01    0.500004E+00    0.715256E-05
    0.225180E-02    0.499697E+00    0.606954E-03    0.499988E+00    0.200538E+01    0.500023E+00    0.460148E-04
    0.180144E-02    0.499816E+00    0.368714E-03    0.500014E+00    0.200538E+01    0.500014E+00    0.282526E-04
    0.144115E-02    0.499783E+00    0.434935E-03    0.500031E+00    0.200538E+01    0.500031E+00    0.613928E-04
    0.115292E-02    0.499824E+00    0.352204E-03    0.500031E+00    0.200538E+01    0.500031E+00    0.613928E-04
    0.922337E-03    0.499927E+00    0.145376E-03    0.499992E+00    0.200538E+01    0.500078E+00    0.156164E-03
    0.737870E-03    0.499863E+00    0.274658E-03    0.499943E+00    0.200538E+01    0.499836E+00    0.328541E-03
    0.590296E-03    0.500024E+00    0.483990E-04    0.500024E+00    0.200538E+01    0.500024E+00    0.483990E-04
    0.472237E-03    0.499822E+00    0.355482E-03    0.499948E+00    0.200538E+01    0.500117E+00    0.233531E-03
    0.377789E-03    0.499822E+00    0.355422E-03    0.499980E+00    0.200538E+01    0.500190E+00    0.380874E-03
    0.302231E-03    0.499743E+00    0.513256E-03    0.500138E+00    0.200538E+01    0.500138E+00    0.275612E-03
    0.241785E-03    0.499941E+00    0.118792E-03    0.499941E+00    0.200538E+01    0.499283E+00    0.143355E-02
    0.193428E-03    0.499817E+00    0.365317E-03    0.499817E+00    0.200538E+01    0.500639E+00    0.127816E-02
    0.154743E-03    0.499971E+00    0.571609E-04    0.499586E+00    0.200538E+01    0.500100E+00    0.199556E-03
    0.123794E-03    0.499779E+00    0.442326E-03    0.499297E+00    0.200538E+01    0.501223E+00    0.244653E-02
    0.990352E-04    0.499538E+00    0.923812E-03    0.499538E+00    0.200538E+01    0.501143E+00    0.228608E-02
    0.792282E-04    0.499538E+00    0.923753E-03    0.500290E+00    0.200538E+01    0.499287E+00    0.142533E-02
    0.633825E-04    0.500290E+00    0.580907E-03    0.500290E+00    0.200538E+01    0.497783E+00    0.443459E-02
    0.507060E-04    0.498410E+00    0.318074E-02    0.499585E+00    0.200538E+01    0.501152E+00    0.230491E-02
    0.405648E-04    0.499585E+00    0.829756E-03    0.499585E+00    0.200538E+01    0.495667E+00    0.866640E-02
    0.324519E-04    0.499585E+00    0.829816E-03    0.499585E+00    0.200538E+01    0.499585E+00    0.829816E-03
    0.259615E-04    0.500503E+00    0.100696E-02    0.498208E+00    0.200538E+01    0.501269E+00    0.253749E-02
    0.207692E-04    0.499355E+00    0.128901E-02    0.496486E+00    0.200538E+01    0.507965E+00    0.159302E-01
    0.166154E-04    0.495051E+00    0.989866E-02    0.502225E+00    0.200538E+01    0.492659E+00    0.146818E-01
    0.132923E-04    0.502225E+00    0.445068E-02    0.502225E+00    0.200538E+01    0.502225E+00    0.445068E-02
    0.106338E-04    0.493257E+00    0.134860E-01    0.498862E+00    0.200538E+01    0.506336E+00    0.126716E-01
    0.850706E-05    0.490454E+00    0.190911E-01    0.504467E+00    0.200538E+01    0.504467E+00    0.893486E-02
