   #x=   1.00
             #h           3-point     Error             5-point          Error
        0.3140E+00     -0.5359E+00    0.818995E-02       -0.54E+00        0.11E-03
        0.2983E+00     -0.5363E+00    0.739390E-02       -0.54E+00        0.87E-04
        0.2834E+00     -0.5367E+00    0.667375E-02       -0.54E+00        0.73E-04
        0.2692E+00     -0.5370E+00    0.602597E-02       -0.54E+00        0.59E-04
        0.2558E+00     -0.5374E+00    0.543996E-02       -0.54E+00        0.49E-04
        0.2430E+00     -0.5376E+00    0.491397E-02       -0.54E+00        0.42E-04
        0.2308E+00     -0.5379E+00    0.443034E-02       -0.54E+00        0.33E-04
        0.2193E+00     -0.5381E+00    0.400672E-02       -0.54E+00        0.29E-04
        0.2083E+00     -0.5383E+00    0.361840E-02       -0.54E+00        0.28E-04
        0.1979E+00     -0.5385E+00    0.326186E-02       -0.54E+00        0.21E-04
        0.1880E+00     -0.5387E+00    0.294062E-02       -0.54E+00        0.15E-04
        0.1786E+00     -0.5389E+00    0.266173E-02       -0.54E+00        0.21E-04
        0.1697E+00     -0.5390E+00    0.239344E-02       -0.54E+00        0.19E-04
        0.1612E+00     -0.5391E+00    0.216045E-02       -0.54E+00        0.42E-05
        0.1531E+00     -0.5392E+00    0.195570E-02       -0.54E+00        0.14E-04
        0.1455E+00     -0.5394E+00    0.175802E-02       -0.54E+00        0.67E-05
        0.1382E+00     -0.5394E+00    0.158857E-02       -0.54E+00        0.64E-05
        0.1313E+00     -0.5395E+00    0.144030E-02       -0.54E+00        0.88E-05
        0.1247E+00     -0.5396E+00    0.132028E-02       -0.54E+00        0.12E-04
        0.1185E+00     -0.5397E+00    0.117907E-02       -0.54E+00        0.16E-04
        0.1126E+00     -0.5397E+00    0.106611E-02       -0.54E+00        0.14E-04
        0.1069E+00     -0.5398E+00    0.967261E-03       -0.54E+00        0.36E-05
        0.1016E+00     -0.5398E+00    0.882538E-03       -0.54E+00        0.31E-04
        0.9651E-01     -0.5399E+00    0.797814E-03       -0.54E+00        0.19E-04
        0.9168E-01     -0.5399E+00    0.684849E-03       -0.54E+00        0.14E-04
        0.8710E-01     -0.5399E+00    0.656608E-03       -0.54E+00        0.22E-04
        0.8275E-01     -0.5400E+00    0.571884E-03       -0.54E+00        0.77E-05
        0.7861E-01     -0.5400E+00    0.515402E-03       -0.54E+00        0.25E-05
        0.7468E-01     -0.5401E+00    0.458920E-03       -0.54E+00        0.51E-04
        0.7094E-01     -0.5401E+00    0.402437E-03       -0.54E+00        0.39E-04
        0.6740E-01     -0.5401E+00    0.402437E-03       -0.54E+00        0.37E-04
        0.6403E-01     -0.5401E+00    0.374196E-03       -0.54E+00        0.78E-05
        0.6083E-01     -0.5401E+00    0.317714E-03       -0.54E+00        0.35E-04
        0.5778E-01     -0.5401E+00    0.317714E-03       -0.54E+00        0.21E-04
        0.5489E-01     -0.5402E+00    0.261231E-03       -0.54E+00        0.57E-04
        0.5215E-01     -0.5401E+00    0.317714E-03       -0.54E+00        0.90E-04
        0.4954E-01     -0.5402E+00    0.261231E-03       -0.54E+00        0.56E-04
        0.4707E-01     -0.5402E+00    0.204749E-03       -0.54E+00        0.33E-05
        0.4471E-01     -0.5402E+00    0.261231E-03       -0.54E+00        0.27E-03
        0.4248E-01     -0.5402E+00    0.148266E-03       -0.54E+00        0.20E-03
        0.4035E-01     -0.5402E+00    0.148266E-03       -0.54E+00        0.40E-04
        0.3834E-01     -0.5402E+00    0.148266E-03       -0.54E+00        0.92E-04
        0.3642E-01     -0.5402E+00    0.261231E-03       -0.54E+00        0.11E-03
        0.3460E-01     -0.5403E+00    0.353015E-04       -0.54E+00        0.27E-03
