   #x=  30.00
             #h           3-point     Error             5-point          Error
        0.3140E+00     -0.1530E+00    0.819426E-02       -0.15E+00        0.11E-03
        0.2983E+00     -0.1531E+00    0.739516E-02       -0.15E+00        0.91E-04
        0.2834E+00     -0.1532E+00    0.667798E-02       -0.15E+00        0.81E-04
        0.2692E+00     -0.1533E+00    0.601798E-02       -0.15E+00        0.51E-04
        0.2558E+00     -0.1534E+00    0.544300E-02       -0.15E+00        0.56E-04
        0.2430E+00     -0.1535E+00    0.490512E-02       -0.15E+00        0.37E-04
        0.2308E+00     -0.1536E+00    0.442287E-02       -0.15E+00        0.26E-04
        0.2193E+00     -0.1536E+00    0.399318E-02       -0.15E+00        0.21E-04
        0.2083E+00     -0.1537E+00    0.360368E-02       -0.15E+00        0.87E-05
        0.1979E+00     -0.1538E+00    0.324818E-02       -0.15E+00        0.87E-05
        0.1880E+00     -0.1538E+00    0.293287E-02       -0.15E+00        0.11E-04
        0.1786E+00     -0.1538E+00    0.264229E-02       -0.15E+00        0.97E-07
        0.1697E+00     -0.1539E+00    0.238262E-02       -0.15E+00        0.19E-05
        0.1612E+00     -0.1539E+00    0.214768E-02       -0.15E+00        0.30E-05
        0.1531E+00     -0.1539E+00    0.196220E-02       -0.15E+00        0.11E-04
        0.1455E+00     -0.1540E+00    0.175818E-02       -0.15E+00        0.12E-04
        0.1382E+00     -0.1540E+00    0.159125E-02       -0.15E+00        0.19E-04
        0.1313E+00     -0.1540E+00    0.143668E-02       -0.15E+00        0.45E-05
        0.1247E+00     -0.1541E+00    0.128830E-02       -0.15E+00        0.32E-05
        0.1185E+00     -0.1541E+00    0.117701E-02       -0.15E+00        0.18E-04
        0.1126E+00     -0.1541E+00    0.105336E-02       -0.15E+00        0.50E-05
        0.1069E+00     -0.1541E+00    0.954438E-03       -0.15E+00        0.13E-04
        0.1016E+00     -0.1541E+00    0.855517E-03       -0.15E+00        0.13E-04
        0.9651E-01     -0.1541E+00    0.744230E-03       -0.15E+00        0.11E-04
        0.9168E-01     -0.1541E+00    0.694769E-03       -0.15E+00        0.48E-05
        0.8710E-01     -0.1542E+00    0.620578E-03       -0.15E+00        0.13E-04
        0.8275E-01     -0.1542E+00    0.571117E-03       -0.15E+00        0.10E-04
        0.7861E-01     -0.1542E+00    0.521656E-03       -0.15E+00        0.43E-05
        0.7468E-01     -0.1542E+00    0.422735E-03       -0.15E+00        0.38E-04
        0.7094E-01     -0.1542E+00    0.422735E-03       -0.15E+00        0.24E-04
        0.6740E-01     -0.1542E+00    0.348544E-03       -0.15E+00        0.32E-04
        0.6403E-01     -0.1542E+00    0.348544E-03       -0.15E+00        0.25E-04
        0.6083E-01     -0.1542E+00    0.299083E-03       -0.15E+00        0.11E-04
        0.5778E-01     -0.1542E+00    0.200162E-03       -0.15E+00        0.34E-04
        0.5489E-01     -0.1542E+00    0.200162E-03       -0.15E+00        0.17E-04
        0.5215E-01     -0.1542E+00    0.150701E-03       -0.15E+00        0.69E-04
        0.4954E-01     -0.1542E+00    0.150701E-03       -0.15E+00        0.67E-05
        0.4707E-01     -0.1542E+00    0.101240E-03       -0.15E+00        0.44E-05
        0.4471E-01     -0.1542E+00    0.200162E-03       -0.15E+00        0.73E-04
        0.4248E-01     -0.1543E+00    0.231847E-05       -0.15E+00        0.13E-04
        0.4035E-01     -0.1542E+00    0.101240E-03       -0.15E+00        0.16E-03
        0.3834E-01     -0.1542E+00    0.101240E-03       -0.15E+00        0.48E-04
        0.3642E-01     -0.1542E+00    0.101240E-03       -0.15E+00        0.10E-03
        0.3460E-01     -0.1542E+00    0.101240E-03       -0.15E+00        0.11E-03
        0.3287E-01     -0.1542E+00    0.101240E-03       -0.15E+00        0.12E-03
