 
      #t(days)          N(t)     N(t) True         error
  0.000000E+00  0.100000E+04  0.100000E+04  0.000000E+00
  0.100000E-01  0.100010E+04  0.100010E+04  0.499967E-08
  0.200000E-01  0.100020E+04  0.100020E+04  0.999933E-08
  0.300000E-01  0.100030E+04  0.100030E+04  0.149990E-07
  0.400000E-01  0.100040E+04  0.100040E+04  0.199987E-07
  0.500000E-01  0.100050E+04  0.100050E+04  0.249983E-07
  0.600000E-01  0.100060E+04  0.100060E+04  0.299980E-07
  0.700000E-01  0.100070E+04  0.100070E+04  0.349977E-07
  0.800000E-01  0.100080E+04  0.100080E+04  0.399973E-07
  0.900000E-01  0.100090E+04  0.100090E+04  0.449970E-07
  0.100000E+00  0.100100E+04  0.100100E+04  0.499967E-07
  0.110000E+00  0.100110E+04  0.100110E+04  0.549963E-07
  0.120000E+00  0.100120E+04  0.100120E+04  0.599960E-07
  0.130000E+00  0.100130E+04  0.100130E+04  0.649957E-07
  0.140000E+00  0.100140E+04  0.100140E+04  0.699953E-07
  0.150000E+00  0.100150E+04  0.100150E+04  0.749950E-07
  0.160000E+00  0.100160E+04  0.100160E+04  0.799947E-07
  0.170000E+00  0.100170E+04  0.100170E+04  0.849943E-07
  0.180000E+00  0.100180E+04  0.100180E+04  0.899940E-07
  0.190000E+00  0.100190E+04  0.100190E+04  0.949937E-07
  0.200000E+00  0.100200E+04  0.100200E+04  0.999933E-07
  0.210000E+00  0.100210E+04  0.100210E+04  0.104993E-06
  0.220000E+00  0.100220E+04  0.100220E+04  0.109993E-06
  0.230000E+00  0.100230E+04  0.100230E+04  0.114992E-06
  0.240000E+00  0.100240E+04  0.100240E+04  0.119992E-06
  0.250000E+00  0.100250E+04  0.100250E+04  0.124992E-06
  0.260000E+00  0.100260E+04  0.100260E+04  0.129991E-06
  0.270000E+00  0.100270E+04  0.100270E+04  0.134991E-06
  0.280000E+00  0.100280E+04  0.100280E+04  0.139991E-06
  0.290000E+00  0.100290E+04  0.100290E+04  0.144990E-06
  0.300000E+00  0.100300E+04  0.100300E+04  0.149990E-06
  0.310000E+00  0.100310E+04  0.100310E+04  0.154990E-06
  0.320000E+00  0.100320E+04  0.100321E+04  0.159989E-06
  0.330000E+00  0.100331E+04  0.100331E+04  0.164989E-06
  0.340000E+00  0.100341E+04  0.100341E+04  0.169989E-06
  0.350000E+00  0.100351E+04  0.100351E+04  0.174988E-06
  0.360000E+00  0.100361E+04  0.100361E+04  0.179988E-06
  0.370000E+00  0.100371E+04  0.100371E+04  0.184988E-06
  0.380000E+00  0.100381E+04  0.100381E+04  0.189987E-06
  0.390000E+00  0.100391E+04  0.100391E+04  0.194987E-06
  0.400000E+00  0.100401E+04  0.100401E+04  0.199987E-06
  0.410000E+00  0.100411E+04  0.100411E+04  0.204986E-06
  0.420000E+00  0.100421E+04  0.100421E+04  0.209986E-06
  0.430000E+00  0.100431E+04  0.100431E+04  0.214986E-06
  0.440000E+00  0.100441E+04  0.100441E+04  0.219985E-06
  0.450000E+00  0.100451E+04  0.100451E+04  0.224985E-06
  0.460000E+00  0.100461E+04  0.100461E+04  0.229985E-06
  0.470000E+00  0.100471E+04  0.100471E+04  0.234984E-06
  0.480000E+00  0.100481E+04  0.100481E+04  0.239984E-06
  0.490000E+00  0.100491E+04  0.100491E+04  0.244984E-06
  0.500000E+00  0.100501E+04  0.100501E+04  0.249983E-06
  0.510000E+00  0.100511E+04  0.100511E+04  0.254983E-06
  0.520000E+00  0.100521E+04  0.100521E+04  0.259983E-06
  0.530000E+00  0.100531E+04  0.100531E+04  0.264982E-06
  0.540000E+00  0.100541E+04  0.100541E+04  0.269982E-06
  0.550000E+00  0.100551E+04  0.100552E+04  0.274982E-06
  0.560000E+00  0.100562E+04  0.100562E+04  0.279981E-06
  0.570000E+00  0.100572E+04  0.100572E+04  0.284981E-06
  0.580000E+00  0.100582E+04  0.100582E+04  0.289981E-06
  0.590000E+00  0.100592E+04  0.100592E+04  0.294980E-06
  0.600000E+00  0.100602E+04  0.100602E+04  0.299980E-06
  0.610000E+00  0.100612E+04  0.100612E+04  0.304980E-06
  0.620000E+00  0.100622E+04  0.100622E+04  0.309979E-06
  0.630000E+00  0.100632E+04  0.100632E+04  0.314979E-06
  0.640000E+00  0.100642E+04  0.100642E+04  0.319979E-06
  0.650000E+00  0.100652E+04  0.100652E+04  0.324978E-06
  0.660000E+00  0.100662E+04  0.100662E+04  0.329978E-06
  0.670000E+00  0.100672E+04  0.100672E+04  0.334978E-06
  0.680000E+00  0.100682E+04  0.100682E+04  0.339977E-06
  0.690000E+00  0.100692E+04  0.100692E+04  0.344977E-06
  0.700000E+00  0.100702E+04  0.100702E+04  0.349977E-06
  0.710000E+00  0.100712E+04  0.100713E+04  0.354976E-06
  0.720000E+00  0.100723E+04  0.100723E+04  0.359976E-06
  0.730000E+00  0.100733E+04  0.100733E+04  0.364976E-06
  0.740000E+00  0.100743E+04  0.100743E+04  0.369975E-06
  0.750000E+00  0.100753E+04  0.100753E+04  0.374975E-06
  0.760000E+00  0.100763E+04  0.100763E+04  0.379975E-06
  0.770000E+00  0.100773E+04  0.100773E+04  0.384974E-06
