 #N     h      T-rule     S-rule    G-Quad            eT            eS            eG
  3   1.5708  1.570796  2.094395  2.000000    0.214602E+00    0.471976E-01    0.551422E-07
  5   0.7854  1.896119  2.004560  2.000000    0.519406E-01    0.227988E-02    0.166533E-14
  7   0.5236  1.954097  2.000863  2.000000    0.229514E-01    0.431595E-03    0.111022E-14
  9   0.3927  1.974232  2.000269  2.000000    0.128842E-01    0.134585E-03    0.421885E-14
 11   0.3142  1.983524  2.000110  2.000000    0.823823E-02    0.547587E-04    0.544009E-14
 13   0.2618  1.988564  2.000053  2.000000    0.571811E-02    0.263122E-04    0.477396E-14
 15   0.2244  1.991600  2.000028  2.000000    0.419979E-02    0.141718E-04    0.377476E-14
 17   0.1963  1.993570  2.000017  2.000000    0.321483E-02    0.829552E-05    0.310862E-14
 19   0.1745  1.994920  2.000010  2.000000    0.253977E-02    0.517385E-05    0.199840E-14
 21   0.1571  1.995886  2.000007  2.000000    0.205701E-02    0.339222E-05    0.133227E-14
 23   0.1428  1.996600  2.000005  2.000000    0.169989E-02    0.231575E-05    0.133227E-14
 25   0.1309  1.997143  2.000003  2.000000    0.142830E-02    0.163444E-05    0.310862E-14
 27   0.1208  1.997566  2.000002  2.000000    0.121696E-02    0.118628E-05    0.277556E-14
 29   0.1122  1.997901  2.000002  2.000000    0.104929E-02    0.881751E-06    0.188738E-14
 31   0.1047  1.998172  2.000001  2.000000    0.914019E-03    0.668974E-06    0.133227E-14
 33   0.0982  1.998393  2.000001  2.000000    0.803320E-03    0.516685E-06    0.666134E-15
 35   0.0924  1.998577  2.000001  2.000000    0.711578E-03    0.405371E-06    0.777156E-15
 37   0.0873  1.998731  2.000001  2.000000    0.634700E-03    0.322486E-06    0.222045E-15
 39   0.0827  1.998861  2.000001  2.000000    0.569640E-03    0.259744E-06    0.555112E-15
 41   0.0785  1.998972  2.000000  2.000000    0.514095E-03    0.211547E-06    0.555112E-15
 43   0.0748  1.999067  2.000000  2.000000    0.466295E-03    0.174028E-06    0.666134E-15
 45   0.0714  1.999150  2.000000  2.000000    0.424864E-03    0.144471E-06    0.111022E-15
 47   0.0683  1.999223  2.000000  2.000000    0.388720E-03    0.120931E-06    0.000000E+00
 49   0.0654  1.999286  2.000000  2.000000    0.356999E-03    0.101996E-06    0.000000E+00
 51   0.0628  1.999342  2.000000  2.000000    0.329008E-03    0.866266E-07    0.111022E-15
 53   0.0604  1.999392  2.000000  2.000000    0.304185E-03    0.740461E-07    0.444089E-15
 55   0.0582  1.999436  2.000000  2.000000    0.282069E-03    0.636688E-07    0.555112E-15
 57   0.0561  1.999475  2.000000  2.000000    0.262280E-03    0.550475E-07    0.333067E-15
 59   0.0542  1.999511  2.000000  2.000000    0.244503E-03    0.478373E-07    0.222045E-15
 61   0.0524  1.999543  2.000000  2.000000    0.228474E-03    0.417699E-07    0.111022E-15
 63   0.0507  1.999572  2.000000  2.000000    0.213970E-03    0.366347E-07    0.000000E+00
 65   0.0491  1.999598  2.000000  2.000000    0.200806E-03    0.322650E-07    0.333067E-15
 67   0.0476  1.999622  2.000000  2.000000    0.188820E-03    0.285278E-07    0.555112E-15
 69   0.0462  1.999644  2.000000  2.000000    0.177875E-03    0.253164E-07    0.000000E+00
 71   0.0449  1.999664  2.000000  2.000000    0.167856E-03    0.225444E-07    0.777156E-15
 73   0.0436  1.999683  2.000000  2.000000    0.158660E-03    0.201417E-07    0.111022E-15
 75   0.0425  1.999700  2.000000  2.000000    0.150199E-03    0.180507E-07    0.888178E-15
 77   0.0413  1.999715  2.000000  2.000000    0.142398E-03    0.162241E-07    0.111022E-14
 79   0.0403  1.999730  2.000000  2.000000    0.135189E-03    0.146229E-07    0.111022E-14
 81   0.0393  1.999743  2.000000  2.000000    0.128514E-03    0.132144E-07    0.444089E-15
 83   0.0383  1.999755  2.000000  2.000000    0.122321E-03    0.119715E-07    0.111022E-14
 85   0.0374  1.999767  2.000000  2.000000    0.116566E-03    0.108713E-07    0.122125E-14
 87   0.0365  1.999778  2.000000  2.000000    0.111207E-03    0.989469E-08    0.222045E-15
 89   0.0357  1.999788  2.000000  2.000000    0.106209E-03    0.902531E-08    0.999201E-15
 91   0.0349  1.999797  2.000000  2.000000    0.101541E-03    0.824935E-08    0.999201E-15
 93   0.0341  1.999806  2.000000  2.000000    0.971743E-04    0.755503E-08    0.222045E-15
 95   0.0334  1.999814  2.000000  2.000000    0.930831E-04    0.693224E-08    0.333067E-15
 97   0.0327  1.999822  2.000000  2.000000    0.892450E-04    0.637232E-08    0.222045E-15
 99   0.0321  1.999829  2.000000  2.000000    0.856394E-04    0.586781E-08    0.111022E-14
101   0.0314  1.999836  2.000000  2.000000    0.822481E-04    0.541225E-08    0.888178E-15
103   0.0308  1.999842  2.000000  2.000000    0.790542E-04    0.500006E-08    0.444089E-15
105   0.0302  1.999848  2.000000  2.000000    0.760429E-04    0.462637E-08    0.111022E-14
107   0.0296  1.999854  2.000000  2.000000    0.732003E-04    0.428696E-08    0.444089E-15
109   0.0291  1.999859  2.000000  2.000000    0.705143E-04    0.397810E-08    0.188738E-14
111   0.0286  1.999864  2.000000  2.000000    0.679734E-04    0.369657E-08    0.555112E-15
113   0.0280  1.999869  2.000000  2.000000    0.655674E-04    0.343950E-08    0.777156E-15
115   0.0276  1.999873  2.000000  2.000000    0.632870E-04    0.320440E-08    0.155431E-14
117   0.0271  1.999878  2.000000  2.000000    0.611234E-04    0.298905E-08    0.166533E-14
119   0.0266  1.999882  2.000000  2.000000    0.590690E-04    0.279149E-08    0.177636E-14
121   0.0262  1.999886  2.000000  2.000000    0.571164E-04    0.260998E-08    0.133227E-14
123   0.0258  1.999889  2.000000  2.000000    0.552591E-04    0.244299E-08    0.155431E-14
125   0.0253  1.999893  2.000000  2.000000    0.534909E-04    0.228915E-08    0.144329E-14
127   0.0249  1.999896  2.000000  2.000000    0.518062E-04    0.214722E-08    0.155431E-14
129   0.0245  1.999900  2.000000  2.000000    0.501999E-04    0.201613E-08    0.199840E-14
131   0.0242  1.999903  2.000000  2.000000    0.486672E-04    0.189489E-08    0.222045E-15
133   0.0238  1.999906  2.000000  2.000000    0.472036E-04    0.178263E-08    0.999201E-15
135   0.0234  1.999908  2.000000  2.000000    0.458050E-04    0.167856E-08    0.233147E-14
137   0.0231  1.999911  2.000000  2.000000    0.444677E-04    0.158197E-08    0.199840E-14
139   0.0228  1.999914  2.000000  2.000000    0.431881E-04    0.149224E-08    0.277556E-14
141   0.0224  1.999916  2.000000  2.000000    0.419630E-04    0.140877E-08    0.210942E-14
143   0.0221  1.999918  2.000000  2.000000    0.407892E-04    0.133106E-08    0.222045E-14
145   0.0218  1.999921  2.000000  2.000000    0.396640E-04    0.125864E-08    0.244249E-14
147   0.0215  1.999923  2.000000  2.000000    0.385848E-04    0.119108E-08    0.177636E-14
149   0.0212  1.999925  2.000000  2.000000    0.375490E-04    0.112798E-08    0.177636E-14
151   0.0209  1.999927  2.000000  2.000000    0.365544E-04    0.106902E-08    0.177636E-14
153   0.0207  1.999929  2.000000  2.000000    0.355987E-04    0.101385E-08    0.177636E-14
155   0.0204  1.999931  2.000000  2.000000    0.346801E-04    0.962200E-09    0.233147E-14
157   0.0201  1.999932  2.000000  2.000000    0.337965E-04    0.913796E-09    0.288658E-14
159   0.0199  1.999934  2.000000  2.000000    0.329463E-04    0.868399E-09    0.333067E-14
161   0.0196  1.999936  2.000000  2.000000    0.321278E-04    0.825785E-09    0.299760E-14
163   0.0194  1.999937  2.000000  2.000000    0.313394E-04    0.785754E-09    0.255351E-14
165   0.0192  1.999939  2.000000  2.000000    0.305797E-04    0.748119E-09    0.288658E-14
167   0.0189  1.999940  2.000000  2.000000    0.298473E-04    0.712711E-09    0.288658E-14
169   0.0187  1.999942  2.000000  2.000000    0.291409E-04    0.679372E-09    0.255351E-14
171   0.0185  1.999943  2.000000  2.000000    0.284592E-04    0.647961E-09    0.321965E-14
173   0.0183  1.999944  2.000000  2.000000    0.278012E-04    0.618345E-09    0.410783E-14
175   0.0181  1.999946  2.000000  2.000000    0.271658E-04    0.590401E-09    0.399680E-14
177   0.0178  1.999947  2.000000  2.000000    0.265519E-04    0.564018E-09    0.321965E-14
179   0.0176  1.999948  2.000000  2.000000    0.259586E-04    0.539092E-09    0.355271E-14
181   0.0175  1.999949  2.000000  2.000000    0.253849E-04    0.515529E-09    0.344169E-14
183   0.0173  1.999950  2.000000  2.000000    0.248301E-04    0.493238E-09    0.333067E-14
185   0.0171  1.999951  2.000000  2.000000    0.242932E-04    0.472140E-09    0.421885E-14
187   0.0169  1.999952  2.000000  2.000000    0.237736E-04    0.452157E-09    0.388578E-14
189   0.0167  1.999953  2.000000  2.000000    0.232705E-04    0.433222E-09    0.466294E-14
191   0.0165  1.999954  2.000000  2.000000    0.227831E-04    0.415267E-09    0.366374E-14
193   0.0164  1.999955  2.000000  2.000000    0.223109E-04    0.398232E-09    0.399680E-14
195   0.0162  1.999956  2.000000  2.000000    0.218533E-04    0.382062E-09    0.399680E-14
197   0.0160  1.999957  2.000000  2.000000    0.214096E-04    0.366705E-09    0.299760E-14
199   0.0159  1.999958  2.000000  2.000000    0.209792E-04    0.352111E-09    0.366374E-14
201   0.0157  1.999959  2.000000  2.000000    0.205618E-04    0.338236E-09    0.455191E-14
203   0.0156  1.999960  2.000000  2.000000    0.201566E-04    0.325038E-09    0.421885E-14
205   0.0154  1.999960  2.000000  2.000000    0.197633E-04    0.312477E-09    0.510703E-14
207   0.0153  1.999961  2.000000  2.000000    0.193814E-04    0.300518E-09    0.455191E-14
209   0.0151  1.999962  2.000000  2.000000    0.190105E-04    0.289125E-09    0.466294E-14
211   0.0150  1.999963  2.000000  2.000000    0.186501E-04    0.278267E-09    0.555112E-14
213   0.0148  1.999963  2.000000  2.000000    0.182999E-04    0.267913E-09    0.588418E-14
215   0.0147  1.999964  2.000000  2.000000    0.179594E-04    0.258038E-09    0.544009E-14
217   0.0145  1.999965  2.000000  2.000000    0.176284E-04    0.248613E-09    0.499600E-14
219   0.0144  1.999965  2.000000  2.000000    0.173064E-04    0.239614E-09    0.632827E-14
221   0.0143  1.999966  2.000000  2.000000    0.169932E-04    0.231018E-09    0.577316E-14
223   0.0142  1.999967  2.000000  2.000000    0.166884E-04    0.222805E-09    0.643929E-14
225   0.0140  1.999967  2.000000  2.000000    0.163917E-04    0.214954E-09    0.699441E-14
227   0.0139  1.999968  2.000000  2.000000    0.161029E-04    0.207445E-09    0.477396E-14
229   0.0138  1.999968  2.000000  2.000000    0.158216E-04    0.200262E-09    0.621725E-14
231   0.0137  1.999969  2.000000  2.000000    0.155476E-04    0.193386E-09    0.588418E-14
233   0.0135  1.999969  2.000000  2.000000    0.152807E-04    0.186804E-09    0.699441E-14
235   0.0134  1.999970  2.000000  2.000000    0.150206E-04    0.180498E-09    0.732747E-14
237   0.0133  1.999970  2.000000  2.000000    0.147671E-04    0.174457E-09    0.632827E-14
239   0.0132  1.999971  2.000000  2.000000    0.145200E-04    0.168666E-09    0.743849E-14
241   0.0131  1.999971  2.000000  2.000000    0.142790E-04    0.163114E-09    0.599520E-14
243   0.0130  1.999972  2.000000  2.000000    0.140439E-04    0.157789E-09    0.643929E-14
245   0.0129  1.999972  2.000000  2.000000    0.138147E-04    0.152677E-09    0.699441E-14
247   0.0128  1.999973  2.000000  2.000000    0.135909E-04    0.147773E-09    0.688338E-14
249   0.0127  1.999973  2.000000  2.000000    0.133726E-04    0.143063E-09    0.677236E-14
251   0.0126  1.999974  2.000000  2.000000    0.131595E-04    0.138540E-09    0.754952E-14
253   0.0125  1.999974  2.000000  2.000000    0.129515E-04    0.134194E-09    0.865974E-14
255   0.0124  1.999975  2.000000  2.000000    0.127483E-04    0.130017E-09    0.754952E-14
257   0.0123  1.999975  2.000000  2.000000    0.125499E-04    0.126001E-09    0.777156E-14
259   0.0122  1.999975  2.000000  2.000000    0.123561E-04    0.122139E-09    0.854872E-14
261   0.0121  1.999976  2.000000  2.000000    0.121667E-04    0.118424E-09    0.777156E-14
263   0.0120  1.999976  2.000000  2.000000    0.119817E-04    0.114849E-09    0.743849E-14
265   0.0119  1.999976  2.000000  2.000000    0.118008E-04    0.111408E-09    0.810463E-14
267   0.0118  1.999977  2.000000  2.000000    0.116240E-04    0.108095E-09    0.943690E-14
269   0.0117  1.999977  2.000000  2.000000    0.114512E-04    0.104905E-09    0.921485E-14
271   0.0116  1.999977  2.000000  2.000000    0.112822E-04    0.101831E-09    0.854872E-14
273   0.0115  1.999978  2.000000  2.000000    0.111168E-04    0.988689E-10    0.777156E-14
275   0.0115  1.999978  2.000000  2.000000    0.109551E-04    0.960134E-10    0.921485E-14
277   0.0114  1.999978  2.000000  2.000000    0.107970E-04    0.932610E-10    0.810463E-14
279   0.0113  1.999979  2.000000  2.000000    0.106422E-04    0.906051E-10    0.888178E-14
281   0.0112  1.999979  2.000000  2.000000    0.104907E-04    0.880442E-10    0.832667E-14
283   0.0111  1.999979  2.000000  2.000000    0.103424E-04    0.855729E-10    0.976996E-14
285   0.0111  1.999980  2.000000  2.000000    0.101972E-04    0.831881E-10    0.843769E-14
287   0.0110  1.999980  2.000000  2.000000    0.100551E-04    0.808857E-10    0.976996E-14
289   0.0109  1.999980  2.000000  2.000000    0.991595E-05    0.786617E-10    0.965894E-14
291   0.0108  1.999980  2.000000  2.000000    0.977965E-05    0.765141E-10    0.943690E-14
293   0.0108  1.999981  2.000000  2.000000    0.964614E-05    0.744387E-10    0.999201E-14
295   0.0107  1.999981  2.000000  2.000000    0.951535E-05    0.724343E-10    0.943690E-14
297   0.0106  1.999981  2.000000  2.000000    0.938720E-05    0.704961E-10    0.108802E-13
299   0.0105  1.999981  2.000000  2.000000    0.926162E-05    0.686220E-10    0.999201E-14
301   0.0105  1.999982  2.000000  2.000000    0.913854E-05    0.668110E-10    0.910383E-14
303   0.0104  1.999982  2.000000  2.000000    0.901790E-05    0.650588E-10    0.112133E-13
305   0.0103  1.999982  2.000000  2.000000    0.889963E-05    0.633640E-10    0.965894E-14
307   0.0103  1.999982  2.000000  2.000000    0.878368E-05    0.617233E-10    0.109912E-13
309   0.0102  1.999983  2.000000  2.000000    0.866997E-05    0.601348E-10    0.105471E-13
311   0.0101  1.999983  2.000000  2.000000    0.855846E-05    0.585987E-10    0.112133E-13
313   0.0101  1.999983  2.000000  2.000000    0.844909E-05    0.571105E-10    0.965894E-14
315   0.0100  1.999983  2.000000  2.000000    0.834180E-05    0.556692E-10    0.105471E-13
