        #E     huber       exp     error
      0.00     10.65     10.65      0.00
      5.00     11.96     12.00      0.04
     10.00     13.60     13.60      0.00
     15.00     15.52     15.53      0.01
     20.00     17.85     17.85      0.00
     25.00     20.66     20.67      0.01
     30.00     24.11     24.11      0.00
     35.00     28.35     28.34      0.00
     40.00     33.54     33.54      0.00
     45.00     39.95     39.87      0.08
     50.00     47.44     47.44      0.00
     55.00     56.40     56.17      0.23
     60.00     65.56     65.56      0.00
     65.00     74.43     74.45      0.01
     70.00     81.04     81.04      0.00
     75.00     82.97     83.50      0.52
     80.00     81.04     81.04      0.00
     85.00     74.43     74.45      0.01
     90.00     65.56     65.56      0.00
     95.00     56.40     56.17      0.23
    100.00     47.44     47.44      0.00
    105.00     39.95     39.87      0.08
    110.00     33.54     33.54      0.00
    115.00     28.35     28.34      0.00
    120.00     24.11     24.11      0.00
    125.00     20.66     20.67      0.01
    130.00     17.85     17.85      0.00
    135.00     15.52     15.53      0.01
    140.00     13.60     13.60      0.00
    145.00     11.99     12.00      0.01
    150.00     10.65     10.65      0.00
    155.00      9.50      9.51      0.00
    160.00      8.53      8.53      0.00
    165.00      7.69      7.70      0.00
    170.00      6.97      6.97      0.00
    175.00      6.34      6.34      0.00
    180.00      5.80      5.80      0.00
    185.00      5.32      5.31      0.00
    190.00      4.89      4.89      0.00
    195.00      4.51      4.51      0.00
    200.00      4.17      4.17      0.00
