        #E    recipe       exp     error
      0.00     10.65     10.65      0.00
      2.00     11.37     11.16      0.21
      4.00     12.09     11.71      0.38
      6.00     12.80     12.30      0.51
      8.00     13.52     12.93      0.60
     10.00     14.24     13.60      0.64
     12.00     14.96     14.33      0.63
     14.00     15.69     15.11      0.57
     16.00     16.41     15.95      0.45
     18.00     17.13     16.86      0.26
     20.00     17.85     17.85      0.00
     22.00     19.42     18.91      0.51
     24.00     20.98     20.06      0.93
     26.00     22.55     21.30      1.25
     28.00     24.12     22.65      1.47
     30.00     25.69     24.11      1.57
     32.00     27.26     25.70      1.55
     34.00     28.83     27.43      1.40
     36.00     30.40     29.30      1.10
     38.00     31.97     31.33      0.63
     40.00     33.54     33.54      0.00
     42.00     36.74     35.92      0.82
     44.00     39.94     38.50      1.44
     46.00     43.14     41.28      1.86
     48.00     46.34     44.26      2.08
     50.00     49.55     47.44      2.11
     52.00     52.75     50.81      1.94
     54.00     55.95     54.35      1.60
     56.00     59.15     58.02      1.13
     58.00     62.36     61.78      0.57
     60.00     65.56     65.56      0.00
     62.00     67.12     69.26      2.15
     64.00     68.67     72.79      4.12
     66.00     70.22     76.01      5.79
     68.00     71.78     78.80      7.03
     70.00     73.33     81.04      7.71
     72.00     74.87     82.60      7.72
     74.00     76.42     83.40      6.98
     76.00     77.96     83.40      5.44
     78.00     79.50     82.60      3.09
     80.00     81.04     81.04      0.00
     82.00     77.69     78.80      1.12
     84.00     74.33     76.01      1.68
     86.00     70.97     72.79      1.81
     88.00     67.61     69.26      1.65
     90.00     64.25     65.56      1.31
     92.00     60.89     61.78      0.89
     94.00     57.53     58.02      0.50
     96.00     54.16     54.35      0.19
     98.00     50.80     50.81      0.01
    100.00     47.44     47.44      0.00
    102.00     45.10     44.26      0.84
    104.00     42.77     41.28      1.49
    106.00     40.43     38.50      1.93
    108.00     38.10     35.92      2.17
    110.00     35.76     33.54      2.23
    112.00     33.43     31.33      2.10
    114.00     31.10     29.30      1.80
    116.00     28.77     27.43      1.34
    118.00     26.44     25.70      0.74
    120.00     24.11     24.11      0.00
    122.00     23.06     22.65      0.41
    124.00     22.01     21.30      0.70
    126.00     20.95     20.06      0.90
    128.00     19.90     18.91      0.99
    130.00     18.85     17.85      1.00
    132.00     17.80     16.86      0.94
    134.00     16.75     15.95      0.79
    136.00     15.70     15.11      0.59
    138.00     14.65     14.33      0.32
    140.00     13.60     13.60      0.00
    142.00     13.09     12.93      0.17
    144.00     12.58     12.30      0.29
    146.00     12.08     11.71      0.37
    148.00     11.57     11.16      0.41
    150.00     11.06     10.65      0.41
    152.00     10.56     10.17      0.39
    154.00     10.05      9.72      0.33
    156.00      9.54      9.30      0.24
    158.00      9.04      8.90      0.13
    160.00      8.53      8.53      0.00
    162.00      8.26      8.18      0.07
    164.00      7.98      7.85      0.13
    166.00      7.71      7.54      0.17
    168.00      7.44      7.25      0.19
    170.00      7.16      6.97      0.19
    172.00      6.89      6.71      0.18
    174.00      6.62      6.46      0.16
    176.00      6.35      6.23      0.12
    178.00      6.07      6.01      0.07
    180.00      5.80      5.80      0.00
    182.00      5.64      5.60      0.04
    184.00      5.47      5.40      0.07
    186.00      5.31      5.22      0.09
    188.00      5.15      5.05      0.10
    190.00      4.98      4.89      0.10
    192.00      4.82      4.73      0.09
    194.00      4.66      4.58      0.08
    196.00      4.49      4.44      0.05
    198.00      4.33      4.30      0.03
    200.00      4.17      4.17      0.00
