gauss points     final           1st     1st error           2nd     2nd error           3rd     3rd error
           1     0.267       0.80000     0.186E-01       0.38940     0.232E+00       0.85776    -0.426E+00
           2     0.280       0.78689     0.189E-02       0.31275    -0.105E-01       1.13634    -0.239E+00
           3     0.308       0.78527    -0.169E-03       0.31614     0.254E-03       1.24190    -0.169E+00
           4     0.322       0.78540     0.379E-05       0.31606    -0.317E-05       1.29880    -0.130E+00
           5     0.331       0.78540    -0.234E-05       0.31606     0.931E-06       1.33461    -0.106E+00
           6     0.337       0.78540    -0.235E-05       0.31606     0.884E-06       1.35926    -0.900E-01
           7     0.342       0.78540    -0.234E-05       0.31606     0.884E-06       1.37727    -0.779E-01
           8     0.345       0.78540    -0.234E-05       0.31606     0.884E-06       1.39102    -0.687E-01
           9     0.348       0.78540    -0.234E-05       0.31606     0.884E-06       1.40186    -0.615E-01
          10     0.350       0.78540    -0.234E-05       0.31606     0.884E-06       1.41062    -0.556E-01
          11     0.352       0.78540    -0.234E-05       0.31606     0.884E-06       1.41786    -0.507E-01
          12     0.353       0.78540    -0.234E-05       0.31606     0.884E-06       1.42393    -0.467E-01
          13     0.355       0.78540    -0.234E-05       0.31606     0.884E-06       1.42910    -0.432E-01
          14     0.356       0.78540    -0.234E-05       0.31606     0.884E-06       1.43356    -0.402E-01
          15     0.357       0.78540    -0.234E-05       0.31606     0.884E-06       1.43744    -0.376E-01
          16     0.358       0.78540    -0.234E-05       0.31606     0.884E-06       1.44085    -0.353E-01
          17     0.358       0.78540    -0.234E-05       0.31606     0.884E-06       1.44387    -0.333E-01
          18     0.359       0.78540    -0.234E-05       0.31606     0.884E-06       1.44657    -0.315E-01
          19     0.360       0.78540    -0.234E-05       0.31606     0.884E-06       1.44898    -0.299E-01
          20     0.360       0.78540    -0.234E-05       0.31606     0.884E-06       1.45116    -0.284E-01
          21     0.361       0.78540    -0.234E-05       0.31606     0.884E-06       1.45314    -0.271E-01
          22     0.361       0.78540    -0.234E-05       0.31606     0.884E-06       1.45494    -0.259E-01
          23     0.362       0.78540    -0.234E-05       0.31606     0.884E-06       1.45659    -0.248E-01
          24     0.362       0.78540    -0.234E-05       0.31606     0.884E-06       1.45810    -0.238E-01
          25     0.362       0.78540    -0.234E-05       0.31606     0.884E-06       1.45950    -0.229E-01
          26     0.363       0.78540    -0.234E-05       0.31606     0.884E-06       1.46079    -0.220E-01
          27     0.363       0.78540    -0.234E-05       0.31606     0.884E-06       1.46198    -0.212E-01
          28     0.363       0.78540    -0.234E-05       0.31606     0.884E-06       1.46309    -0.205E-01
          29     0.363       0.78540    -0.234E-05       0.31606     0.884E-06       1.46413    -0.198E-01
          30     0.364       0.78540    -0.234E-05       0.31606     0.884E-06       1.46510    -0.191E-01
          31     0.364       0.78540    -0.234E-05       0.31606     0.884E-06       1.46600    -0.185E-01
          32     0.364       0.78540    -0.234E-05       0.31606     0.884E-06       1.46685    -0.179E-01
          33     0.364       0.78540    -0.234E-05       0.31606     0.884E-06       1.46765    -0.174E-01
          34     0.365       0.78540    -0.234E-05       0.31606     0.884E-06       1.46841    -0.169E-01
          35     0.365       0.78540    -0.234E-05       0.31606     0.884E-06       1.46912    -0.164E-01
          36     0.365       0.78540    -0.234E-05       0.31606     0.884E-06       1.46979    -0.160E-01
          37     0.365       0.78540    -0.234E-05       0.31606     0.884E-06       1.47043    -0.155E-01
          38     0.365       0.78540    -0.234E-05       0.31606     0.884E-06       1.47103    -0.151E-01
          39     0.365       0.78540    -0.234E-05       0.31606     0.884E-06       1.47160    -0.148E-01
          40     0.365       0.78540    -0.234E-05       0.31606     0.884E-06       1.47215    -0.144E-01
          41     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47267    -0.140E-01
          42     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47316    -0.137E-01
          43     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47363    -0.134E-01
          44     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47408    -0.131E-01
          45     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47451    -0.128E-01
          46     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47492    -0.125E-01
          47     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47532    -0.123E-01
          48     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47569    -0.120E-01
          49     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47606    -0.118E-01
          50     0.366       0.78540    -0.234E-05       0.31606     0.884E-06       1.47641    -0.115E-01
          51     0.367       0.78540    -0.234E-05       0.31606     0.884E-06       1.47674    -0.113E-01
          52     0.367       0.78540    -0.234E-05       0.31606     0.884E-06       1.47706    -0.111E-01
          53     0.367       0.78540    -0.234E-05       0.31606     0.884E-06       1.47737    -0.109E-01
          54     0.367       0.78540    -0.234E-05       0.31606     0.884E-06       1.47767    -0.107E-01
          55     0.367       0.78540    -0.234E-05       0.31606     0.884E-06       1.47796    -0.105E-01
          56     0.367       0.78540    -0.234E-05       0.31606     0.884E-06       1.47824    -0.103E-01
          57     0.367       0.78540    -0.234E-05       0.31606     0.884E-06       1.47851    -0.101E-01
