 #step size h =  0.1
            #x         exact         Euler         error     Imp_Euler         error           rk4         error
     -2.000000     -0.981684     -0.988471      0.006786     -0.981108      0.000576     -0.981683      0.000001
     -1.900000     -0.977629     -0.985588      0.007959     -0.976961      0.000668     -0.977628      0.000001
     -1.800000     -0.972676     -0.981986      0.009309     -0.971904      0.000773     -0.972675      0.000002
     -1.700000     -0.966627     -0.977482      0.010855     -0.965736      0.000891     -0.966625      0.000002
     -1.600000     -0.959238     -0.971853      0.012615     -0.958215      0.001023     -0.959236      0.000002
     -1.500000     -0.950213     -0.964816      0.014603     -0.949043      0.001170     -0.950211      0.000002
     -1.400000     -0.939190     -0.956020      0.016830     -0.937857      0.001333     -0.939187      0.000003
     -1.300000     -0.925726     -0.945024      0.019298     -0.924216      0.001511     -0.925723      0.000003
     -1.200000     -0.909282     -0.931281      0.021998     -0.907580      0.001702     -0.909279      0.000003
     -1.100000     -0.889197     -0.914101      0.024904     -0.887293      0.001904     -0.889193      0.000004
     -1.000000     -0.864665     -0.892626      0.027961     -0.862552      0.002113     -0.864660      0.000004
     -0.900000     -0.834701     -0.865782      0.031081     -0.832380      0.002321     -0.834696      0.000005
     -0.800000     -0.798103     -0.832228      0.034124     -0.795586      0.002518     -0.798098      0.000005
     -0.700000     -0.753403     -0.790285      0.036882     -0.750715      0.002689     -0.753398      0.000005
     -0.600000     -0.698806     -0.737856      0.039050     -0.695993      0.002812     -0.698800      0.000006
     -0.500000     -0.632121     -0.672320      0.040199     -0.629260      0.002860     -0.632115      0.000006
     -0.400000     -0.550671     -0.590400      0.039729     -0.547878      0.002793     -0.550665      0.000006
     -0.300000     -0.451188     -0.488000      0.036812     -0.448632      0.002556     -0.451183      0.000005
     -0.200000     -0.329680     -0.360000      0.030320     -0.327600      0.002080     -0.329676      0.000004
     -0.100000     -0.181269     -0.200000      0.018731     -0.180000      0.001269     -0.181267      0.000003
      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
      0.100000      0.221403      0.200000      0.021403      0.220000      0.001403      0.221400      0.000003
      0.200000      0.491825      0.440000      0.051825      0.488400      0.003425      0.491818      0.000007
      0.300000      0.822119      0.728000      0.094119      0.815848      0.006271      0.822106      0.000012
      0.400000      1.225541      1.073600      0.151941      1.215335      0.010206      1.225521      0.000020
      0.500000      1.718282      1.488320      0.229962      1.702708      0.015574      1.718251      0.000031
      0.600000      2.320117      1.985984      0.334133      2.297304      0.022813      2.320072      0.000045
      0.700000      3.055200      2.583181      0.472019      3.022711      0.032489      3.055136      0.000064
      0.800000      3.953032      3.299817      0.653215      3.907707      0.045325      3.952943      0.000089
      0.900000      5.049647      4.159780      0.889867      4.987403      0.062245      5.049525      0.000123
      1.000000      6.389056      5.191736      1.197320      6.304631      0.084425      6.388889      0.000167
      1.100000      8.025013      6.430084      1.594930      7.911650      0.113363      8.024789      0.000224
      1.200000     10.023176      7.916100      2.107076      9.872213      0.150963     10.022878      0.000299
      1.300000     12.463738      9.699321      2.764417     12.264100      0.199638     12.463343      0.000395
      1.400000     15.444647     11.839185      3.605462     15.182202      0.262444     15.444127      0.000520
      1.500000     19.085537     14.407022      4.678515     18.742287      0.343250     19.084857      0.000680
      1.600000     23.532530     17.488426      6.044104     23.085590      0.446940     23.531644      0.000886
      1.700000     28.964100     21.186111      7.777989     28.384420      0.579680     28.962950      0.001150
      1.800000     35.598234     25.623333      9.974901     34.848992      0.749242     35.596747      0.001488
      1.900000     43.701184     30.948000     12.753185     42.735771      0.965414     43.699267      0.001918
      2.000000     53.598150     37.337600     16.260550     52.357640      1.240510     53.595684      0.002466
