              #x          answer           exact           error
        0.000000        0.000000        0.000000        0.000000
        0.100000        0.221432        0.221403        0.000029
        0.200000        0.491808        0.491825        0.000017
        0.300000        0.821528        0.822119        0.000591
        0.400000        1.222592        1.225541        0.002949
        0.500000        1.708600        1.718282        0.009682
        0.600000        2.294752        2.320117        0.025365
        0.700000        2.997848        3.055200        0.057352
        0.800000        3.836288        3.953032        0.116744
        0.900000        4.830072        5.049647        0.219575
        1.000000        6.000800        6.389056        0.388256
        1.100000        7.371672        8.025013        0.653341
        1.200000        8.967488       10.023176        1.055688
        1.300000       10.814648       12.463738        1.649090
        1.400000       12.941152       15.444647        2.503495
        1.500000       15.376600       19.085537        3.708937
        1.600000       18.152192       23.532530        5.380338
        1.700000       21.300728       28.964100        7.663372
        1.800000       24.856608       35.598234       10.741626
        1.900000       28.855832       43.701184       14.845352
        2.000000       33.336000       53.598150       20.262150
        0.000000        0.000000        0.000000        0.000000
       -0.100000       -0.181288       -0.181269        0.000019
       -0.200000       -0.329632       -0.329680        0.000048
       -0.300000       -0.450632       -0.451188        0.000556
       -0.400000       -0.548288       -0.550671        0.002383
       -0.500000       -0.625000       -0.632121        0.007121
       -0.600000       -0.681568       -0.698806        0.017238
       -0.700000       -0.717192       -0.753403        0.036211
       -0.800000       -0.729472       -0.798103        0.068631
       -0.900000       -0.714408       -0.834701        0.120293
       -1.000000       -0.666400       -0.864665        0.198265
       -1.100000       -0.578248       -0.889197        0.310949
       -1.200000       -0.441152       -0.909282        0.468130
       -1.300000       -0.244712       -0.925726        0.681014
       -1.400000        0.023072       -0.939190        0.962262
       -1.500000        0.375800       -0.950213        1.326013
       -1.600000        0.828672       -0.959238        1.787910
       -1.700000        1.398488       -0.966627        2.365115
       -1.800000        2.103648       -0.972676        3.076324
       -1.900000        2.964152       -0.977629        3.941781
       -2.000000        4.001600       -0.981684        4.983284
