 #  Runge-Kutta for damped harmonic oscillator
                #x                 y        analytical    Relative-error
 
      0.500000D-01      0.959770D+00      0.309017D+00      0.210588D+01
      0.100000D+00      0.868560D+00      0.587785D+00      0.477682D+00
      0.150000D+00      0.756779D+00      0.809017D+00      0.645693D-01
      0.200000D+00      0.642147D+00      0.951057D+00      0.324807D+00
      0.250000D+00      0.534323D+00      0.100000D+01      0.465677D+00
      0.300000D+00      0.437968D+00      0.951057D+00      0.539494D+00
      0.350000D+00      0.354733D+00      0.809017D+00      0.561526D+00
      0.400000D+00      0.284547D+00      0.587785D+00      0.515900D+00
      0.450000D+00      0.226423D+00      0.309017D+00      0.267280D+00
      0.500000D+00      0.178958D+00      0.566554D-15      0.315872D+15
      0.550000D+00      0.140630D+00     -0.309017D+00      0.145509D+01
      0.600000D+00      0.109962D+00     -0.587785D+00      0.118708D+01
      0.650000D+00      0.856083D-01     -0.809017D+00      0.110582D+01
      0.700000D+00      0.663941D-01     -0.951057D+00      0.106981D+01
      0.750000D+00      0.513181D-01     -0.100000D+01      0.105132D+01
      0.800000D+00      0.395454D-01     -0.951057D+00      0.104158D+01
      0.850000D+00      0.303906D-01     -0.809017D+00      0.103756D+01
      0.900000D+00      0.232979D-01     -0.587785D+00      0.103964D+01
      0.950000D+00      0.178207D-01     -0.309017D+00      0.105767D+01
      0.100000D+01      0.136034D-01      0.153143D-14      0.888284D+13
      0.105000D+01      0.103649D-01      0.309017D+00      0.966459D+00
      0.110000D+01      0.788383D-02      0.587785D+00      0.986587D+00
      0.115000D+01      0.598721D-02      0.809017D+00      0.992599D+00
      0.120000D+01      0.454023D-02      0.951057D+00      0.995226D+00
      0.125000D+01      0.343830D-02      0.100000D+01      0.996562D+00
      0.130000D+01      0.260053D-02      0.951057D+00      0.997266D+00
      0.135000D+01      0.196458D-02      0.809017D+00      0.997572D+00
      0.140000D+01      0.148252D-02      0.587785D+00      0.997478D+00
      0.145000D+01      0.111760D-02      0.309017D+00      0.996383D+00
      0.150000D+01      0.841689D-03     -0.318532D-14      0.264240D+12
      0.155000D+01      0.633319D-03     -0.309017D+00      0.100205D+01
      0.160000D+01      0.476125D-03     -0.587785D+00      0.100081D+01
      0.165000D+01      0.357659D-03     -0.809017D+00      0.100044D+01
      0.170000D+01      0.268463D-03     -0.951057D+00      0.100028D+01
      0.175000D+01      0.201366D-03     -0.100000D+01      0.100020D+01
      0.180000D+01      0.150935D-03     -0.951057D+00      0.100016D+01
      0.185000D+01      0.113061D-03     -0.809017D+00      0.100014D+01
      0.190000D+01      0.846376D-04     -0.587785D+00      0.100014D+01
      0.195000D+01      0.633227D-04     -0.309017D+00      0.100020D+01
      0.200000D+01      0.473490D-04      0.483921D-14      0.978444D+10
      0.205000D+01      0.353858D-04      0.309017D+00      0.999885D+00
      0.210000D+01      0.264317D-04      0.587785D+00      0.999955D+00
      0.215000D+01      0.197337D-04      0.809017D+00      0.999976D+00
      0.220000D+01      0.147261D-04      0.951057D+00      0.999985D+00
      0.225000D+01      0.109843D-04      0.100000D+01      0.999989D+00
      0.230000D+01      0.818976D-05      0.951057D+00      0.999991D+00
      0.235000D+01      0.610365D-05      0.809017D+00      0.999992D+00
      0.240000D+01      0.454710D-05      0.587785D+00      0.999992D+00
      0.245000D+01      0.338622D-05      0.309017D+00      0.999989D+00
      0.250000D+01      0.252078D-05      0.594139D-14      0.424274D+09
      0.255000D+01      0.187587D-05     -0.309017D+00      0.100001D+01
      0.260000D+01      0.139547D-05     -0.587785D+00      0.100000D+01
      0.265000D+01      0.103776D-05     -0.809017D+00      0.100000D+01
      0.270000D+01      0.771498D-06     -0.951057D+00      0.100000D+01
      0.275000D+01      0.573378D-06     -0.100000D+01      0.100000D+01
      0.280000D+01      0.426008D-06     -0.951057D+00      0.100000D+01
      0.285000D+01      0.316426D-06     -0.809017D+00      0.100000D+01
      0.290000D+01      0.234966D-06     -0.587785D+00      0.100000D+01
      0.295000D+01      0.174431D-06     -0.309017D+00      0.100000D+01
      0.300000D+01      0.129458D-06     -0.184984D-13      0.699833D+07
      0.305000D+01      0.960559D-07      0.309017D+00      0.100000D+01
      0.310000D+01      0.712549D-07      0.587785D+00      0.100000D+01
      0.315000D+01      0.528450D-07      0.809017D+00      0.100000D+01
      0.320000D+01      0.391826D-07      0.951057D+00      0.100000D+01
      0.325000D+01      0.290460D-07      0.100000D+01      0.100000D+01
      0.330000D+01      0.215271D-07      0.951057D+00      0.100000D+01
      0.335000D+01      0.159513D-07      0.809017D+00      0.100000D+01
      0.340000D+01      0.118172D-07      0.587785D+00      0.100000D+01
      0.345000D+01      0.875289D-08      0.309017D+00      0.100000D+01
      0.350000D+01      0.648192D-08      0.292790D-13      0.221384D+06
      0.355000D+01      0.479926D-08     -0.309017D+00      0.100000D+01
      0.360000D+01      0.355276D-08     -0.587785D+00      0.100000D+01
      0.365000D+01      0.262955D-08     -0.809017D+00      0.100000D+01
