 #  Runge-Kutta for damped harmonic oscillator
                #x                 y        analytical    Relative-error
 
      0.500000D-01      0.966985D+00      0.309017D+00      0.212923D+01
      0.100000D+00      0.930910D+00      0.587785D+00      0.583759D+00
      0.150000D+00      0.894155D+00      0.809017D+00      0.105236D+00
      0.200000D+00      0.857857D+00      0.951057D+00      0.979955D-01
      0.250000D+00      0.822545D+00      0.100000D+01      0.177455D+00
      0.300000D+00      0.788447D+00      0.951057D+00      0.170978D+00
      0.350000D+00      0.755644D+00      0.809017D+00      0.659730D-01
      0.400000D+00      0.724147D+00      0.587785D+00      0.231993D+00
      0.450000D+00      0.693935D+00      0.309017D+00      0.124562D+01
      0.500000D+00      0.664969D+00      0.566554D-15      0.117371D+16
      0.550000D+00      0.637205D+00     -0.309017D+00      0.306204D+01
      0.600000D+00      0.610597D+00     -0.587785D+00      0.203881D+01
      0.650000D+00      0.585098D+00     -0.809017D+00      0.172322D+01
      0.700000D+00      0.560664D+00     -0.951057D+00      0.158952D+01
      0.750000D+00      0.537249D+00     -0.100000D+01      0.153725D+01
      0.800000D+00      0.514812D+00     -0.951057D+00      0.154131D+01
      0.850000D+00      0.493312D+00     -0.809017D+00      0.160977D+01
      0.900000D+00      0.472710D+00     -0.587785D+00      0.180422D+01
      0.950000D+00      0.452968D+00     -0.309017D+00      0.246583D+01
      0.100000D+01      0.434051D+00      0.153143D-14      0.283429D+15
      0.105000D+01      0.415923D+00      0.309017D+00      0.345956D+00
      0.110000D+01      0.398553D+00      0.587785D+00      0.321941D+00
      0.115000D+01      0.381908D+00      0.809017D+00      0.527936D+00
      0.120000D+01      0.365958D+00      0.951057D+00      0.615208D+00
      0.125000D+01      0.350675D+00      0.100000D+01      0.649325D+00
      0.130000D+01      0.336030D+00      0.951057D+00      0.646678D+00
      0.135000D+01      0.321996D+00      0.809017D+00      0.601991D+00
      0.140000D+01      0.308548D+00      0.587785D+00      0.475066D+00
      0.145000D+01      0.295662D+00      0.309017D+00      0.432162D-01
      0.150000D+01      0.283315D+00     -0.318532D-14      0.889439D+14
      0.155000D+01      0.271483D+00     -0.309017D+00      0.187854D+01
      0.160000D+01      0.260145D+00     -0.587785D+00      0.144258D+01
      0.165000D+01      0.249280D+00     -0.809017D+00      0.130813D+01
      0.170000D+01      0.238869D+00     -0.951057D+00      0.125116D+01
      0.175000D+01      0.228893D+00     -0.100000D+01      0.122889D+01
      0.180000D+01      0.219334D+00     -0.951057D+00      0.123062D+01
      0.185000D+01      0.210174D+00     -0.809017D+00      0.125979D+01
      0.190000D+01      0.201397D+00     -0.587785D+00      0.134264D+01
      0.195000D+01      0.192986D+00     -0.309017D+00      0.162451D+01
      0.200000D+01      0.184926D+00      0.483921D-14      0.382141D+14
      0.205000D+01      0.177203D+00      0.309017D+00      0.426560D+00
      0.210000D+01      0.169802D+00      0.587785D+00      0.711115D+00
      0.215000D+01      0.162711D+00      0.809017D+00      0.798878D+00
      0.220000D+01      0.155915D+00      0.951057D+00      0.836061D+00
      0.225000D+01      0.149404D+00      0.100000D+01      0.850596D+00
      0.230000D+01      0.143164D+00      0.951057D+00      0.849468D+00
      0.235000D+01      0.137185D+00      0.809017D+00      0.830430D+00
      0.240000D+01      0.131456D+00      0.587785D+00      0.776354D+00
      0.245000D+01      0.125966D+00      0.309017D+00      0.592365D+00
      0.250000D+01      0.120705D+00      0.594139D-14      0.203160D+14
