 #  Runge-Kutta for damped harmonic oscillator
                #x                 y        analytical    Relative-error
 
      0.500000D-01      0.953540D+00      0.309017D+00      0.208572D+01
      0.100000D+00      0.827463D+00      0.587785D+00      0.407765D+00
      0.150000D+00      0.644759D+00      0.809017D+00      0.203034D+00
      0.200000D+00      0.430206D+00      0.951057D+00      0.547655D+00
      0.250000D+00      0.207866D+00      0.100000D+01      0.792134D+00
      0.300000D+00     -0.990999D-03      0.951057D+00      0.100104D+01
      0.350000D+00     -0.179406D+00      0.809017D+00      0.122176D+01
      0.400000D+00     -0.315642D+00      0.587785D+00      0.153700D+01
      0.450000D+00     -0.403491D+00      0.309017D+00      0.230572D+01
      0.500000D+00     -0.442025D+00      0.566554D-15      0.780200D+15
      0.550000D+00     -0.434922D+00     -0.309017D+00      0.407438D+00
      0.600000D+00     -0.389458D+00     -0.587785D+00      0.337415D+00
      0.650000D+00     -0.315324D+00     -0.809017D+00      0.610238D+00
      0.700000D+00     -0.223403D+00     -0.951057D+00      0.765100D+00
      0.750000D+00     -0.124605D+00     -0.100000D+01      0.875395D+00
      0.800000D+00     -0.288782D-01     -0.951057D+00      0.969636D+00
      0.850000D+00      0.555527D-01     -0.809017D+00      0.106867D+01
      0.900000D+00      0.122682D+00     -0.587785D+00      0.120872D+01
      0.950000D+00      0.168943D+00     -0.309017D+00      0.154671D+01
      0.100000D+01      0.193179D+00      0.153143D-14      0.126143D+15
      0.105000D+01      0.196396D+00      0.309017D+00      0.364450D+00
      0.110000D+01      0.181356D+00      0.587785D+00      0.691459D+00
      0.115000D+01      0.152075D+00      0.809017D+00      0.812025D+00
      0.120000D+01      0.113275D+00      0.951057D+00      0.880896D+00
      0.125000D+01      0.698528D-01      0.100000D+01      0.930147D+00
      0.130000D+01      0.264142D-01      0.951057D+00      0.972226D+00
      0.135000D+01     -0.131042D-01      0.809017D+00      0.101620D+01
      0.140000D+01     -0.456926D-01      0.587785D+00      0.107774D+01
      0.145000D+01     -0.694065D-01      0.309017D+00      0.122460D+01
      0.150000D+01     -0.833875D-01     -0.318532D-14      0.261787D+14
      0.155000D+01     -0.877837D-01     -0.309017D+00      0.715926D+00
