 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x            Energy    Relative error
 
      0.100000D+00      0.809102D+00      0.197232D+02      0.812397D-01
      0.200000D+00      0.310104D+00      0.197071D+02      0.162413D+00
      0.300000D+00     -0.306633D+00      0.196911D+02      0.243521D+00
      0.400000D+00     -0.806047D+00      0.196751D+02      0.324563D+00
      0.500000D+00     -0.997964D+00      0.196592D+02      0.405539D+00
      0.600000D+00     -0.809517D+00      0.196432D+02      0.486449D+00
      0.700000D+00     -0.312810D+00      0.196272D+02      0.567294D+00
      0.800000D+00      0.302669D+00      0.196113D+02      0.648073D+00
      0.900000D+00      0.802336D+00      0.195954D+02      0.728786D+00
      0.100000D+01      0.995920D+00      0.195794D+02      0.809433D+00
      0.110000D+01      0.809917D+00      0.195635D+02      0.890016D+00
      0.120000D+01      0.315500D+00      0.195476D+02      0.970532D+00
      0.130000D+01     -0.298716D+00      0.195318D+02      0.105098D+01
      0.140000D+01     -0.798627D+00      0.195159D+02      0.113137D+01
      0.150000D+01     -0.993868D+00      0.195000D+02      0.121169D+01
      0.160000D+01     -0.810303D+00      0.194842D+02      0.129195D+01
      0.170000D+01     -0.318174D+00      0.194684D+02      0.137214D+01
      0.180000D+01      0.294773D+00      0.194525D+02      0.145226D+01
      0.190000D+01      0.794919D+00      0.194367D+02      0.153232D+01
      0.200000D+01      0.991807D+00      0.194210D+02      0.161231D+01
      0.210000D+01      0.810673D+00      0.194052D+02      0.169224D+01
      0.220000D+01      0.320832D+00      0.193894D+02      0.177211D+01
      0.230000D+01     -0.290842D+00      0.193737D+02      0.185191D+01
      0.240000D+01     -0.791214D+00      0.193579D+02      0.193164D+01
      0.250000D+01     -0.989739D+00      0.193422D+02      0.201132D+01
      0.260000D+01     -0.811028D+00      0.193265D+02      0.209092D+01
      0.270000D+01     -0.323474D+00      0.193108D+02      0.217046D+01
      0.280000D+01      0.286922D+00      0.192951D+02      0.224994D+01
      0.290000D+01      0.787510D+00      0.192794D+02      0.232935D+01
      0.300000D+01      0.987663D+00      0.192638D+02      0.240870D+01
      0.310000D+01      0.811369D+00      0.192481D+02      0.248798D+01
      0.320000D+01      0.326100D+00      0.192325D+02      0.256720D+01
      0.330000D+01     -0.283014D+00      0.192168D+02      0.264635D+01
      0.340000D+01     -0.783809D+00      0.192012D+02      0.272544D+01
      0.350000D+01     -0.985579D+00      0.191856D+02      0.280447D+01
      0.360000D+01     -0.811695D+00      0.191700D+02      0.288343D+01
      0.370000D+01     -0.328710D+00      0.191545D+02      0.296233D+01
      0.380000D+01      0.279116D+00      0.191389D+02      0.304116D+01
      0.390000D+01      0.780109D+00      0.191234D+02      0.311993D+01
      0.400000D+01      0.983487D+00      0.191078D+02      0.319863D+01
      0.410000D+01      0.812006D+00      0.190923D+02      0.327728D+01
      0.420000D+01      0.331303D+00      0.190768D+02      0.335585D+01
      0.430000D+01     -0.275230D+00      0.190613D+02      0.343437D+01
      0.440000D+01     -0.776412D+00      0.190458D+02      0.351282D+01
      0.450000D+01     -0.981387D+00      0.190303D+02      0.359120D+01
      0.460000D+01     -0.812302D+00      0.190149D+02      0.366952D+01
      0.470000D+01     -0.333881D+00      0.189994D+02      0.374778D+01
      0.480000D+01      0.271355D+00      0.189840D+02      0.382598D+01
      0.490000D+01      0.772717D+00      0.189686D+02      0.390411D+01
      0.500000D+01      0.979280D+00      0.189532D+02      0.398218D+01
      0.510000D+01      0.812584D+00      0.189378D+02      0.406018D+01
      0.520000D+01      0.336443D+00      0.189224D+02      0.413812D+01
      0.530000D+01     -0.267491D+00      0.189070D+02      0.421600D+01
      0.540000D+01     -0.769024D+00      0.188916D+02      0.429382D+01
      0.550000D+01     -0.977165D+00      0.188763D+02      0.437157D+01
      0.560000D+01     -0.812852D+00      0.188610D+02      0.444925D+01
      0.570000D+01     -0.338989D+00      0.188456D+02      0.452688D+01
      0.580000D+01      0.263638D+00      0.188303D+02      0.460444D+01
      0.590000D+01      0.765334D+00      0.188150D+02      0.468194D+01
      0.600000D+01      0.975042D+00      0.187997D+02      0.475938D+01
      0.610000D+01      0.813104D+00      0.187845D+02      0.483675D+01
      0.620000D+01      0.341519D+00      0.187692D+02      0.491406D+01
      0.630000D+01     -0.259797D+00      0.187540D+02      0.499131D+01
      0.640000D+01     -0.761646D+00      0.187387D+02      0.506849D+01
      0.650000D+01     -0.972912D+00      0.187235D+02      0.514562D+01
      0.660000D+01     -0.813343D+00      0.187083D+02      0.522267D+01
      0.670000D+01     -0.344033D+00      0.186931D+02      0.529967D+01
      0.680000D+01      0.255967D+00      0.186779D+02      0.537661D+01
      0.690000D+01      0.757960D+00      0.186627D+02      0.545348D+01
      0.700000D+01      0.970775D+00      0.186476D+02      0.553029D+01
      0.710000D+01      0.813567D+00      0.186324D+02      0.560703D+01
      0.720000D+01      0.346531D+00      0.186173D+02      0.568372D+01
      0.730000D+01     -0.252148D+00      0.186022D+02      0.576034D+01
      0.740000D+01     -0.754277D+00      0.185871D+02      0.583690D+01
      0.750000D+01     -0.968630D+00      0.185720D+02      0.591340D+01
      0.760000D+01     -0.813777D+00      0.185569D+02      0.598983D+01
      0.770000D+01     -0.349013D+00      0.185418D+02      0.606621D+01
