 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x        analytical    Relative-error            Energy          log(Err)
 
      0.500000D-01      0.951058D+00      0.309017D+00      0.207769D+01      0.197389D+02     -0.715452D+01
      0.100000D+00      0.809035D+00      0.587785D+00      0.376413D+00      0.197387D+02     -0.713779D+01
      0.150000D+00      0.587833D+00      0.809017D+00      0.273398D+00      0.197384D+02     -0.712134D+01
      0.200000D+00      0.309102D+00      0.951057D+00      0.674990D+00      0.197382D+02     -0.710516D+01
      0.250000D+00      0.123039D-03      0.100000D+01      0.999877D+00      0.197379D+02     -0.708924D+01
      0.300000D+00     -0.308864D+00      0.951057D+00      0.132476D+01      0.197376D+02     -0.707356D+01
      0.350000D+00     -0.587619D+00      0.809017D+00      0.172634D+01      0.197374D+02     -0.705813D+01
      0.400000D+00     -0.808859D+00      0.587785D+00      0.237611D+01      0.197371D+02     -0.704293D+01
      0.450000D+00     -0.950932D+00      0.309017D+00      0.407728D+01      0.197369D+02     -0.702796D+01
      0.500000D+00     -0.999934D+00      0.566554D-15      0.176494D+16      0.197366D+02     -0.701321D+01
      0.550000D+00     -0.951071D+00     -0.309017D+00      0.207773D+01      0.197363D+02     -0.699867D+01
      0.600000D+00     -0.809127D+00     -0.587785D+00      0.376568D+00      0.197361D+02     -0.698435D+01
      0.650000D+00     -0.587994D+00     -0.809017D+00      0.273200D+00      0.197358D+02     -0.697022D+01
      0.700000D+00     -0.309316D+00     -0.951057D+00      0.674766D+00      0.197356D+02     -0.695629D+01
      0.750000D+00     -0.369093D-03     -0.100000D+01      0.999631D+00      0.197353D+02     -0.694256D+01
      0.800000D+00      0.308610D+00     -0.951057D+00      0.132449D+01      0.197350D+02     -0.692901D+01
      0.850000D+00      0.587381D+00     -0.809017D+00      0.172604D+01      0.197348D+02     -0.691564D+01
      0.900000D+00      0.808661D+00     -0.587785D+00      0.237578D+01      0.197345D+02     -0.690245D+01
      0.950000D+00      0.950793D+00     -0.309017D+00      0.407683D+01      0.197343D+02     -0.688943D+01
      0.100000D+01      0.999868D+00      0.153143D-14      0.652899D+15      0.197340D+02     -0.687658D+01
      0.105000D+01      0.951084D+00      0.309017D+00      0.207777D+01      0.197337D+02     -0.686389D+01
      0.110000D+01      0.809218D+00      0.587785D+00      0.376723D+00      0.197335D+02     -0.685136D+01
      0.115000D+01      0.588154D+00      0.809017D+00      0.273002D+00      0.197332D+02     -0.683898D+01
      0.120000D+01      0.309530D+00      0.951057D+00      0.674541D+00      0.197330D+02     -0.682676D+01
      0.125000D+01      0.615115D-03      0.100000D+01      0.999385D+00      0.197327D+02     -0.681468D+01
      0.130000D+01     -0.308356D+00      0.951057D+00      0.132422D+01      0.197324D+02     -0.680275D+01
      0.135000D+01     -0.587143D+00      0.809017D+00      0.172575D+01      0.197322D+02     -0.679096D+01
      0.140000D+01     -0.808463D+00      0.587785D+00      0.237544D+01      0.197319D+02     -0.677931D+01
      0.145000D+01     -0.950654D+00      0.309017D+00      0.407638D+01      0.197317D+02     -0.676779D+01
      0.150000D+01     -0.999802D+00     -0.318532D-14      0.313878D+15      0.197314D+02     -0.675640D+01
      0.155000D+01     -0.951098D+00     -0.309017D+00      0.207782D+01      0.197311D+02     -0.674515D+01
      0.160000D+01     -0.809309D+00     -0.587785D+00      0.376878D+00      0.197309D+02     -0.673401D+01
      0.165000D+01     -0.588314D+00     -0.809017D+00      0.272804D+00      0.197306D+02     -0.672300D+01
      0.170000D+01     -0.309743D+00     -0.951057D+00      0.674317D+00      0.197304D+02     -0.671211D+01
      0.175000D+01     -0.861104D-03     -0.100000D+01      0.999139D+00      0.197301D+02     -0.670134D+01
      0.180000D+01      0.308101D+00     -0.951057D+00      0.132396D+01      0.197298D+02     -0.669068D+01
      0.185000D+01      0.586905D+00     -0.809017D+00      0.172545D+01      0.197296D+02     -0.668013D+01
      0.190000D+01      0.808264D+00     -0.587785D+00      0.237510D+01      0.197293D+02     -0.666970D+01
      0.195000D+01      0.950515D+00     -0.309017D+00      0.407593D+01      0.197291D+02     -0.665937D+01
      0.200000D+01      0.999736D+00      0.483921D-14      0.206591D+15      0.197288D+02     -0.664915D+01
      0.205000D+01      0.951111D+00      0.309017D+00      0.207786D+01      0.197285D+02     -0.663903D+01
      0.210000D+01      0.809400D+00      0.587785D+00      0.377033D+00      0.197283D+02     -0.662901D+01
      0.215000D+01      0.588474D+00      0.809017D+00      0.272606D+00      0.197280D+02     -0.661910D+01
      0.220000D+01      0.309957D+00      0.951057D+00      0.674092D+00      0.197278D+02     -0.660928D+01
      0.225000D+01      0.110706D-02      0.100000D+01      0.998893D+00      0.197275D+02     -0.659955D+01
      0.230000D+01     -0.307847D+00      0.951057D+00      0.132369D+01      0.197272D+02     -0.658992D+01
      0.235000D+01     -0.586667D+00      0.809017D+00      0.172516D+01      0.197270D+02     -0.658039D+01
      0.240000D+01     -0.808066D+00      0.587785D+00      0.237476D+01      0.197267D+02     -0.657094D+01
      0.245000D+01     -0.950376D+00      0.309017D+00      0.407548D+01      0.197265D+02     -0.656158D+01
      0.250000D+01     -0.999670D+00      0.594139D-14      0.168255D+15      0.197262D+02     -0.655230D+01
      0.255000D+01     -0.951124D+00     -0.309017D+00      0.207790D+01      0.197259D+02     -0.654312D+01
      0.260000D+01     -0.809491D+00     -0.587785D+00      0.377188D+00      0.197257D+02     -0.653401D+01
      0.265000D+01     -0.588634D+00     -0.809017D+00      0.272408D+00      0.197254D+02     -0.652499D+01
      0.270000D+01     -0.310170D+00     -0.951057D+00      0.673868D+00      0.197252D+02     -0.651605D+01
      0.275000D+01     -0.135298D-02     -0.100000D+01      0.998647D+00      0.197249D+02     -0.650719D+01
      0.280000D+01      0.307592D+00     -0.951057D+00      0.132342D+01      0.197246D+02     -0.649841D+01
      0.285000D+01      0.586429D+00     -0.809017D+00      0.172487D+01      0.197244D+02     -0.648970D+01
      0.290000D+01      0.807868D+00     -0.587785D+00      0.237443D+01      0.197241D+02     -0.648107D+01
      0.295000D+01      0.950237D+00     -0.309017D+00      0.407503D+01      0.197239D+02     -0.647251D+01
      0.300000D+01      0.999603D+00     -0.184984D-13      0.540374D+14      0.197236D+02     -0.646403D+01
      0.305000D+01      0.951137D+00      0.309017D+00      0.207794D+01      0.197233D+02     -0.645561D+01
      0.310000D+01      0.809582D+00      0.587785D+00      0.377343D+00      0.197231D+02     -0.644727D+01
      0.315000D+01      0.588794D+00      0.809017D+00      0.272210D+00      0.197228D+02     -0.643900D+01
      0.320000D+01      0.310383D+00      0.951057D+00      0.673644D+00      0.197226D+02     -0.643079D+01
      0.325000D+01      0.159888D-02      0.100000D+01      0.998401D+00      0.197223D+02     -0.642265D+01
      0.330000D+01     -0.307338D+00      0.951057D+00      0.132315D+01      0.197220D+02     -0.641458D+01
      0.335000D+01     -0.586192D+00      0.809017D+00      0.172457D+01      0.197218D+02     -0.640657D+01
      0.340000D+01     -0.807670D+00      0.587785D+00      0.237409D+01      0.197215D+02     -0.639863D+01
      0.345000D+01     -0.950098D+00      0.309017D+00      0.407458D+01      0.197213D+02     -0.639075D+01
      0.350000D+01     -0.999537D+00      0.292790D-13      0.341384D+14      0.197210D+02     -0.638293D+01
      0.355000D+01     -0.951150D+00     -0.309017D+00      0.207798D+01      0.197207D+02     -0.637517D+01
      0.360000D+01     -0.809673D+00     -0.587785D+00      0.377497D+00      0.197205D+02     -0.636747D+01
      0.365000D+01     -0.588954D+00     -0.809017D+00      0.272013D+00      0.197202D+02     -0.635983D+01
      0.370000D+01     -0.310597D+00     -0.951057D+00      0.673419D+00      0.197200D+02     -0.635224D+01
      0.375000D+01     -0.184473D-02     -0.100000D+01      0.998155D+00      0.197197D+02     -0.634472D+01
      0.380000D+01      0.307084D+00     -0.951057D+00      0.132289D+01      0.197194D+02     -0.633725D+01
      0.385000D+01      0.585954D+00     -0.809017D+00      0.172428D+01      0.197192D+02     -0.632984D+01
      0.390000D+01      0.807472D+00     -0.587785D+00      0.237375D+01      0.197189D+02     -0.632248D+01
      0.395000D+01      0.949959D+00     -0.309017D+00      0.407413D+01      0.197187D+02     -0.631517D+01
      0.400000D+01      0.999471D+00     -0.400596D-13      0.249496D+14      0.197184D+02     -0.630792D+01
      0.405000D+01      0.951162D+00      0.309017D+00      0.207803D+01      0.197181D+02     -0.630072D+01
      0.410000D+01      0.809763D+00      0.587785D+00      0.377652D+00      0.197179D+02     -0.629357D+01
      0.415000D+01      0.589114D+00      0.809017D+00      0.271815D+00      0.197176D+02     -0.628647D+01
      0.420000D+01      0.310810D+00      0.951057D+00      0.673195D+00      0.197174D+02     -0.627943D+01
      0.425000D+01      0.209056D-02      0.100000D+01      0.997909D+00      0.197171D+02     -0.627243D+01
      0.430000D+01     -0.306829D+00      0.951057D+00      0.132262D+01      0.197168D+02     -0.626548D+01
      0.435000D+01     -0.585716D+00      0.809017D+00      0.172398D+01      0.197166D+02     -0.625858D+01
      0.440000D+01     -0.807274D+00      0.587785D+00      0.237342D+01      0.197163D+02     -0.625173D+01
      0.445000D+01     -0.949820D+00      0.309017D+00      0.407368D+01      0.197161D+02     -0.624492D+01
      0.450000D+01     -0.999404D+00      0.508402D-13      0.196578D+14      0.197158D+02     -0.623816D+01
      0.455000D+01     -0.951175D+00     -0.309017D+00      0.207807D+01      0.197155D+02     -0.623144D+01
      0.460000D+01     -0.809854D+00     -0.587785D+00      0.377806D+00      0.197153D+02     -0.622477D+01
      0.465000D+01     -0.589274D+00     -0.809017D+00      0.271618D+00      0.197150D+02     -0.621815D+01
      0.470000D+01     -0.311023D+00     -0.951057D+00      0.672971D+00      0.197148D+02     -0.621156D+01
      0.475000D+01     -0.233635D-02     -0.100000D+01      0.997664D+00      0.197145D+02     -0.620502D+01
      0.480000D+01      0.306575D+00     -0.951057D+00      0.132235D+01      0.197142D+02     -0.619853D+01
      0.485000D+01      0.585478D+00     -0.809017D+00      0.172369D+01      0.197140D+02     -0.619207D+01
      0.490000D+01      0.807075D+00     -0.587785D+00      0.237308D+01      0.197137D+02     -0.618566D+01
      0.495000D+01      0.949681D+00     -0.309017D+00      0.407323D+01      0.197135D+02     -0.617929D+01
      0.500000D+01      0.999338D+00     -0.616208D-13      0.162175D+14      0.197132D+02     -0.617296D+01
      0.505000D+01      0.951188D+00      0.309017D+00      0.207811D+01      0.197129D+02     -0.616666D+01
      0.510000D+01      0.809945D+00      0.587785D+00      0.377961D+00      0.197127D+02     -0.616041D+01
      0.515000D+01      0.589434D+00      0.809017D+00      0.271420D+00      0.197124D+02     -0.615420D+01
      0.520000D+01      0.311237D+00      0.951057D+00      0.672747D+00      0.197122D+02     -0.614802D+01
      0.525000D+01      0.258212D-02      0.100000D+01      0.997418D+00      0.197119D+02     -0.614189D+01
