 #     x               legendre p( 4 ,x)
  -.998999             0.815388690
  -.997999             0.820266264
  -.996999             0.819794439
  -.995999             0.817079660
  -.994999             0.813136773
  -.993999             0.808422235
  -.992999             0.803181069
  -.991999             0.797560332
  -.990999             0.791655365
  -.989999             0.785531586
  -.988999             0.779235880
  -.987999             0.772803025
  -.986999             0.766259551
  -.985999             0.759626170
  -.984999             0.752919372
  -.983999             0.746152503
  -.982999             0.739336521
  -.981999             0.732480540
  -.980999             0.725592218
  -.979999             0.718678059
  -.978999             0.711743628
  -.977999             0.704793730
  -.976999             0.697832538
  -.975999             0.690863703
  -.974999             0.683890434
  -.973999             0.676915569
  -.972999             0.669941628
  -.971999             0.662970859
  -.970999             0.656005277
  -.969999             0.649046692
  -.968999             0.642096737
  -.967999             0.635156891
  -.966999             0.628228495
  -.965999             0.621312769
  -.964999             0.614410827
  -.963999             0.607523687
  -.962999             0.600652283
  -.961999             0.593797472
  -.960999             0.586960040
  -.959999             0.580140715
  -.958999             0.573340166
  -.957999             0.566559014
  -.956999             0.559797831
  -.955999             0.553057149
  -.954999             0.546337460
  -.953999             0.539639224
  -.952999             0.532962865
  -.951999             0.526308780
  -.950999             0.519677337
  -.949999             0.513068880
  -.948999             0.506483730
  -.947999             0.499922186
  -.946999             0.493384528
  -.945999             0.486871015
  -.944999             0.480381892
  -.943999             0.473917385
  -.942999             0.467477709
  -.941999             0.461063062
  -.940999             0.454673629
  -.939999             0.448309584
  -.938999             0.441971089
  -.937999             0.435658297
  -.936999             0.429371349
  -.935999             0.423110376
  -.934999             0.416875503
  -.933999             0.410666844
  -.932999             0.404484506
  -.931999             0.398328589
  -.930999             0.392199185
  -.929999             0.386096381
  -.928999             0.380020256
  -.927999             0.373970885
  -.926999             0.367948334
  -.925999             0.361952668
  -.924999             0.355983943
  -.923999             0.350042214
  -.922999             0.344127528
  -.921999             0.338239929
  -.920999             0.332379458
  -.919999             0.326546150
  -.918999             0.320740037
  -.917999             0.314961149
  -.916999             0.309209511
  -.915999             0.303485144
  -.914999             0.297788067
  -.913999             0.292118297
  -.912999             0.286475847
  -.911999             0.280860726
  -.910999             0.275272944
  -.909999             0.269712504
  -.908999             0.264179410
  -.907999             0.258673663
  -.906999             0.253195261
  -.905999             0.247744200
  -.904999             0.242320476
  -.903999             0.236924079
  -.902999             0.231555001
  -.901999             0.226213230
  -.900999             0.220898754
  -.899999             0.215611558
  -.898999             0.210351625
  -.897999             0.205118938
  -.896999             0.199913478
  -.895999             0.194735224
  -.894999             0.189584155
  -.893999             0.184460246
  -.892999             0.179363473
  -.891999             0.174293811
  -.890999             0.169251233
  -.889999             0.164235710
  -.888999             0.159247214
  -.887999             0.154285714
  -.886999             0.149351178
  -.885999             0.144443575
  -.884999             0.139562872
  -.883999             0.134709034
  -.882999             0.129882026
  -.881999             0.125081813
  -.880999             0.120308357
  -.879999             0.115561622
  -.878999             0.110841568
  -.877999             0.106148158
  -.876999             0.101481351
  -.875999             0.096841107
  -.874999             0.092227384
  -.873999             0.087640141
  -.872999             0.083079336
  -.871999             0.078544925
  -.870999             0.074036864
  -.869999             0.069555111
  -.868999             0.065099619
  -.867999             0.060670343
  -.866999             0.056267238
  -.865999             0.051890257
  -.864999             0.047539353
  -.863999             0.043214479
  -.862999             0.038915588
  -.861999             0.034642630
  -.860999             0.030395557
  -.859999             0.026174320
  -.858999             0.021978870
  -.857999             0.017809156
  -.856999             0.013665128
  -.855999             0.009546736
  -.854999             0.005453928
  -.853999             0.001386653
  -.852999            -0.002655141
  -.851999            -0.006671505
  -.850999            -0.010662494
  -.849999            -0.014628158
  -.848999            -0.018568552
  -.847999            -0.022483728
  -.846999            -0.026373740
  -.845999            -0.030238643
  -.844999            -0.034078490
  -.843999            -0.037893335
  -.842999            -0.041683235
  -.841999            -0.045448242
  -.840999            -0.049188414
  -.839999            -0.052903804
  -.838999            -0.056594470
  -.837999            -0.060260466
  -.836999            -0.063901849
  -.835999            -0.067518675
  -.834999            -0.071111001
  -.833999            -0.074678883
  -.832999            -0.078222378
  -.831999            -0.081741544
  -.830999            -0.085236437
  -.829999            -0.088707116
  -.828999            -0.092153637
  -.827999            -0.095576058
  -.826999            -0.098974438
  -.825999            -0.102348834
  -.824999            -0.105699305
  -.823999            -0.109025909
  -.822999            -0.112328704
  -.821999            -0.115607750
  -.820999            -0.118863105
  -.819999            -0.122094828
  -.818999            -0.125302977
  -.817999            -0.128487613
  -.816999            -0.131648794
  -.815999            -0.134786580
  -.814999            -0.137901030
  -.813999            -0.140992204
  -.812999            -0.144060162
  -.811999            -0.147104963
  -.810999            -0.150126667
  -.809999            -0.153125335
  -.808999            -0.156101026
  -.807999            -0.159053800
  -.806999            -0.161983718
  -.805999            -0.164890840
  -.804999            -0.167775227
  -.803999            -0.170636939
  -.802999            -0.173476036
  -.801999            -0.176292579
  -.800999            -0.179086629
  -.799999            -0.181858246
  -.798999            -0.184607492
  -.797999            -0.187334427
  -.796999            -0.190039112
  -.795999            -0.192721609
  -.794999            -0.195381977
  -.793999            -0.198020279
  -.792999            -0.200636575
  -.791999            -0.203230926
  -.790999            -0.205803395
  -.789999            -0.208354041
  -.788999            -0.210882927
  -.787999            -0.213390113
  -.786999            -0.215875661
  -.785999            -0.218339632
  -.784999            -0.220782089
  -.783999            -0.223203091
  -.782999            -0.225602702
  -.781999            -0.227980981
  -.780999            -0.230337992
  -.779999            -0.232673795
  -.778999            -0.234988452
  -.777999            -0.237282024
  -.776999            -0.239554574
  -.775999            -0.241806162
  -.774999            -0.244036851
  -.773999            -0.246246703
  -.772999            -0.248435778
  -.771999            -0.250604138
  -.770999            -0.252751846
  -.769999            -0.254878963
  -.768999            -0.256985551
  -.767999            -0.259071671
  -.766999            -0.261137385
  -.765999            -0.263182755
  -.764999            -0.265207843
  -.763999            -0.267212710
  -.762999            -0.269197418
  -.761999            -0.271162029
  -.760999            -0.273106604
  -.759999            -0.275031206
  -.758999            -0.276935895
  -.757999            -0.278820735
  -.756999            -0.280685786
  -.755999            -0.282531110
  -.754999            -0.284356768
  -.753999            -0.286162823
  -.752999            -0.287949337
  -.751999            -0.289716370
  -.750999            -0.291463984
  -.749999            -0.293192242
  -.748999            -0.294901204
  -.747999            -0.296590932
  -.746999            -0.298261488
  -.745999            -0.299912934
  -.744999            -0.301545331
  -.743999            -0.303158740
  -.742999            -0.304753223
  -.741999            -0.306328841
  -.740999            -0.307885656
  -.739999            -0.309423730
  -.738999            -0.310943123
  -.737999            -0.312443898
  -.736999            -0.313926114
  -.735999            -0.315389835
  -.734999            -0.316835121
  -.733999            -0.318262033
  -.732999            -0.319670633
  -.731999            -0.321060982
  -.730999            -0.322433141
  -.729999            -0.323787171
  -.728999            -0.325123133
  -.727999            -0.326441089
  -.726999            -0.327741099
  -.725999            -0.329023225
  -.724999            -0.330287528
  -.723999            -0.331534068
  -.722999            -0.332762906
  -.721999            -0.333974104
  -.720999            -0.335167722
