 #     x               legendre p( 4 ,x)
  -.998999             0.815388690
  -.898999             0.210351625
  -.798999            -0.184607492
  -.698999            -0.357102333
  -.598999            -0.367305492
  -.498999            -0.271968849
  -.398999            -0.120920864
  -.298999             0.044010643
  -.198999             0.189500092
  -.098999             0.291021108
  0.001001             0.333054727
  0.101001             0.309256237
  0.201001             0.222605209
  0.301001             0.085555677
  0.401001            -0.079796472
  0.501001            -0.241504097
  0.601001            -0.357469252
  0.701001            -0.374935221
  0.801001            -0.229389047
  0.901001             0.159050061
