   #x      l     jdown_normalized_value
  0.10     0     0.998330E+00
  0.10     1     0.332999E-01
  0.10     2     0.666188E-03
  0.10     3     0.951848E-05
  0.10     4     0.105772E-06
  0.10     5     0.961627E-09
  0.10     6     0.739751E-11
  0.10     7     0.493187E-13
  0.10     8     0.290119E-15
  0.10     9     0.152698E-17
  0.10    10     0.727148E-20
  0.10    11     0.316157E-22
  0.10    12     0.126465E-24
  0.10    13     0.468393E-27
  0.10    14     0.161517E-29
  0.10    15     0.521027E-32
  0.10    16     0.157888E-34
  0.10    17     0.451113E-37
  0.10    18     0.121923E-39
  0.10    19     0.312626E-42
  0.10    20     0.762506E-45
  0.10    21     0.177328E-47
  0.10    22     0.394064E-50
  0.10    23     0.838437E-53
  0.10    24     0.171110E-55
  0.10    25     0.335512E-58
