   #x      l     jdown_normalized_value
  1.00     0     0.841470E+00
  1.00     1     0.301168E+00
  1.00     2     0.620350E-01
  1.00     3     0.900657E-02
  1.00     4     0.101101E-02
  1.00     5     0.925611E-04
  1.00     6     0.715693E-05
  1.00     7     0.479013E-06
  1.00     8     0.282650E-07
  1.00     9     0.149137E-08
  1.00    10     0.711654E-10
  1.00    11     0.309955E-11
  1.00    12     0.124166E-12
  1.00    13     0.460463E-14
  1.00    14     0.158957E-15
  1.00    15     0.513268E-17
  1.00    16     0.155671E-18
  1.00    17     0.445117E-20
  1.00    18     0.120385E-21
  1.00    19     0.308874E-23
  1.00    20     0.753779E-25
  1.00    21     0.175388E-26
  1.00    22     0.389936E-28
  1.00    23     0.830011E-30
  1.00    24     0.169458E-31
  1.00    25     0.332393E-33
