   #x      l     jup value
  0.10     0     0.998334E+00
  0.10     1     0.333000E-01
  0.10     2     0.666191E-03
  0.10     3     0.951852E-05
  0.10     4     0.105601E-06
  0.10     5    -0.144570E-07
  0.10     6    -0.169587E-05
  0.10     7    -0.220448E-03
  0.10     8    -0.330656E-01
  0.10     9    -0.562093E+01
  0.10    10    -0.106794E+04
  0.10    11    -0.224262E+06
  0.10    12    -0.515793E+08
  0.10    13    -0.128946E+11
  0.10    14    -0.348149E+13
  0.10    15    -0.100962E+16
  0.10    16    -0.312979E+18
  0.10    17    -0.103282E+21
  0.10    18    -0.361484E+23
  0.10    19    -0.133748E+26
  0.10    20    -0.521613E+28
  0.10    21    -0.213860E+31
  0.10    22    -0.919593E+33
  0.10    23    -0.413815E+36
  0.10    24    -0.194492E+39
  0.10    25    -0.953007E+41
