   #x      l     jup value
  1.00     0     0.841471E+00
  1.00     1     0.301169E+00
  1.00     2     0.620351E-01
  1.00     3     0.900658E-02
  1.00     4     0.101102E-02
  1.00     5     0.925612E-04
  1.00     6     0.715694E-05
  1.00     7     0.479008E-06
  1.00     8     0.281790E-07
  1.00     9     0.355007E-10
  1.00    10    -0.275045E-07
  1.00    11    -0.577630E-06
  1.00    12    -0.132580E-04
  1.00    13    -0.330872E-03
  1.00    14    -0.892028E-02
  1.00    15    -0.258357E+00
  1.00    16    -0.800016E+01
  1.00    17    -0.263747E+03
  1.00    18    -0.922314E+04
  1.00    19    -0.340992E+06
  1.00    20    -0.132895E+08
  1.00    21    -0.544528E+09
  1.00    22    -0.234014E+11
  1.00    23    -0.105252E+13
  1.00    24    -0.494450E+14
  1.00    25    -0.242175E+16
