 #----------------------------------------------------------------
 #   x     l       jup           jdown               relative difference 
  1.00     0     0.841471E+00    0.841470E+00        0.583312E-06
  1.00     1     0.301169E+00    0.301168E+00        0.583312E-06
  1.00     2     0.620351E-01    0.620350E-01        0.583312E-06
  1.00     3     0.900658E-02    0.900657E-02        0.583312E-06
  1.00     4     0.101102E-02    0.101101E-02        0.583310E-06
  1.00     5     0.925612E-04    0.925611E-04        0.583091E-06
  1.00     6     0.715694E-05    0.715693E-05        0.552128E-06
  1.00     7     0.479008E-06    0.479013E-06        0.543082E-05
  1.00     8     0.281790E-07    0.282650E-07        0.152267E-02
  1.00     9     0.355007E-10    0.149137E-08        0.953499E+00
  1.00    10    -0.275045E-07    0.711654E-10        0.100000E+01
  1.00    11    -0.577630E-06    0.309955E-11        0.100000E+01
  1.00    12    -0.132580E-04    0.124166E-12        0.100000E+01
  1.00    13    -0.330872E-03    0.460463E-14        0.100000E+01
  1.00    14    -0.892028E-02    0.158957E-15        0.100000E+01
  1.00    15    -0.258357E+00    0.513268E-17        0.100000E+01
  1.00    16    -0.800016E+01    0.155671E-18        0.100000E+01
  1.00    17    -0.263747E+03    0.445117E-20        0.100000E+01
  1.00    18    -0.922314E+04    0.120385E-21        0.100000E+01
  1.00    19    -0.340992E+06    0.308874E-23        0.100000E+01
  1.00    20    -0.132895E+08    0.753779E-25        0.100000E+01
  1.00    21    -0.544528E+09    0.175388E-26        0.100000E+01
  1.00    22    -0.234014E+11    0.389936E-28        0.100000E+01
  1.00    23    -0.105252E+13    0.830011E-30        0.100000E+01
  1.00    24    -0.494450E+14    0.169458E-31        0.100000E+01
  1.00    25    -0.242175E+16    0.332393E-33        0.100000E+01
 #----------------------------------------------------------------
