 #Search Root via Bisection Method : 
   #ieration        root(x)           f(x)
   1              7.55000          0.21310E+01
   2              6.32500         -0.61139E+01
   3              6.93750         -0.23705E+01
   4              7.24375         -0.21447E+00
   5              7.39687          0.93458E+00
   6              7.32031          0.35413E+00
   7              7.28203          0.68351E-01
   8              7.26289         -0.73432E-01
   9              7.27246         -0.26332E-02
  10              7.27725          0.32836E-01
  11              7.27485          0.15095E-01
  12              7.27366          0.62296E-02
  13              7.27306          0.17979E-02
  14              7.27276         -0.41777E-03
  15              7.27291          0.69002E-03
  16              7.27283          0.13612E-03
  17              7.27280         -0.14083E-03
  18              7.27282         -0.23562E-05
  19              7.27283          0.66880E-04
  20              7.27282          0.32262E-04
  21              7.27282          0.14953E-04
  22              7.27282          0.62983E-05
  23              7.27282          0.19711E-05
  24              7.27282         -0.19257E-06
  25              7.27282          0.88925E-06
  26              7.27282          0.34834E-06
