 #Search Root via Newton-Raphson Secant Method : 
#iteration        root(x)      Y(x)
    1            5.10000   -0.11319E+02
    2            5.20000   -0.11009E+02
    3            5.30000   -0.10678E+02
    4            5.40000   -0.10326E+02
    5            5.50000   -0.99547E+01
    6            5.60000   -0.95628E+01
    7            5.70000   -0.91505E+01
    8            5.80000   -0.87179E+01
    9            5.90000   -0.82650E+01
   10            6.00000   -0.77918E+01
   11            6.10000   -0.72983E+01
   12            6.20000   -0.67845E+01
   13            6.30000   -0.62505E+01
   14            6.40000   -0.56963E+01
   15            6.50000   -0.51218E+01
   16            6.60000   -0.45271E+01
   17            6.70000   -0.39121E+01
   18            6.80000   -0.32769E+01
   19            6.90000   -0.26215E+01
   20            7.00000   -0.19459E+01
   21            7.10000   -0.12501E+01
   22            7.20000   -0.53408E+00
   23            7.30000    0.20213E+00
   24            7.27254   -0.20106E-02
   25            7.27282   -0.74205E-05
 
    #the value of Y(x) =          0.27446E-09   at x =    7.27282
