              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02    0.119767E-01    0.987878E+00    0.451009E-01    0.954353E+00   -0.867017E-01    0.108775E+01
    0.320000E+02    0.162267E-01    0.983577E+00   -0.177786E-01    0.101799E+01    0.168846E+00    0.829109E+00
    0.256000E+02    0.167389E-01    0.983058E+00    0.178702E-01    0.981913E+00    0.180337E-01    0.981748E+00
    0.204800E+02    0.401771E-01    0.959336E+00   -0.702311E-01    0.107108E+01   -0.212809E+00    0.121539E+01
    0.163840E+02   -0.544918E-01    0.105515E+01    0.113784E+00    0.884837E+00   -0.300365E+00    0.130400E+01
    0.131072E+02    0.371300E-01    0.962420E+00    0.402731E-01    0.959239E+00   -0.676165E-01    0.106844E+01
    0.104858E+02   -0.104133E+00    0.110539E+01   -0.162551E+00    0.116452E+01    0.303952E+00    0.692366E+00
    0.838861E+01    0.735897E-01    0.925519E+00   -0.204652E+00    0.120713E+01    0.611364E+00    0.381231E+00
    0.671089E+01    0.589968E-01    0.940289E+00   -0.624908E-01    0.106325E+01    0.801563E+00    0.188728E+00
    0.536871E+01   -0.157000E+00    0.115890E+01    0.162493E+00    0.835539E+00    0.901818E+00    0.872578E-01
    0.429497E+01   -0.260766E+00    0.126392E+01    0.385680E+00    0.609648E+00    0.949875E+00    0.386184E-01
    0.343597E+01   -0.171288E+00    0.117336E+01    0.568891E+00    0.424217E+00    0.971610E+00    0.166210E-01
    0.274878E+01    0.296326E-01    0.970008E+00    0.705066E+00    0.286393E+00    0.981089E+00    0.702699E-02
    0.219902E+01    0.252149E+00    0.744797E+00    0.800648E+00    0.189653E+00    0.985130E+00    0.293715E-02
    0.175922E+01    0.447585E+00    0.546993E+00    0.865462E+00    0.124054E+00    0.986827E+00    0.121875E-02
    0.140737E+01    0.600915E+00    0.391806E+00    0.908485E+00    0.805099E-01    0.987534E+00    0.503358E-03
    0.112590E+01    0.714082E+00    0.277268E+00    0.936666E+00    0.519881E-01    0.987827E+00    0.207272E-03
    0.900720E+00    0.794853E+00    0.195519E+00    0.954969E+00    0.334629E-01    0.987947E+00    0.851875E-04
    0.720576E+00    0.851510E+00    0.138175E+00    0.966794E+00    0.214946E-01    0.987997E+00    0.349687E-04
    0.576461E+00    0.890970E+00    0.982376E-01    0.974408E+00    0.137887E-01    0.988017E+00    0.143431E-04
    0.461169E+00    0.918438E+00    0.704364E-01    0.979299E+00    0.883799E-02    0.988026E+00    0.588018E-05
    0.368935E+00    0.937637E+00    0.510055E-01    0.982438E+00    0.566173E-02    0.988029E+00    0.240989E-05
    0.295148E+00    0.951150E+00    0.373281E-01    0.984449E+00    0.362573E-02    0.988031E+00    0.987452E-06
    0.236118E+00    0.960750E+00    0.276120E-01    0.985738E+00    0.232138E-02    0.988031E+00    0.404555E-06
    0.188895E+00    0.967641E+00    0.206376E-01    0.986563E+00    0.148605E-02    0.988031E+00    0.165730E-06
    0.151116E+00    0.972643E+00    0.155753E-01    0.987092E+00    0.951227E-03    0.988032E+00    0.678897E-07
    0.120893E+00    0.976314E+00    0.118594E-01    0.987430E+00    0.608848E-03    0.988032E+00    0.278094E-07
    0.967141E-01    0.979039E+00    0.910182E-02    0.987647E+00    0.389688E-03    0.988032E+00    0.113911E-07
    0.773713E-01    0.981082E+00    0.703401E-02    0.987785E+00    0.249411E-03    0.988032E+00    0.466593E-08
    0.618970E-01    0.982629E+00    0.546855E-02    0.987874E+00    0.159627E-03    0.988032E+00    0.191120E-08
    0.495176E-01    0.983810E+00    0.427317E-02    0.987931E+00    0.102163E-03    0.988032E+00    0.783001E-09
    0.396141E-01    0.984718E+00    0.335340E-02    0.987967E+00    0.653852E-04    0.988032E+00    0.320829E-09
    0.316913E-01    0.985422E+00    0.264099E-02    0.987990E+00    0.418468E-04    0.988032E+00    0.131367E-09
    0.253530E-01    0.985971E+00    0.208608E-02    0.988005E+00    0.267821E-04    0.988032E+00    0.541434E-10
    0.202824E-01    0.986400E+00    0.165175E-02    0.988015E+00    0.171406E-04    0.988032E+00    0.220081E-10
    0.162259E-01    0.986737E+00    0.131045E-02    0.988021E+00    0.109700E-04    0.988032E+00    0.882071E-11
    0.129807E-01    0.987003E+00    0.104135E-02    0.988025E+00    0.702080E-05    0.988032E+00    0.349889E-11
    0.103846E-01    0.987213E+00    0.828587E-03    0.988027E+00    0.449332E-05    0.988032E+00    0.235836E-11
    0.830767E-02    0.987380E+00    0.659996E-03    0.988029E+00    0.287572E-05    0.988032E+00    0.152786E-11
    0.664614E-02    0.987512E+00    0.526157E-03    0.988030E+00    0.184046E-05    0.988032E+00    0.142706E-13
    0.531691E-02    0.987617E+00    0.419749E-03    0.988030E+00    0.117790E-05    0.988032E+00    0.111041E-11
    0.425353E-02    0.987701E+00    0.335045E-03    0.988031E+00    0.753854E-06    0.988032E+00    0.184001E-11
    0.340282E-02    0.987767E+00    0.267554E-03    0.988031E+00    0.482466E-06    0.988032E+00    0.194845E-11
    0.272226E-02    0.987820E+00    0.213734E-03    0.988031E+00    0.308780E-06    0.988032E+00    0.124480E-11
    0.217781E-02    0.987863E+00    0.170790E-03    0.988031E+00    0.197619E-06    0.988032E+00    0.377127E-11
    0.174225E-02    0.987897E+00    0.136506E-03    0.988031E+00    0.126474E-06    0.988032E+00    0.359642E-11
    0.139380E-02    0.987924E+00    0.109123E-03    0.988032E+00    0.809437E-07    0.988032E+00    0.591692E-11
    0.111504E-02    0.987945E+00    0.872470E-04    0.988032E+00    0.518024E-07    0.988032E+00    0.638729E-11
    0.892030E-03    0.987963E+00    0.697644E-04    0.988032E+00    0.331528E-07    0.988032E+00    0.217015E-11
    0.713624E-03    0.987977E+00    0.557903E-04    0.988032E+00    0.212210E-07    0.988032E+00    0.190799E-11
    0.570899E-03    0.987988E+00    0.446187E-04    0.988032E+00    0.135796E-07    0.988032E+00    0.159515E-10
    0.456719E-03    0.987996E+00    0.356863E-04    0.988032E+00    0.869694E-08    0.988032E+00    0.556498E-11
    0.365375E-03    0.988003E+00    0.285434E-04    0.988032E+00    0.556809E-08    0.988032E+00    0.563173E-11
    0.292300E-03    0.988009E+00    0.228312E-04    0.988032E+00    0.356069E-08    0.988032E+00    0.317535E-10
    0.233840E-03    0.988014E+00    0.182627E-04    0.988032E+00    0.229129E-08    0.988032E+00    0.127837E-10
    0.187072E-03    0.988017E+00    0.146087E-04    0.988032E+00    0.146343E-08    0.988032E+00    0.456306E-10
    0.149658E-03    0.988020E+00    0.116860E-04    0.988032E+00    0.919458E-09    0.988032E+00    0.135702E-10
    0.119726E-03    0.988022E+00    0.934821E-05    0.988032E+00    0.595335E-09    0.988032E+00    0.775773E-10
    0.957810E-04    0.988024E+00    0.747819E-05    0.988032E+00    0.350554E-09    0.988032E+00    0.307257E-10
    0.766248E-04    0.988026E+00    0.598229E-05    0.988032E+00    0.231551E-09    0.988032E+00    0.110812E-09
    0.612998E-04    0.988027E+00    0.478569E-05    0.988032E+00    0.213037E-09    0.988032E+00    0.973638E-10
