              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02    0.119767E-01    0.987878E+00    0.451009E-01    0.954353E+00   -0.867017E-01    0.108775E+01
    0.320000E+02    0.162267E-01    0.983577E+00   -0.177786E-01    0.101799E+01    0.168846E+00    0.829109E+00
    0.256000E+02    0.167388E-01    0.983058E+00    0.178702E-01    0.981913E+00    0.180339E-01    0.981748E+00
    0.204800E+02    0.401771E-01    0.959336E+00   -0.702310E-01    0.107108E+01   -0.212809E+00    0.121539E+01
    0.163840E+02   -0.544918E-01    0.105515E+01    0.113784E+00    0.884837E+00   -0.300365E+00    0.130400E+01
    0.131072E+02    0.371301E-01    0.962420E+00    0.402732E-01    0.959239E+00   -0.676162E-01    0.106844E+01
    0.104858E+02   -0.104133E+00    0.110539E+01   -0.162551E+00    0.116452E+01    0.303952E+00    0.692366E+00
    0.838861E+01    0.735898E-01    0.925519E+00   -0.204652E+00    0.120713E+01    0.611363E+00    0.381231E+00
    0.671089E+01    0.589966E-01    0.940289E+00   -0.624905E-01    0.106325E+01    0.801563E+00    0.188728E+00
    0.536871E+01   -0.157000E+00    0.115890E+01    0.162493E+00    0.835539E+00    0.901818E+00    0.872580E-01
    0.429497E+01   -0.260766E+00    0.126393E+01    0.385680E+00    0.609648E+00    0.949876E+00    0.386182E-01
    0.343597E+01   -0.171288E+00    0.117336E+01    0.568892E+00    0.424217E+00    0.971610E+00    0.166207E-01
    0.274878E+01    0.296325E-01    0.970009E+00    0.705066E+00    0.286393E+00    0.981089E+00    0.702673E-02
    0.219902E+01    0.252148E+00    0.744797E+00    0.800649E+00    0.189653E+00    0.985128E+00    0.293857E-02
    0.175922E+01    0.447585E+00    0.546993E+00    0.865463E+00    0.124054E+00    0.986826E+00    0.122041E-02
    0.140737E+01    0.600915E+00    0.391806E+00    0.908486E+00    0.805096E-01    0.987531E+00    0.506382E-03
    0.112590E+01    0.714082E+00    0.277268E+00    0.936666E+00    0.519878E-01    0.987827E+00    0.206800E-03
    0.900720E+00    0.794853E+00    0.195519E+00    0.954968E+00    0.334640E-01    0.987946E+00    0.864481E-04
    0.720576E+00    0.851510E+00    0.138176E+00    0.966796E+00    0.214928E-01    0.987992E+00    0.400569E-04
    0.576461E+00    0.890969E+00    0.982387E-01    0.974410E+00    0.137869E-01    0.988019E+00    0.124273E-04
    0.461169E+00    0.918438E+00    0.704369E-01    0.979303E+00    0.883460E-02    0.988019E+00    0.132719E-04
    0.368935E+00    0.937636E+00    0.510060E-01    0.982437E+00    0.566238E-02    0.988029E+00    0.307666E-05
    0.295148E+00    0.951147E+00    0.373310E-01    0.984446E+00    0.362895E-02    0.988044E+00    0.128496E-04
    0.236118E+00    0.960750E+00    0.276121E-01    0.985738E+00    0.232137E-02    0.988010E+00    0.218383E-04
    0.188895E+00    0.967639E+00    0.206396E-01    0.986571E+00    0.147800E-02    0.988039E+00    0.790279E-05
    0.151116E+00    0.972641E+00    0.155774E-01    0.987090E+00    0.953222E-03    0.988029E+00    0.217176E-05
    0.120893E+00    0.976321E+00    0.118524E-01    0.987422E+00    0.617202E-03    0.988065E+00    0.337226E-04
    0.967141E-01    0.979038E+00    0.910239E-02    0.987646E+00    0.390132E-03    0.988083E+00    0.523032E-04
    0.773713E-01    0.981086E+00    0.702974E-02    0.987765E+00    0.269600E-03    0.988012E+00    0.202094E-04
    0.618970E-01    0.982633E+00    0.546421E-02    0.987878E+00    0.155281E-03    0.988036E+00    0.470548E-05
    0.495176E-01    0.983791E+00    0.429182E-02    0.987950E+00    0.822856E-04    0.987949E+00    0.831301E-04
    0.396141E-01    0.984709E+00    0.336273E-02    0.988006E+00    0.261214E-04    0.987943E+00    0.900677E-04
    0.316913E-01    0.985401E+00    0.266209E-02    0.988029E+00    0.229241E-05    0.988069E+00    0.383074E-04
    0.253530E-01    0.985949E+00    0.210739E-02    0.987984E+00    0.479597E-04    0.988011E+00    0.209937E-04
    0.202824E-01    0.986415E+00    0.163576E-02    0.988031E+00    0.663593E-06    0.987800E+00    0.234610E-03
    0.162259E-01    0.986729E+00    0.131808E-02    0.988130E+00    0.993580E-04    0.988140E+00    0.109252E-03
    0.129807E-01    0.987054E+00    0.989779E-03    0.988075E+00    0.442798E-04    0.987697E+00    0.338372E-03
    0.103846E-01    0.987299E+00    0.741415E-03    0.987933E+00    0.994787E-04    0.987939E+00    0.936873E-04
    0.830767E-02    0.987467E+00    0.571897E-03    0.988116E+00    0.852416E-04    0.988118E+00    0.876546E-04
    0.664614E-02    0.987371E+00    0.669023E-03    0.987891E+00    0.142612E-03    0.987891E+00    0.142612E-03
    0.531691E-02    0.987758E+00    0.276477E-03    0.988173E+00    0.143336E-03    0.988181E+00    0.150877E-03
    0.425353E-02    0.987667E+00    0.369440E-03    0.987999E+00    0.325764E-04    0.989177E+00    0.115875E-02
    0.340282E-02    0.987731E+00    0.303865E-03    0.987998E+00    0.335416E-04    0.988004E+00    0.276296E-04
    0.272226E-02    0.987647E+00    0.389167E-03    0.988550E+00    0.524963E-03    0.988550E+00    0.524963E-03
    0.217781E-02    0.988032E+00    0.603267E-07    0.988210E+00    0.180135E-03    0.985883E+00    0.217447E-02
    0.174225E-02    0.987418E+00    0.621485E-03    0.988641E+00    0.616357E-03    0.985744E+00    0.231528E-02
    0.139380E-02    0.988260E+00    0.231172E-03    0.987020E+00    0.102398E-02    0.990641E+00    0.264056E-02
    0.111504E-02    0.988616E+00    0.590960E-03    0.987025E+00    0.101862E-02    0.987025E+00    0.101862E-02
    0.892030E-03    0.988622E+00    0.597656E-03    0.988706E+00    0.682234E-03    0.988683E+00    0.659672E-03
    0.713624E-03    0.987586E+00    0.450580E-03    0.987649E+00    0.387176E-03    0.994693E+00    0.674199E-02
    0.570899E-03    0.986939E+00    0.110579E-02    0.990280E+00    0.227564E-02    0.990350E+00    0.234610E-02
    0.456719E-03    0.986104E+00    0.195115E-02    0.990280E+00    0.227564E-02    0.990367E+00    0.236372E-02
    0.365375E-03    0.990256E+00    0.225085E-02    0.990296E+00    0.229211E-02    0.990296E+00    0.229211E-02
    0.292300E-03    0.986391E+00    0.166019E-02    0.992917E+00    0.494419E-02    0.975584E+00    0.125986E-01
    0.233840E-03    0.991222E+00    0.322856E-02    0.983192E+00    0.489786E-02    0.100469E+01    0.168586E-01
    0.187072E-03    0.987159E+00    0.883001E-03    0.987159E+00    0.883001E-03    0.101403E+01    0.263127E-01
    0.149658E-03    0.982141E+00    0.596208E-02    0.982240E+00    0.586128E-02    0.101583E+01    0.281332E-01
    0.119726E-03    0.991575E+00    0.358630E-02    0.975893E+00    0.122856E-01    0.101788E+01    0.302075E-01
    0.957810E-04    0.983703E+00    0.438116E-02    0.983703E+00    0.438116E-02    0.103660E+01    0.491551E-01
    0.766248E-04    0.983625E+00    0.445989E-02    0.983820E+00    0.426310E-02    0.983560E+00    0.452553E-02
    0.612998E-04    0.983771E+00    0.431233E-02    0.983771E+00    0.431233E-02    0.983447E+00    0.464039E-02
