              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02    0.650352E+16    0.588463E+16    0.134048E+08    0.121291E+08   -0.446663E+07    0.404158E+07
    0.320000E+02    0.272711E+13    0.246759E+13    0.306896E+06    0.277690E+06   -0.102024E+06    0.923162E+05
    0.256000E+02    0.566406E+10    0.512506E+10    0.156372E+05    0.141481E+05   -0.514311E+04    0.465468E+04
    0.204800E+02    0.423107E+08    0.382843E+08    0.151104E+04    0.136624E+04   -0.479600E+03    0.434960E+03
    0.163840E+02    0.880015E+06    0.796270E+06    0.243641E+03    0.219455E+03   -0.704060E+02    0.647060E+02
    0.131072E+02    0.415244E+05    0.375718E+05    0.591713E+02    0.525404E+02   -0.137758E+02    0.134649E+02
    0.104858E+02    0.377333E+04    0.341325E+04    0.199421E+02    0.170444E+02   -0.280169E+01    0.353507E+01
    0.838861E+01    0.579118E+03    0.523007E+03    0.873381E+01    0.690268E+01   -0.936000E-01    0.108469E+01
    0.671089E+01    0.135089E+03    0.121234E+03    0.471380E+01    0.326522E+01    0.697651E+00    0.368739E+00
    0.536871E+01    0.439675E+02    0.387834E+02    0.300145E+01    0.171583E+01    0.957102E+00    0.133978E+00
    0.429497E+01    0.186117E+02    0.158406E+02    0.217343E+01    0.966605E+00    0.104901E+01    0.508158E-01
    0.343597E+01    0.966924E+01    0.774909E+01    0.173492E+01    0.569823E+00    0.108327E+01    0.198131E-01
    0.274878E+01    0.587953E+01    0.432001E+01    0.148748E+01    0.345932E+00    0.109648E+01    0.786320E-02
    0.219902E+01    0.402873E+01    0.264535E+01    0.134170E+01    0.214023E+00    0.110168E+01    0.315630E-02
    0.175922E+01    0.302040E+01    0.173297E+01    0.125330E+01    0.134034E+00    0.110376E+01    0.127619E-02
    0.140737E+01    0.242273E+01    0.119218E+01    0.119866E+01    0.845969E-01    0.110460E+01    0.518415E-03
    0.112590E+01    0.204464E+01    0.850067E+00    0.116448E+01    0.536621E-01    0.110494E+01    0.211219E-03
    0.900720E+00    0.179309E+01    0.622452E+00    0.114291E+01    0.341485E-01    0.110508E+01    0.862222E-04
    0.720576E+00    0.161903E+01    0.464963E+00    0.112924E+01    0.217754E-01    0.110513E+01    0.352400E-04
    0.576461E+00    0.149487E+01    0.352613E+00    0.112054E+01    0.139038E-01    0.110515E+01    0.144142E-04
    0.461169E+00    0.140415E+01    0.270525E+00    0.111499E+01    0.888511E-02    0.110516E+01    0.589882E-05
    0.368935E+00    0.133660E+01    0.209410E+00    0.111145E+01    0.568103E-02    0.110517E+01    0.241478E-05
    0.295148E+00    0.128557E+01    0.163230E+00    0.110919E+01    0.363363E-02    0.110517E+01    0.988733E-06
    0.236118E+00    0.124655E+01    0.127927E+00    0.110774E+01    0.232461E-02    0.110517E+01    0.404891E-06
    0.188895E+00    0.121645E+01    0.100686E+00    0.110681E+01    0.148738E-02    0.110517E+01    0.165818E-06
    0.151116E+00    0.119305E+01    0.795121E-01    0.110622E+01    0.951770E-03    0.110517E+01    0.679127E-07
    0.120893E+00    0.117475E+01    0.629576E-01    0.110584E+01    0.609070E-03    0.110517E+01    0.278154E-07
    0.967141E-01    0.116038E+01    0.499544E-01    0.110560E+01    0.389779E-03    0.110517E+01    0.113927E-07
    0.773713E-01    0.114905E+01    0.397029E-01    0.110545E+01    0.249448E-03    0.110517E+01    0.466634E-08
    0.618970E-01    0.114009E+01    0.315970E-01    0.110535E+01    0.159643E-03    0.110517E+01    0.191131E-08
    0.495176E-01    0.113299E+01    0.251726E-01    0.110528E+01    0.102170E-03    0.110517E+01    0.782863E-09
    0.396141E-01    0.112735E+01    0.200712E-01    0.110524E+01    0.653878E-04    0.110517E+01    0.320651E-09
    0.316913E-01    0.112287E+01    0.160144E-01    0.110522E+01    0.418479E-04    0.110517E+01    0.131333E-09
    0.253530E-01    0.111930E+01    0.127843E-01    0.110520E+01    0.267825E-04    0.110517E+01    0.537968E-10
    0.202824E-01    0.111645E+01    0.102101E-01    0.110519E+01    0.171408E-04    0.110517E+01    0.220540E-10
    0.162259E-01    0.111419E+01    0.815702E-02    0.110518E+01    0.109701E-04    0.110517E+01    0.901382E-11
    0.129807E-01    0.111238E+01    0.651855E-02    0.110518E+01    0.702083E-05    0.110517E+01    0.367412E-11
    0.103846E-01    0.111093E+01    0.521032E-02    0.110518E+01    0.449333E-05    0.110517E+01    0.151369E-11
    0.830767E-02    0.110977E+01    0.416536E-02    0.110517E+01    0.287573E-05    0.110517E+01    0.628460E-12
    0.664614E-02    0.110885E+01    0.333044E-02    0.110517E+01    0.184047E-05    0.110517E+01    0.229645E-12
    0.531691E-02    0.110811E+01    0.266317E-02    0.110517E+01    0.117790E-05    0.110517E+01    0.910142E-13
    0.425353E-02    0.110752E+01    0.212978E-02    0.110517E+01    0.753855E-06    0.110517E+01    0.663017E-13
    0.340282E-02    0.110705E+01    0.170334E-02    0.110517E+01    0.482467E-06    0.110517E+01    0.425938E-13
    0.272226E-02    0.110668E+01    0.136237E-02    0.110517E+01    0.308779E-06    0.110517E+01    0.425938E-13
    0.217781E-02    0.110638E+01    0.108969E-02    0.110517E+01    0.197618E-06    0.110517E+01    0.435984E-13
    0.174225E-02    0.110613E+01    0.871629E-03    0.110517E+01    0.126476E-06    0.110517E+01    0.128585E-13
    0.139380E-02    0.110594E+01    0.697222E-03    0.110517E+01    0.809446E-07    0.110517E+01    0.160129E-12
    0.111504E-02    0.110579E+01    0.557726E-03    0.110517E+01    0.518044E-07    0.110517E+01    0.136019E-12
    0.892030E-03    0.110566E+01    0.446148E-03    0.110517E+01    0.331547E-07    0.110517E+01    0.151088E-12
    0.713624E-03    0.110557E+01    0.356897E-03    0.110517E+01    0.212192E-07    0.110517E+01    0.432568E-12
    0.570899E-03    0.110549E+01    0.285504E-03    0.110517E+01    0.135801E-07    0.110517E+01    0.132603E-13
    0.456719E-03    0.110542E+01    0.228394E-03    0.110517E+01    0.869150E-08    0.110517E+01    0.104074E-12
    0.365375E-03    0.110537E+01    0.182710E-03    0.110517E+01    0.556244E-08    0.110517E+01    0.543875E-12
    0.292300E-03    0.110533E+01    0.146164E-03    0.110517E+01    0.355990E-08    0.110517E+01    0.123120E-11
    0.233840E-03    0.110530E+01    0.116929E-03    0.110517E+01    0.227867E-08    0.110517E+01    0.106002E-11
    0.187072E-03    0.110527E+01    0.935419E-04    0.110517E+01    0.145857E-08    0.110517E+01    0.206259E-11
    0.149658E-03    0.110525E+01    0.748326E-04    0.110517E+01    0.932848E-09    0.110517E+01    0.152554E-11
    0.119726E-03    0.110524E+01    0.598655E-04    0.110517E+01    0.597225E-09    0.110517E+01    0.205415E-11
    0.957810E-04    0.110522E+01    0.478920E-04    0.110517E+01    0.382846E-09    0.110517E+01    0.323070E-12
    0.766248E-04    0.110521E+01    0.383134E-04    0.110517E+01    0.245451E-09    0.110517E+01    0.626672E-11
    0.612998E-04    0.110520E+01    0.306505E-04    0.110517E+01    0.156300E-09    0.110517E+01    0.771752E-11
    0.490399E-04    0.110520E+01    0.245203E-04    0.110517E+01    0.102221E-09    0.110517E+01    0.703160E-11
    0.392319E-04    0.110519E+01    0.196162E-04    0.110517E+01    0.663722E-10    0.110517E+01    0.491778E-11
    0.313855E-04    0.110519E+01    0.156929E-04    0.110517E+01    0.420465E-10    0.110517E+01    0.630268E-12
    0.251084E-04    0.110518E+01    0.125543E-04    0.110517E+01    0.276430E-10    0.110517E+01    0.436446E-11
    0.200867E-04    0.110518E+01    0.100434E-04    0.110517E+01    0.763816E-11    0.110517E+01    0.190346E-10
    0.160694E-04    0.110518E+01    0.803473E-05    0.110517E+01    0.101387E-10    0.110517E+01    0.653192E-11
    0.128555E-04    0.110518E+01    0.642777E-05    0.110517E+01    0.132644E-10    0.110517E+01    0.757366E-11
    0.102844E-04    0.110518E+01    0.514221E-05    0.110517E+01    0.627154E-11    0.110517E+01    0.197764E-10
    0.822752E-05    0.110518E+01    0.411376E-05    0.110517E+01    0.349631E-11    0.110517E+01    0.349631E-11
    0.658202E-05    0.110517E+01    0.329101E-05    0.110517E+01    0.148186E-10    0.110517E+01    0.555182E-10
    0.526561E-05    0.110517E+01    0.263281E-05    0.110517E+01    0.157061E-10    0.110517E+01    0.157061E-10
    0.421249E-05    0.110517E+01    0.210624E-05    0.110517E+01    0.129110E-10    0.110517E+01    0.506824E-10
    0.336999E-05    0.110517E+01    0.168500E-05    0.110517E+01    0.987293E-12    0.110517E+01    0.804786E-10
    0.269599E-05    0.110517E+01    0.134801E-05    0.110517E+01    0.457012E-10    0.110517E+01    0.536632E-10
    0.215680E-05    0.110517E+01    0.107838E-05    0.110517E+01    0.288220E-10    0.110517E+01    0.288220E-10
    0.172544E-05    0.110517E+01    0.862659E-06    0.110517E+01    0.643321E-10    0.110517E+01    0.643321E-10
    0.138035E-05    0.110517E+01    0.690062E-06    0.110517E+01    0.611081E-11    0.110517E+01    0.394253E-09
    0.110428E-05    0.110517E+01    0.552077E-06    0.110517E+01    0.666658E-10    0.110517E+01    0.666658E-10
    0.883424E-06    0.110517E+01    0.441639E-06    0.110517E+01    0.243050E-10    0.110517E+01    0.243050E-10
    0.706739E-06    0.110517E+01    0.353170E-06    0.110517E+01    0.194875E-09    0.110517E+01    0.184169E-09
    0.565391E-06    0.110517E+01    0.282454E-06    0.110517E+01    0.302621E-09    0.110517E+01    0.171185E-09
    0.452313E-06    0.110517E+01    0.226042E-06    0.110517E+01    0.527336E-10    0.110517E+01    0.527336E-10
    0.361850E-06    0.110517E+01    0.180956E-06    0.110517E+01    0.527336E-10    0.110517E+01    0.527336E-10
