              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.400000E+02    0.628860E+29    0.588463E+16    0.129618E+21    0.121291E+08   -0.431902E+20    0.404158E+07
    0.320000E+02    0.263699E+26    0.246759E+13    0.296754E+19    0.277690E+06   -0.986524E+18    0.923162E+05
    0.256000E+02    0.547687E+23    0.512505E+10    0.151204E+18    0.141481E+05   -0.497314E+17    0.465468E+04
    0.204800E+02    0.409124E+21    0.382843E+08    0.146110E+17    0.136624E+04   -0.463749E+16    0.434959E+03
    0.163840E+02    0.850932E+19    0.796269E+06    0.235589E+16    0.219456E+03   -0.680793E+15    0.647061E+02
    0.131072E+02    0.401521E+18    0.375719E+05    0.572158E+15    0.525404E+02   -0.133206E+15    0.134649E+02
    0.104858E+02    0.364863E+17    0.341325E+04    0.192830E+15    0.170443E+02   -0.270908E+14    0.353506E+01
    0.838861E+01    0.559979E+16    0.523007E+03    0.844519E+14    0.690269E+01   -0.905085E+12    0.108469E+01
    0.671089E+01    0.130625E+16    0.121234E+03    0.455801E+14    0.326522E+01    0.674596E+13    0.368739E+00
    0.536871E+01    0.425145E+15    0.387835E+02    0.290226E+14    0.171582E+01    0.925472E+13    0.133979E+00
    0.429497E+01    0.179967E+15    0.158406E+02    0.210161E+14    0.966606E+00    0.101434E+14    0.508156E-01
    0.343597E+01    0.934970E+14    0.774909E+01    0.167759E+14    0.569823E+00    0.104747E+14    0.198129E-01
    0.274878E+01    0.568522E+14    0.432002E+01    0.143833E+14    0.345932E+00    0.106024E+14    0.786289E-02
    0.219902E+01    0.389560E+14    0.264535E+01    0.129736E+14    0.214024E+00    0.106527E+14    0.315834E-02
    0.175922E+01    0.292058E+14    0.173297E+01    0.121188E+14    0.134035E+00    0.106728E+14    0.127843E-02
    0.140737E+01    0.234267E+14    0.119218E+01    0.115905E+14    0.845975E-01    0.106809E+14    0.521812E-03
    0.112590E+01    0.197707E+14    0.850068E+00    0.112599E+14    0.536626E-01    0.106842E+14    0.210864E-03
    0.900720E+00    0.173383E+14    0.622454E+00    0.110514E+14    0.341472E-01    0.106855E+14    0.872303E-04
    0.720576E+00    0.156553E+14    0.464961E+00    0.109192E+14    0.217774E-01    0.106860E+14    0.403281E-04
    0.576461E+00    0.144546E+14    0.352611E+00    0.108351E+14    0.139057E-01    0.106863E+14    0.124615E-04
    0.461169E+00    0.135774E+14    0.270524E+00    0.107815E+14    0.888875E-02    0.106863E+14    0.133446E-04
    0.368935E+00    0.129243E+14    0.209409E+00    0.107472E+14    0.568047E-02    0.106864E+14    0.363051E-05
    0.295148E+00    0.124308E+14    0.163226E+00    0.107253E+14    0.363031E-02    0.106866E+14    0.128540E-04
    0.236118E+00    0.120536E+14    0.127927E+00    0.107113E+14    0.232470E-02    0.106862E+14    0.212924E-04
    0.188895E+00    0.117624E+14    0.100684E+00    0.107025E+14    0.149547E-02    0.106865E+14    0.706477E-05
    0.151116E+00    0.115362E+14    0.795099E-01    0.106966E+14    0.949819E-03    0.106865E+14    0.784974E-06
    0.120893E+00    0.113594E+14    0.629660E-01    0.106929E+14    0.600898E-03    0.106868E+14    0.327727E-04
    0.967141E-01    0.112203E+14    0.499544E-01    0.106906E+14    0.389347E-03    0.106870E+14    0.524952E-04
    0.773713E-01    0.111108E+14    0.397076E-01    0.106889E+14    0.229997E-03    0.106863E+14    0.202131E-04
    0.618970E-01    0.110242E+14    0.316017E-01    0.106882E+14    0.163078E-03    0.106865E+14    0.461172E-05
    0.495176E-01    0.109553E+14    0.251529E-01    0.106878E+14    0.121867E-03    0.106856E+14    0.841885E-04
    0.396141E-01    0.109009E+14    0.200618E-01    0.106876E+14    0.105088E-03    0.106856E+14    0.864453E-04
    0.316913E-01    0.108574E+14    0.159922E-01    0.106873E+14    0.809505E-04    0.106869E+14    0.355201E-04
    0.253530E-01    0.108229E+14    0.127637E-01    0.106865E+14    0.353238E-05    0.106863E+14    0.170732E-04
    0.202824E-01    0.107958E+14    0.102297E-01    0.106868E+14    0.315952E-04    0.106840E+14    0.232843E-03
    0.162259E-01    0.107736E+14    0.815068E-02    0.106878E+14    0.119905E-03    0.106877E+14    0.111859E-03
    0.129807E-01    0.107567E+14    0.657534E-02    0.106871E+14    0.594618E-04    0.106828E+14    0.343721E-03
    0.103846E-01    0.107431E+14    0.530348E-02    0.106855E+14    0.917439E-04    0.106855E+14    0.917439E-04
    0.830767E-02    0.107320E+14    0.426408E-02    0.106875E+14    0.947857E-04    0.106873E+14    0.790862E-04
    0.664614E-02    0.107206E+14    0.319524E-02    0.106850E+14    0.141393E-03    0.106850E+14    0.141393E-03
    0.531691E-02    0.107165E+14    0.280766E-02    0.106881E+14    0.150126E-03    0.106878E+14    0.125498E-03
    0.425353E-02    0.107090E+14    0.211089E-02    0.106861E+14    0.344407E-04    0.106993E+14    0.119591E-02
    0.340282E-02    0.107045E+14    0.168416E-02    0.106860E+14    0.460191E-04    0.106868E+14    0.309084E-04
    0.272226E-02    0.106993E+14    0.120121E-02    0.106920E+14    0.516317E-03    0.106920E+14    0.516317E-03
    0.217781E-02    0.107000E+14    0.126430E-02    0.106884E+14    0.182899E-03    0.106634E+14    0.215995E-02
    0.174225E-02    0.106907E+14    0.396903E-03    0.106931E+14    0.622190E-03    0.106618E+14    0.230635E-02
    0.139380E-02    0.106979E+14    0.107277E-02    0.106754E+14    0.103921E-02    0.107135E+14    0.252772E-02
    0.111504E-02    0.106998E+14    0.124870E-02    0.106754E+14    0.103921E-02    0.106754E+14    0.103921E-02
    0.892030E-03    0.106993E+14    0.120474E-02    0.106935E+14    0.654767E-03    0.106950E+14    0.801361E-03
    0.713624E-03    0.106867E+14    0.221755E-04    0.106823E+14    0.390328E-03    0.107607E+14    0.694290E-02
    0.570899E-03    0.106786E+14    0.734049E-03    0.107117E+14    0.235963E-02    0.107068E+14    0.190131E-02
    0.456719E-03    0.106690E+14    0.163638E-02    0.107103E+14    0.223070E-02    0.107134E+14    0.251722E-02
    0.365375E-03    0.107132E+14    0.249926E-02    0.107132E+14    0.249926E-02    0.107094E+14    0.214121E-02
    0.292300E-03    0.106723E+14    0.132759E-02    0.107369E+14    0.471475E-02    0.105503E+14    0.127410E-01
    0.233840E-03    0.107261E+14    0.370773E-02    0.106319E+14    0.510410E-02    0.108651E+14    0.167156E-01
    0.187072E-03    0.106835E+14    0.278568E-03    0.106779E+14    0.803127E-03    0.109694E+14    0.264716E-01
    0.149658E-03    0.106288E+14    0.539258E-02    0.106218E+14    0.604823E-02    0.109768E+14    0.271709E-01
    0.119726E-03    0.107287E+14    0.395029E-02    0.105535E+14    0.124408E-01    0.110089E+14    0.301759E-01
    0.957810E-04    0.106411E+14    0.424524E-02    0.106411E+14    0.424524E-02    0.111958E+14    0.476596E-01
    0.766248E-04    0.106466E+14    0.373304E-02    0.106329E+14    0.501363E-02    0.106511E+14    0.330621E-02
    0.612998E-04    0.106397E+14    0.437339E-02    0.106397E+14    0.437339E-02    0.106397E+14    0.437339E-02
    0.490399E-04    0.108193E+14    0.124338E-01    0.107980E+14    0.104330E-01    0.968610E+13    0.936116E-01
    0.392319E-04    0.109316E+14    0.229383E-01    0.103971E+14    0.270831E-01    0.104327E+14    0.237483E-01
    0.313855E-04    0.103904E+14    0.277084E-01    0.103904E+14    0.277084E-01    0.103458E+14    0.318768E-01
    0.251084E-04    0.105658E+14    0.112952E-01    0.113592E+14    0.629554E-01    0.924331E+13    0.135046E+00
    0.200867E-04    0.111713E+14    0.453698E-01    0.101795E+14    0.474435E-01    0.128940E+14    0.206572E+00
    0.160694E-04    0.101795E+14    0.474434E-01    0.101142E+14    0.535495E-01    0.102012E+14    0.454080E-01
    0.128555E-04    0.110930E+14    0.380425E-01    0.954325E+13    0.106978E+00    0.137847E+14    0.289920E+00
    0.102844E-04    0.999187E+13    0.649985E-01    0.119291E+14    0.116277E+00    0.662726E+13    0.379846E+00
    0.822753E-05    0.994089E+13    0.697689E-01    0.994089E+13    0.697689E-01    0.994089E+13    0.697689E-01
    0.658202E-05    0.939924E+13    0.120455E+00    0.124261E+14    0.162789E+00    0.124261E+14    0.162789E+00
    0.526562E-05    0.117490E+14    0.994317E-01    0.776632E+13    0.273257E+00    0.181214E+14    0.695734E+00
    0.421249E-05    0.970790E+13    0.915712E-01    0.970790E+13    0.915712E-01    0.226518E+14    0.111967E+01
    0.336999E-05    0.121349E+14    0.135536E+00    0.121349E+14    0.135536E+00   -0.404496E+13    0.137851E+01
    0.269600E-05    0.777877E+13    0.272092E+00    0.151686E+14    0.419420E+00   -0.505620E+13    0.147314E+01
    0.215680E-05    0.972346E+13    0.901154E-01    0.189607E+14    0.774275E+00   -0.632025E+13    0.159142E+01
    0.172544E-05    0.121543E+14    0.137356E+00    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.138035E-05    0.151929E+14    0.421695E+00    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.110428E-05    0.189911E+14    0.777118E+00    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.883424E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.706739E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.565391E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.452313E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.361850E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.289480E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.231584E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.185267E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.148214E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.118571E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
