              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.100000E+00    0.912111E-01    0.831947E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.211313E-12
    0.800000E-01    0.912263E-01    0.665779E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.129068E-12
    0.640000E-01    0.912385E-01    0.532765E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.377779E-12
    0.512000E-01    0.912482E-01    0.426303E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.136973E-12
    0.409600E-01    0.912560E-01    0.341101E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.342965E-12
    0.327680E-01    0.912622E-01    0.272918E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.144878E-12
    0.262144E-01    0.912672E-01    0.218358E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.169810E-12
    0.209715E-01    0.912711E-01    0.174702E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.479178E-12
    0.167772E-01    0.912743E-01    0.139771E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.401798E-12
    0.134218E-01    0.912769E-01    0.111823E-03    0.912871E-01    0.113206E+02    0.912871E-01    0.595172E-12
    0.107374E-01    0.912789E-01    0.894625E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.232900E-12
    0.858993E-02    0.912806E-01    0.715725E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.317775E-11
    0.687195E-02    0.912819E-01    0.572597E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.223383E-11
    0.549756E-02    0.912829E-01    0.458088E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.201340E-11
    0.439805E-02    0.912837E-01    0.366477E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.641235E-12
    0.351844E-02    0.912844E-01    0.293186E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.340670E-11
    0.281475E-02    0.912850E-01    0.234551E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.340685E-11
    0.225180E-02    0.912854E-01    0.187643E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.101316E-10
    0.180144E-02    0.912857E-01    0.150116E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.895175E-11
    0.144115E-02    0.912860E-01    0.120093E-04    0.912871E-01    0.113206E+02    0.912871E-01    0.116523E-10
    0.115292E-02    0.912862E-01    0.960749E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.658900E-11
    0.922337E-03    0.912864E-01    0.768602E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.166183E-10
    0.737870E-03    0.912865E-01    0.614884E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.203026E-10
    0.590296E-03    0.912866E-01    0.491908E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.382005E-11
    0.472237E-03    0.912867E-01    0.393528E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.167393E-11
    0.377789E-03    0.912868E-01    0.314822E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.308617E-10
    0.302231E-03    0.912869E-01    0.251860E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.222769E-10
    0.241785E-03    0.912869E-01    0.201487E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.618082E-11
    0.193428E-03    0.912869E-01    0.161189E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.103428E-09
    0.154743E-03    0.912870E-01    0.128953E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.139395E-10
    0.123794E-03    0.912870E-01    0.103164E-05    0.912871E-01    0.113206E+02    0.912871E-01    0.122587E-10
    0.990352E-04    0.912870E-01    0.825274E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.974026E-10
    0.792282E-04    0.912870E-01    0.660226E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.335882E-10
    0.633825E-04    0.912870E-01    0.528212E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.207560E-09
    0.507060E-04    0.912871E-01    0.422639E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.738649E-10
    0.405648E-04    0.912871E-01    0.338116E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.738647E-10
    0.324519E-04    0.912871E-01    0.270478E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.145999E-09
    0.259615E-04    0.912871E-01    0.216362E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.378675E-09
    0.207692E-04    0.912871E-01    0.172982E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.277167E-09
    0.166153E-04    0.912871E-01    0.138668E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.113215E-09
    0.132923E-04    0.912871E-01    0.110707E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.179572E-09
    0.106338E-04    0.912871E-01    0.891135E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.552395E-09
    0.850706E-05    0.912871E-01    0.705856E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.184859E-08
    0.680565E-05    0.912871E-01    0.574331E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.248194E-09
    0.544452E-05    0.912871E-01    0.452813E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.298830E-08
    0.435561E-05    0.912871E-01    0.358994E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.313722E-08
    0.348449E-05    0.912871E-01    0.303149E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.412258E-08
    0.278759E-05    0.912871E-01    0.233344E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.691481E-08
    0.223007E-05    0.912871E-01    0.163538E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.105366E-07
    0.178406E-05    0.912871E-01    0.174445E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.108377E-08
    0.142725E-05    0.912871E-01    0.106275E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.120957E-07
    0.114180E-05    0.912871E-01    0.892329E-08    0.912871E-01    0.113206E+02    0.912871E-01    0.402072E-09
    0.913439E-06    0.912871E-01    0.679298E-08    0.912871E-01    0.113206E+02    0.912871E-01    0.385854E-08
    0.730751E-06    0.912871E-01    0.945586E-08    0.912871E-01    0.113206E+02    0.912871E-01    0.385854E-08
    0.584601E-06    0.912871E-01    0.529936E-09    0.912871E-01    0.113206E+02    0.912871E-01    0.227206E-07
    0.467681E-06    0.912871E-01    0.469068E-08    0.912871E-01    0.113206E+02    0.912871E-01    0.161131E-07
    0.374144E-06    0.912871E-01    0.469068E-08    0.912871E-01    0.113206E+02    0.912871E-01    0.469068E-08
    0.299316E-06    0.912871E-01    0.148128E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.689893E-07
    0.239452E-06    0.912871E-01    0.176930E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.176930E-07
    0.191562E-06    0.912871E-01    0.127812E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.974319E-07
    0.153250E-06    0.912871E-01    0.836131E-10    0.912871E-01    0.113206E+02    0.912871E-01    0.635716E-07
    0.122600E-06    0.912871E-01    0.159556E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.634044E-07
    0.980797E-07    0.912871E-01    0.237244E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.240809E-06
    0.784638E-07    0.912871E-01    0.754756E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.754756E-07
    0.627710E-07    0.912871E-01    0.444756E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.162191E-06
    0.502168E-07    0.912871E-01    0.717744E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.394691E-06
    0.401735E-07    0.912871E-01    0.121976E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.121976E-06
    0.321388E-07    0.912871E-01    0.881864E-09    0.912871E-01    0.113206E+02    0.912870E-01    0.808173E-06
    0.257110E-07    0.912871E-01    0.748017E-07    0.912871E-01    0.113206E+02    0.912871E-01    0.429756E-06
    0.205688E-07    0.912871E-01    0.303616E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.303616E-06
    0.164550E-07    0.912871E-01    0.169406E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.169406E-06
    0.131640E-07    0.912871E-01    0.274052E-06    0.912871E-01    0.113206E+02    0.912872E-01    0.711411E-06
    0.105312E-07    0.912871E-01    0.892779E-07    0.912872E-01    0.113206E+02    0.912869E-01    0.162906E-05
    0.842498E-08    0.912871E-01    0.141690E-06    0.912871E-01    0.113206E+02    0.912870E-01    0.139810E-05
    0.673999E-08    0.912871E-01    0.430400E-06    0.912870E-01    0.113206E+02    0.912870E-01    0.101315E-05
    0.539199E-08    0.912870E-01    0.652262E-06    0.912872E-01    0.113206E+02    0.912872E-01    0.115217E-05
    0.431359E-08    0.912870E-01    0.110337E-05    0.912872E-01    0.113206E+02    0.912872E-01    0.115217E-05
    0.345087E-08    0.912870E-01    0.539485E-06    0.912870E-01    0.113206E+02    0.912874E-01    0.321976E-05
    0.276070E-08    0.912871E-01    0.165373E-06    0.912871E-01    0.113206E+02    0.912867E-01    0.453368E-05
    0.220856E-08    0.912871E-01    0.165373E-06    0.912871E-01    0.113206E+02    0.912871E-01    0.165373E-06
    0.176685E-08    0.912872E-01    0.126671E-05    0.912872E-01    0.113206E+02    0.912865E-01    0.607556E-05
    0.141348E-08    0.912875E-01    0.402007E-05    0.912875E-01    0.113206E+02    0.912875E-01    0.402007E-05
    0.113078E-08    0.912871E-01    0.578376E-06    0.912871E-01    0.113206E+02    0.912892E-01    0.235230E-04
