   #x=   0.10
             #h           3-point     Error             5-point          Error
        0.3140E+00     -0.9869E+00    0.818863E-02       -0.99E+00        0.11E-03
        0.2983E+00     -0.9876E+00    0.739310E-02       -0.99E+00        0.88E-04
        0.2834E+00     -0.9884E+00    0.667234E-02       -0.99E+00        0.72E-04
        0.2692E+00     -0.9890E+00    0.602442E-02       -0.99E+00        0.59E-04
        0.2558E+00     -0.9896E+00    0.543975E-02       -0.99E+00        0.49E-04
        0.2430E+00     -0.9901E+00    0.490877E-02       -0.99E+00        0.39E-04
        0.2308E+00     -0.9906E+00    0.443337E-02       -0.99E+00        0.35E-04
        0.2193E+00     -0.9910E+00    0.400014E-02       -0.99E+00        0.25E-04
        0.2083E+00     -0.9914E+00    0.361292E-02       -0.99E+00        0.22E-04
        0.1979E+00     -0.9918E+00    0.326021E-02       -0.99E+00        0.20E-04
        0.1880E+00     -0.9921E+00    0.294583E-02       -0.99E+00        0.19E-04
        0.1786E+00     -0.9924E+00    0.265063E-02       -0.99E+00        0.16E-04
        0.1697E+00     -0.9926E+00    0.239376E-02       -0.99E+00        0.83E-05
        0.1612E+00     -0.9929E+00    0.215606E-02       -0.99E+00        0.13E-04
        0.1531E+00     -0.9931E+00    0.194903E-02       -0.99E+00        0.62E-05
        0.1455E+00     -0.9932E+00    0.176501E-02       -0.99E+00        0.66E-05
        0.1382E+00     -0.9934E+00    0.158865E-02       -0.99E+00        0.11E-04
        0.1313E+00     -0.9936E+00    0.142763E-02       -0.99E+00        0.96E-05
        0.1247E+00     -0.9937E+00    0.129728E-02       -0.10E+01        0.40E-05
        0.1185E+00     -0.9938E+00    0.117460E-02       -0.99E+00        0.58E-05
        0.1126E+00     -0.9940E+00    0.105191E-02       -0.99E+00        0.17E-04
        0.1069E+00     -0.9941E+00    0.944565E-03       -0.10E+01        0.35E-05
        0.1016E+00     -0.9942E+00    0.852553E-03       -0.10E+01        0.20E-05
        0.9651E-01     -0.9942E+00    0.775876E-03       -0.99E+00        0.18E-04
        0.9168E-01     -0.9943E+00    0.683863E-03       -0.10E+01        0.18E-05
        0.8710E-01     -0.9944E+00    0.622522E-03       -0.99E+00        0.91E-05
        0.8275E-01     -0.9944E+00    0.561180E-03       -0.99E+00        0.24E-04
        0.7861E-01     -0.9945E+00    0.499838E-03       -0.10E+01        0.18E-05
        0.7468E-01     -0.9946E+00    0.438497E-03       -0.99E+00        0.16E-04
        0.7094E-01     -0.9946E+00    0.407826E-03       -0.10E+01        0.68E-05
        0.6740E-01     -0.9946E+00    0.377155E-03       -0.99E+00        0.31E-04
        0.6403E-01     -0.9947E+00    0.346484E-03       -0.99E+00        0.18E-04
        0.6083E-01     -0.9947E+00    0.315813E-03       -0.99E+00        0.16E-04
        0.5778E-01     -0.9948E+00    0.254472E-03       -0.99E+00        0.12E-04
        0.5489E-01     -0.9948E+00    0.254472E-03       -0.99E+00        0.14E-04
        0.5215E-01     -0.9948E+00    0.193130E-03       -0.99E+00        0.59E-04
        0.4954E-01     -0.9948E+00    0.254472E-03       -0.99E+00        0.70E-04
        0.4707E-01     -0.9948E+00    0.193130E-03       -0.99E+00        0.70E-04
        0.4471E-01     -0.9948E+00    0.193130E-03       -0.99E+00        0.75E-04
        0.4248E-01     -0.9950E+00    0.910540E-05       -0.99E+00        0.65E-04
        0.4035E-01     -0.9949E+00    0.131789E-03       -0.99E+00        0.49E-04
        0.3834E-01     -0.9949E+00    0.131789E-03       -0.10E+01        0.40E-04
        0.3642E-01     -0.9950E+00    0.910540E-05       -0.99E+00        0.80E-04
