
      #t(days)          N(t)     N(t) True         error
  0.000000E+00  0.100000E+04  0.100000E+04  0.000000E+00
  0.100000E-03  0.701000E+03  0.769912E+03  0.895058E-01
  0.200000E-03  0.554281E+03  0.626016E+03  0.114591E+00
  0.300000E-03  0.462667E+03  0.527522E+03  0.122943E+00
  0.400000E-03  0.398911E+03  0.455869E+03  0.124944E+00
  0.500000E-03  0.351571E+03  0.401402E+03  0.124142E+00
  0.600000E-03  0.314842E+03  0.358599E+03  0.122022E+00
  0.700000E-03  0.285419E+03  0.324076E+03  0.119284E+00
  0.800000E-03  0.261265E+03  0.295643E+03  0.116281E+00
  0.900000E-03  0.241049E+03  0.271818E+03  0.113199E+00
  0.100000E-02  0.223858E+03  0.251566E+03  0.110140E+00
  0.110000E-02  0.209049E+03  0.234138E+03  0.107158E+00
  0.120000E-02  0.196147E+03  0.218983E+03  0.104282E+00
  0.130000E-02  0.184801E+03  0.205683E+03  0.101525E+00
  0.140000E-02  0.174741E+03  0.193917E+03  0.988917E-01
  0.150000E-02  0.165755E+03  0.183435E+03  0.963813E-01
  0.160000E-02  0.157678E+03  0.174036E+03  0.939908E-01
  0.170000E-02  0.150377E+03  0.165562E+03  0.917152E-01
  0.180000E-02  0.143744E+03  0.157882E+03  0.895488E-01
  0.190000E-02  0.137689E+03  0.150889E+03  0.874855E-01
  0.200000E-02  0.132139E+03  0.144496E+03  0.855193E-01
  0.210000E-02  0.127033E+03  0.138628E+03  0.836442E-01
  0.220000E-02  0.122319E+03  0.133224E+03  0.818547E-01
  0.230000E-02  0.117953E+03  0.128230E+03  0.801454E-01
  0.240000E-02  0.113897E+03  0.123601E+03  0.785111E-01
  0.250000E-02  0.110119E+03  0.119298E+03  0.769473E-01
  0.260000E-02  0.106591E+03  0.115290E+03  0.754496E-01
  0.270000E-02  0.103289E+03  0.111545E+03  0.740139E-01
  0.280000E-02  0.100192E+03  0.108039E+03  0.726365E-01
  0.290000E-02  0.972805E+02  0.104751E+03  0.713138E-01
  0.300000E-02  0.945387E+02  0.101659E+03  0.700426E-01
  0.310000E-02  0.919520E+02  0.987478E+02  0.688200E-01
  0.320000E-02  0.895074E+02  0.960012E+02  0.676432E-01
  0.330000E-02  0.871935E+02  0.934058E+02  0.665095E-01
  0.340000E-02  0.849998E+02  0.909494E+02  0.654166E-01
  0.350000E-02  0.829173E+02  0.886212E+02  0.643623E-01
  0.360000E-02  0.809377E+02  0.864114E+02  0.633446E-01
  0.370000E-02  0.790533E+02  0.843111E+02  0.623614E-01
  0.380000E-02  0.772576E+02  0.823125E+02  0.614110E-01
  0.390000E-02  0.755442E+02  0.804082E+02  0.604917E-01
  0.400000E-02  0.739077E+02  0.785919E+02  0.596020E-01
  0.410000E-02  0.723429E+02  0.768575E+02  0.587404E-01
  0.420000E-02  0.708452E+02  0.751996E+02  0.579055E-01
  0.430000E-02  0.694103E+02  0.736133E+02  0.570962E-01
  0.440000E-02  0.680344E+02  0.720941E+02  0.563111E-01
  0.450000E-02  0.667138E+02  0.706377E+02  0.555491E-01
  0.460000E-02  0.654453E+02  0.692403E+02  0.548093E-01
  0.470000E-02  0.642258E+02  0.678985E+02  0.540906E-01
  0.480000E-02  0.630526E+02  0.666090E+02  0.533921E-01
  0.490000E-02  0.619229E+02  0.653687E+02  0.527129E-01
  0.500000E-02  0.608345E+02  0.641750E+02  0.520522E-01
  0.510000E-02  0.597851E+02  0.630252E+02  0.514092E-01
  0.520000E-02  0.587726E+02  0.619169E+02  0.507832E-01
  0.530000E-02  0.577951E+02  0.608481E+02  0.501734E-01
  0.540000E-02  0.568508E+02  0.598165E+02  0.495793E-01
  0.550000E-02  0.559381E+02  0.588203E+02  0.490002E-01
  0.560000E-02  0.550553E+02  0.578577E+02  0.484355E-01
  0.570000E-02  0.542010E+02  0.569269E+02  0.478847E-01
  0.580000E-02  0.533739E+02  0.560266E+02  0.473472E-01
  0.590000E-02  0.525726E+02  0.551551E+02  0.468226E-01
  0.600000E-02  0.517960E+02  0.543112E+02  0.463103E-01
  0.610000E-02  0.510430E+02  0.534935E+02  0.458099E-01
  0.620000E-02  0.503124E+02  0.527009E+02  0.453211E-01
  0.630000E-02  0.496033E+02  0.519321E+02  0.448432E-01
  0.640000E-02  0.489148E+02  0.511862E+02  0.443761E-01
  0.650000E-02  0.482459E+02  0.504622E+02  0.439192E-01
  0.660000E-02  0.475958E+02  0.497590E+02  0.434724E-01
  0.670000E-02  0.469638E+02  0.490758E+02  0.430351E-01
  0.680000E-02  0.463491E+02  0.484118E+02  0.426072E-01
  0.690000E-02  0.457510E+02  0.477662E+02  0.421882E-01
  0.700000E-02  0.451688E+02  0.471381E+02  0.417779E-01
  0.710000E-02  0.446019E+02  0.465270E+02  0.413760E-01
  0.720000E-02  0.440497E+02  0.459321E+02  0.409823E-01
  0.730000E-02  0.435116E+02  0.453528E+02  0.405965E-01
  0.740000E-02  0.429872E+02  0.447885E+02  0.402183E-01
  0.750000E-02  0.424758E+02  0.442386E+02  0.398476E-01
  0.760000E-02  0.419770E+02  0.437026E+02  0.394840E-01
  0.770000E-02  0.414904E+02  0.431799E+02  0.391274E-01
  0.780000E-02  0.410154E+02  0.426701E+02  0.387775E-01
  0.790000E-02  0.405518E+02  0.421726E+02  0.384342E-01
  0.800000E-02  0.400990E+02  0.416871E+02  0.380973E-01
  0.810000E-02  0.396567E+02  0.412132E+02  0.377665E-01
  0.820000E-02  0.392246E+02  0.407503E+02  0.374418E-01
  0.830000E-02  0.388022E+02  0.402982E+02  0.371228E-01
  0.840000E-02  0.383893E+02  0.398564E+02  0.368096E-01
  0.850000E-02  0.379856E+02  0.394247E+02  0.365019E-01
  0.860000E-02  0.375907E+02  0.390026E+02  0.361995E-01
  0.870000E-02  0.372044E+02  0.385899E+02  0.359024E-01
  0.880000E-02  0.368263E+02  0.381862E+02  0.356103E-01
  0.890000E-02  0.364563E+02  0.377912E+02  0.353232E-01
  0.900000E-02  0.360940E+02  0.374047E+02  0.350409E-01
  0.910000E-02  0.357393E+02  0.370265E+02  0.347633E-01
  0.920000E-02  0.353919E+02  0.366561E+02  0.344903E-01
  0.930000E-02  0.350515E+02  0.362935E+02  0.342217E-01
  0.940000E-02  0.347179E+02  0.359383E+02  0.339574E-01
  0.950000E-02  0.343911E+02  0.355904E+02  0.336974E-01
  0.960000E-02  0.340706E+02  0.352494E+02  0.334415E-01
  0.970000E-02  0.337565E+02  0.349153E+02  0.331896E-01
  0.980000E-02  0.334484E+02  0.345877E+02  0.329416E-01
  0.990000E-02  0.331462E+02  0.342666E+02  0.326975E-01
  0.100000E-01  0.328497E+02  0.339517E+02  0.324571E-01
  0.101000E-01  0.325588E+02  0.336428E+02  0.322203E-01
  0.102000E-01  0.322734E+02  0.333398E+02  0.319871E-01
  0.103000E-01  0.319932E+02  0.330425E+02  0.317574E-01
  0.104000E-01  0.317181E+02  0.327508E+02  0.315311E-01
  0.105000E-01  0.314480E+02  0.324644E+02  0.313080E-01
  0.106000E-01  0.311828E+02  0.321833E+02  0.310883E-01
  0.107000E-01  0.309222E+02  0.319073E+02  0.308717E-01
  0.108000E-01  0.306663E+02  0.316362E+02  0.306581E-01
  0.109000E-01  0.304148E+02  0.313700E+02  0.304477E-01
  0.110000E-01  0.301677E+02  0.311085E+02  0.302401E-01
  0.111000E-01  0.299249E+02  0.308515E+02  0.300355E-01
  0.112000E-01  0.296862E+02  0.305990E+02  0.298337E-01
  0.113000E-01  0.294515E+02  0.303509E+02  0.296347E-01
  0.114000E-01  0.292207E+02  0.301070E+02  0.294384E-01
  0.115000E-01  0.289938E+02  0.298672E+02  0.292447E-01
  0.116000E-01  0.287706E+02  0.296315E+02  0.290537E-01
  0.117000E-01  0.285510E+02  0.293996E+02  0.288652E-01
  0.118000E-01  0.283350E+02  0.291716E+02  0.286792E-01
  0.119000E-01  0.281225E+02  0.289474E+02  0.284956E-01
  0.120000E-01  0.279133E+02  0.287267E+02  0.283144E-01
  0.121000E-01  0.277075E+02  0.285096E+02  0.281355E-01
  0.122000E-01  0.275049E+02  0.282960E+02  0.279590E-01
  0.123000E-01  0.273055E+02  0.280858E+02  0.277847E-01
  0.124000E-01  0.271091E+02  0.278789E+02  0.276126E-01
  0.125000E-01  0.269157E+02  0.276752E+02  0.274426E-01
  0.126000E-01  0.267253E+02  0.274747E+02  0.272748E-01
  0.127000E-01  0.265378E+02  0.272772E+02  0.271091E-01
  0.128000E-01  0.263530E+02  0.270828E+02  0.269454E-01
