#log10(N)          h      T-rule     S-rule    G-Quad       log10(eT)       log10(eS)       log10(eG)
        0.698970   0.7854  1.896119  2.004560  2.000000   -0.128449E+01   -0.264209E+01   -0.725852E+01
        0.954243   0.3927  1.974232  2.000269  2.000000   -0.188994E+01   -0.387100E+01   -0.147785E+02
        1.113943   0.2618  1.988564  2.000053  2.000000   -0.224275E+01   -0.457984E+01   -0.149546E+02
        1.230449   0.1963  1.993570  2.000017  2.000000   -0.249284E+01   -0.508116E+01   -0.143748E+02
        1.322219   0.1571  1.995886  2.000007  2.000000   -0.268676E+01   -0.546952E+01   -0.142644E+02
        1.397940   0.1309  1.997143  2.000003  2.000000   -0.284518E+01   -0.578663E+01   -0.143211E+02
        1.462398   0.1122  1.997901  2.000002  2.000000   -0.297911E+01   -0.605465E+01   -0.144231E+02
        1.518514   0.0982  1.998393  2.000001  2.000000   -0.309511E+01   -0.628677E+01   -0.145074E+02
        1.568202   0.0873  1.998731  2.000001  2.000000   -0.319743E+01   -0.649149E+01   -0.146993E+02
        1.612784   0.0785  1.998972  2.000000  2.000000   -0.328896E+01   -0.667459E+01   -0.148754E+02
        1.653213   0.0714  1.999150  2.000000  2.000000   -0.337175E+01   -0.684022E+01   -0.148754E+02
        1.690196   0.0654  1.999286  2.000000  2.000000   -0.344733E+01   -0.699142E+01   -0.145074E+02
        1.724276   0.0604  1.999392  2.000000  2.000000   -0.351686E+01   -0.713050E+01   -0.145566E+02
        1.755875   0.0561  1.999475  2.000000  2.000000   -0.358123E+01   -0.725926E+01   -0.147241E+02
        1.785330   0.0524  1.999543  2.000000  2.000000   -0.364116E+01   -0.737914E+01   -0.148754E+02
        1.812913   0.0491  1.999598  2.000000  2.000000   -0.369722E+01   -0.749127E+01   -0.151764E+02
        1.838849   0.0462  1.999644  2.000000  2.000000   -0.374988E+01   -0.759660E+01   -0.151095E+02
        1.863323   0.0436  1.999683  2.000000  2.000000   -0.379953E+01   -0.769590E+01   -0.156536E+02
        1.886491   0.0413  1.999715  2.000000  2.000000   -0.384650E+01   -0.778984E+01   -0.152556E+02
        1.908485   0.0393  1.999743  2.000000  2.000000   -0.389105E+01   -0.787895E+01   -0.152556E+02
        1.929419   0.0374  1.999767  2.000000  2.000000   -0.393343E+01   -0.796372E+01   -0.151764E+02
        1.949390   0.0357  1.999788  2.000000  2.000000   -0.397384E+01   -0.804454E+01   -0.159546E+02
        2.004321   0.0314  1.999836  2.000000  2.000000   -0.408487E+01   -0.826662E+01   -0.159546E+02
        2.021189   0.0302  1.999848  2.000000  2.000000   -0.411894E+01   -0.833476E+01   -0.153525E+02
        2.037426   0.0291  1.999859  2.000000  2.000000   -0.415172E+01   -0.840032E+01   -0.152556E+02
        2.053078   0.0280  1.999869  2.000000  2.000000   -0.418331E+01   -0.846350E+01   -0.154775E+02
        2.068186   0.0271  1.999878  2.000000  2.000000   -0.421379E+01   -0.852447E+01   -0.156536E+02
        2.082785   0.0262  1.999886  2.000000  2.000000   -0.424324E+01   -0.858336E+01   -0.159546E+02
        2.110590   0.0245  1.999900  2.000000  2.000000   -0.429930E+01   -0.869548E+01   -0.154775E+02
        2.123852   0.0238  1.999906  2.000000  2.000000   -0.432603E+01   -0.874894E+01   -0.152556E+02
        2.149219   0.0224  1.999916  2.000000  2.000000   -0.437713E+01   -0.885116E+01   -0.151095E+02
        2.161368   0.0218  1.999921  2.000000  2.000000   -0.440160E+01   -0.890010E+01   -0.159546E+02
        2.173186   0.0212  1.999925  2.000000  2.000000   -0.442540E+01   -0.894770E+01   -0.150515E+02
        2.184691   0.0207  1.999929  2.000000  2.000000   -0.444857E+01   -0.899403E+01   -0.149546E+02
        2.195900   0.0201  1.999932  2.000000  2.000000   -0.447113E+01   -0.903915E+01   -0.149546E+02
        2.206826   0.0196  1.999936  2.000000  2.000000   -0.449312E+01   -0.908313E+01   -0.153525E+02
        2.217484   0.0192  1.999939  2.000000  2.000000   -0.451457E+01   -0.912603E+01   -0.149546E+02
        2.227887   0.0187  1.999942  2.000000  2.000000   -0.453550E+01   -0.916789E+01   -0.149132E+02
        2.238046   0.0183  1.999944  2.000000  2.000000   -0.455594E+01   -0.920877E+01   -0.156536E+02
        2.247973   0.0178  1.999947  2.000000  2.000000   -0.457590E+01   -0.924871E+01   -0.150003E+02
        2.257679   0.0175  1.999949  2.000000  2.000000   -0.459542E+01   -0.928775E+01   -0.150003E+02
        2.267172   0.0171  1.999951  2.000000  2.000000   -0.461452E+01   -0.932593E+01   -0.156536E+02
        2.276462   0.0167  1.999953  2.000000  2.000000   -0.463320E+01   -0.936329E+01   -0.154775E+02
        2.285557   0.0164  1.999955  2.000000  2.000000   -0.465148E+01   -0.939986E+01   -0.156536E+02
        2.294466   0.0160  1.999957  2.000000  2.000000   -0.466939E+01   -0.943568E+01   -0.149546E+02
        2.303196   0.0157  1.999959  2.000000  2.000000   -0.468694E+01   -0.947078E+01   -0.150515E+02
        2.311754   0.0154  1.999960  2.000000  2.000000   -0.470414E+01   -0.950518E+01   -0.153525E+02
        2.320146   0.0151  1.999962  2.000000  2.000000   -0.472101E+01   -0.953891E+01   -0.149546E+02
        2.328380   0.0148  1.999963  2.000000  2.000000   -0.473755E+01   -0.957201E+01   -0.153525E+02
        2.336460   0.0145  1.999965  2.000000  2.000000   -0.475379E+01   -0.960448E+01   -0.147241E+02
        2.344392   0.0143  1.999966  2.000000  2.000000   -0.476973E+01   -0.963635E+01   -0.152556E+02
        2.352183   0.0140  1.999967  2.000000  2.000000   -0.478538E+01   -0.966766E+01   -0.151095E+02
        2.359835   0.0138  1.999968  2.000000  2.000000   -0.480075E+01   -0.969840E+01   -0.148085E+02
        2.367356   0.0135  1.999969  2.000000  2.000000   -0.481586E+01   -0.972861E+01   -0.147785E+02
        2.374748   0.0133  1.999970  2.000000  2.000000   -0.483070E+01   -0.975831E+01   -0.147505E+02
        2.382017   0.0131  1.999971  2.000000  2.000000   -0.484530E+01   -0.978751E+01   -0.148754E+02
        2.389166   0.0129  1.999972  2.000000  2.000000   -0.485966E+01   -0.981623E+01   -0.148085E+02
        2.396199   0.0127  1.999973  2.000000  2.000000   -0.487378E+01   -0.984447E+01   -0.148406E+02
        2.403121   0.0125  1.999974  2.000000  2.000000   -0.488768E+01   -0.987227E+01   -0.148085E+02
        2.409933   0.0123  1.999975  2.000000  2.000000   -0.490136E+01   -0.989963E+01   -0.146993E+02
        2.416641   0.0121  1.999976  2.000000  2.000000   -0.491483E+01   -0.992656E+01   -0.156536E+02
        2.423246   0.0119  1.999976  2.000000  2.000000   -0.492809E+01   -0.995308E+01   -0.150003E+02
        2.429752   0.0117  1.999977  2.000000  2.000000   -0.494115E+01   -0.997920E+01   -0.146324E+02
        2.436163   0.0115  1.999978  2.000000  2.000000   -0.495402E+01   -0.100049E+02   -0.146993E+02
        2.442480   0.0114  1.999978  2.000000  2.000000   -0.496670E+01   -0.100303E+02   -0.145566E+02
        2.448706   0.0112  1.999979  2.000000  2.000000   -0.497920E+01   -0.100553E+02   -0.146758E+02
        2.454845   0.0111  1.999980  2.000000  2.000000   -0.499152E+01   -0.100799E+02   -0.146536E+02
        2.460898   0.0109  1.999980  2.000000  2.000000   -0.500367E+01   -0.101042E+02   -0.146122E+02
        2.466868   0.0108  1.999981  2.000000  2.000000   -0.501565E+01   -0.101282E+02   -0.147505E+02
        2.472756   0.0106  1.999981  2.000000  2.000000   -0.502746E+01   -0.101518E+02   -0.147505E+02
        2.478566   0.0105  1.999982  2.000000  2.000000   -0.503912E+01   -0.101752E+02   -0.147505E+02
        2.484300   0.0103  1.999982  2.000000  2.000000   -0.505063E+01   -0.101982E+02   -0.147505E+02
        2.489958   0.0102  1.999983  2.000000  2.000000   -0.506198E+01   -0.102209E+02   -0.146324E+02
        2.495544   0.0101  1.999983  2.000000  2.000000   -0.507319E+01   -0.102433E+02   -0.145396E+02
        2.501059   0.0099  1.999984  2.000000  2.000000   -0.508425E+01   -0.102654E+02   -0.144775E+02
        2.506505   0.0098  1.999984  2.000000  2.000000   -0.509518E+01   -0.102873E+02   -0.145232E+02
        2.511883   0.0097  1.999984  2.000000  2.000000   -0.510597E+01   -0.103089E+02   -0.145929E+02
        2.517196   0.0096  1.999985  2.000000  2.000000   -0.511663E+01   -0.103302E+02   -0.145396E+02
        2.522444   0.0095  1.999985  2.000000  2.000000   -0.512716E+01   -0.103512E+02   -0.145396E+02
        2.527630   0.0093  1.999985  2.000000  2.000000   -0.513756E+01   -0.103720E+02   -0.145929E+02
        2.532754   0.0092  1.999986  2.000000  2.000000   -0.514784E+01   -0.103926E+02   -0.144922E+02
        2.537819   0.0091  1.999986  2.000000  2.000000   -0.515800E+01   -0.104129E+02   -0.143864E+02
        2.542825   0.0090  1.999986  2.000000  2.000000   -0.516804E+01   -0.104330E+02   -0.143983E+02
        2.547775   0.0089  1.999987  2.000000  2.000000   -0.517797E+01   -0.104528E+02   -0.144922E+02
        2.552668   0.0088  1.999987  2.000000  2.000000   -0.518778E+01   -0.104725E+02   -0.144494E+02
        2.557507   0.0087  1.999987  2.000000  2.000000   -0.519749E+01   -0.104919E+02   -0.144632E+02
        2.562293   0.0086  1.999988  2.000000  2.000000   -0.520708E+01   -0.105111E+02   -0.144775E+02
        2.567026   0.0085  1.999988  2.000000  2.000000   -0.521658E+01   -0.105301E+02   -0.143748E+02
        2.571709   0.0084  1.999988  2.000000  2.000000   -0.522597E+01   -0.105489E+02   -0.144105E+02
        2.576341   0.0084  1.999988  2.000000  2.000000   -0.523526E+01   -0.105674E+02   -0.143313E+02
        2.580925   0.0083  1.999989  2.000000  2.000000   -0.524445E+01   -0.105858E+02   -0.144361E+02
        2.585461   0.0082  1.999989  2.000000  2.000000   -0.525354E+01   -0.106040E+02   -0.143983E+02
        2.589950   0.0081  1.999989  2.000000  2.000000   -0.526254E+01   -0.106220E+02   -0.143983E+02
        2.594393   0.0080  1.999989  2.000000  2.000000   -0.527145E+01   -0.106398E+02   -0.145232E+02
        2.598791   0.0079  1.999990  2.000000  2.000000   -0.528027E+01   -0.106574E+02   -0.144361E+02
        2.603144   0.0079  1.999990  2.000000  2.000000   -0.528900E+01   -0.106749E+02   -0.143418E+02
        2.607455   0.0078  1.999990  2.000000  2.000000   -0.529764E+01   -0.106922E+02   -0.143748E+02
        2.611723   0.0077  1.999990  2.000000  2.000000   -0.530620E+01   -0.107093E+02   -0.142918E+02
        2.615950   0.0076  1.999990  2.000000  2.000000   -0.531468E+01   -0.107263E+02   -0.143418E+02
        2.620136   0.0076  1.999990  2.000000  2.000000   -0.532307E+01   -0.107430E+02   -0.143313E+02
        2.624282   0.0075  1.999991  2.000000  2.000000   -0.533138E+01   -0.107597E+02   -0.142556E+02
        2.628389   0.0074  1.999991  2.000000  2.000000   -0.533961E+01   -0.107761E+02   -0.142303E+02
        2.632457   0.0073  1.999991  2.000000  2.000000   -0.534777E+01   -0.107925E+02   -0.142644E+02
        2.636488   0.0073  1.999991  2.000000  2.000000   -0.535585E+01   -0.108086E+02   -0.143014E+02
        2.640481   0.0072  1.999991  2.000000  2.000000   -0.536385E+01   -0.108246E+02   -0.141987E+02
        2.644439   0.0071  1.999992  2.000000  2.000000   -0.537179E+01   -0.108405E+02   -0.142386E+02
        2.648360   0.0071  1.999992  2.000000  2.000000   -0.537965E+01   -0.108562E+02   -0.141912E+02
        2.652246   0.0070  1.999992  2.000000  2.000000   -0.538744E+01   -0.108718E+02   -0.141552E+02
        2.656098   0.0070  1.999992  2.000000  2.000000   -0.539516E+01   -0.108872E+02   -0.143211E+02
        2.659916   0.0069  1.999992  2.000000  2.000000   -0.540281E+01   -0.109025E+02   -0.142064E+02
        2.663701   0.0068  1.999992  2.000000  2.000000   -0.541040E+01   -0.109177E+02   -0.142303E+02
        2.667453   0.0068  1.999992  2.000000  2.000000   -0.541792E+01   -0.109327E+02   -0.141552E+02
        2.671173   0.0067  1.999992  2.000000  2.000000   -0.542537E+01   -0.109477E+02   -0.141350E+02
        2.674861   0.0067  1.999993  2.000000  2.000000   -0.543277E+01   -0.109624E+02   -0.141987E+02
        2.678518   0.0066  1.999993  2.000000  2.000000   -0.544010E+01   -0.109771E+02   -0.141285E+02
        2.682145   0.0065  1.999993  2.000000  2.000000   -0.544736E+01   -0.109917E+02   -0.142222E+02
        2.685742   0.0065  1.999993  2.000000  2.000000   -0.545457E+01   -0.110060E+02   -0.141912E+02
        2.689309   0.0064  1.999993  2.000000  2.000000   -0.546172E+01   -0.110204E+02   -0.141552E+02
        2.692847   0.0064  1.999993  2.000000  2.000000   -0.546881E+01   -0.110345E+02   -0.141622E+02
        2.696356   0.0063  1.999993  2.000000  2.000000   -0.547584E+01   -0.110486E+02   -0.141693E+02
        2.699838   0.0063  1.999993  2.000000  2.000000   -0.548282E+01   -0.110625E+02   -0.141221E+02
        2.703291   0.0062  1.999994  2.000000  2.000000   -0.548974E+01   -0.110764E+02   -0.140625E+02
        2.706718   0.0062  1.999994  2.000000  2.000000   -0.549661E+01   -0.110901E+02   -0.141221E+02
        2.710117   0.0061  1.999994  2.000000  2.000000   -0.550342E+01   -0.111037E+02   -0.141095E+02
        2.713491   0.0061  1.999994  2.000000  2.000000   -0.551018E+01   -0.111173E+02   -0.140681E+02
        2.716838   0.0060  1.999994  2.000000  2.000000   -0.551689E+01   -0.111307E+02   -0.141095E+02
        2.720159   0.0060  1.999994  2.000000  2.000000   -0.552354E+01   -0.111440E+02   -0.141285E+02
        2.723456   0.0059  1.999994  2.000000  2.000000   -0.553015E+01   -0.111572E+02   -0.140913E+02
        2.726727   0.0059  1.999994  2.000000  2.000000   -0.553670E+01   -0.111703E+02   -0.140252E+02
        2.729974   0.0059  1.999994  2.000000  2.000000   -0.554321E+01   -0.111833E+02   -0.140355E+02
        2.733197   0.0058  1.999994  2.000000  2.000000   -0.554967E+01   -0.111963E+02   -0.140681E+02
        2.736397   0.0058  1.999994  2.000000  2.000000   -0.555608E+01   -0.112091E+02   -0.141095E+02
        2.739572   0.0057  1.999995  2.000000  2.000000   -0.556244E+01   -0.112218E+02   -0.140355E+02
        2.742725   0.0057  1.999995  2.000000  2.000000   -0.556876E+01   -0.112344E+02   -0.140913E+02
        2.745855   0.0057  1.999995  2.000000  2.000000   -0.557503E+01   -0.112470E+02   -0.140515E+02
        2.748963   0.0056  1.999995  2.000000  2.000000   -0.558126E+01   -0.112595E+02   -0.140795E+02
        2.752048   0.0056  1.999995  2.000000  2.000000   -0.558744E+01   -0.112717E+02   -0.140101E+02
        2.755112   0.0055  1.999995  2.000000  2.000000   -0.559358E+01   -0.112840E+02   -0.140738E+02
        2.758155   0.0055  1.999995  2.000000  2.000000   -0.559967E+01   -0.112963E+02   -0.140101E+02
        2.761176   0.0055  1.999995  2.000000  2.000000   -0.560573E+01   -0.113083E+02   -0.140151E+02
        2.764176   0.0054  1.999995  2.000000  2.000000   -0.561174E+01   -0.113204E+02   -0.140252E+02
        2.767156   0.0054  1.999995  2.000000  2.000000   -0.561771E+01   -0.113323E+02   -0.140003E+02
        2.770115   0.0053  1.999995  2.000000  2.000000   -0.562364E+01   -0.113441E+02   -0.140252E+02
        2.773055   0.0053  1.999995  2.000000  2.000000   -0.562952E+01   -0.113559E+02   -0.139634E+02
        2.775974   0.0053  1.999995  2.000000  2.000000   -0.563537E+01   -0.113677E+02   -0.140003E+02
        2.778874   0.0052  1.999995  2.000000  2.000000   -0.564118E+01   -0.113792E+02   -0.140408E+02
        2.781755   0.0052  1.999995  2.000000  2.000000   -0.564696E+01   -0.113908E+02   -0.139503E+02
        2.784617   0.0052  1.999996  2.000000  2.000000   -0.565269E+01   -0.114023E+02   -0.140151E+02
        2.787460   0.0051  1.999996  2.000000  2.000000   -0.565838E+01   -0.114137E+02   -0.139590E+02
        2.790285   0.0051  1.999996  2.000000  2.000000   -0.566404E+01   -0.114250E+02   -0.139769E+02
        2.793092   0.0051  1.999996  2.000000  2.000000   -0.566966E+01   -0.114363E+02   -0.139503E+02
        2.795880   0.0050  1.999996  2.000000  2.000000   -0.567525E+01   -0.114473E+02   -0.140151E+02
        2.798651   0.0050  1.999996  2.000000  2.000000   -0.568080E+01   -0.114585E+02   -0.139769E+02
        2.801404   0.0050  1.999996  2.000000  2.000000   -0.568632E+01   -0.114696E+02   -0.139212E+02
        2.804139   0.0049  1.999996  2.000000  2.000000   -0.569180E+01   -0.114806E+02   -0.140151E+02
        2.806858   0.0049  1.999996  2.000000  2.000000   -0.569724E+01   -0.114914E+02   -0.138939E+02
        2.809560   0.0049  1.999996  2.000000  2.000000   -0.570265E+01   -0.115020E+02   -0.139212E+02
        2.812245   0.0048  1.999996  2.000000  2.000000   -0.570803E+01   -0.115131E+02   -0.139334E+02
        2.814913   0.0048  1.999996  2.000000  2.000000   -0.571338E+01   -0.115239E+02   -0.139815E+02
        2.817565   0.0048  1.999996  2.000000  2.000000   -0.571869E+01   -0.115343E+02   -0.139678E+02
        2.820201   0.0048  1.999996  2.000000  2.000000   -0.572397E+01   -0.115448E+02   -0.139376E+02
        2.822822   0.0047  1.999996  2.000000  2.000000   -0.572922E+01   -0.115553E+02   -0.139293E+02
        2.825426   0.0047  1.999996  2.000000  2.000000   -0.573443E+01   -0.115657E+02   -0.138901E+02
        2.828015   0.0047  1.999996  2.000000  2.000000   -0.573962E+01   -0.115763E+02   -0.139546E+02
        2.830589   0.0046  1.999996  2.000000  2.000000   -0.574477E+01   -0.115863E+02   -0.139334E+02
        2.833147   0.0046  1.999996  2.000000  2.000000   -0.574990E+01   -0.115969E+02   -0.139132E+02
        2.835691   0.0046  1.999996  2.000000  2.000000   -0.575499E+01   -0.116070E+02   -0.139054E+02
        2.838219   0.0046  1.999997  2.000000  2.000000   -0.576006E+01   -0.116172E+02   -0.138790E+02
        2.840733   0.0045  1.999997  2.000000  2.000000   -0.576509E+01   -0.116273E+02   -0.138864E+02
        2.843233   0.0045  1.999997  2.000000  2.000000   -0.577010E+01   -0.116372E+02   -0.139093E+02
        2.845718   0.0045  1.999997  2.000000  2.000000   -0.577508E+01   -0.116470E+02   -0.139376E+02
        2.848189   0.0045  1.999997  2.000000  2.000000   -0.578003E+01   -0.116572E+02   -0.138977E+02
        2.850646   0.0044  1.999997  2.000000  2.000000   -0.578495E+01   -0.116667E+02   -0.138647E+02
        2.853090   0.0044  1.999997  2.000000  2.000000   -0.578984E+01   -0.116767E+02   -0.138827E+02
        2.855519   0.0044  1.999997  2.000000  2.000000   -0.579471E+01   -0.116866E+02   -0.138718E+02
        2.857935   0.0044  1.999997  2.000000  2.000000   -0.579955E+01   -0.116962E+02   -0.138977E+02
        2.860338   0.0043  1.999997  2.000000  2.000000   -0.580436E+01   -0.117056E+02   -0.138977E+02
        2.862728   0.0043  1.999997  2.000000  2.000000   -0.580914E+01   -0.117151E+02   -0.138901E+02
        2.865104   0.0043  1.999997  2.000000  2.000000   -0.581390E+01   -0.117248E+02   -0.138718E+02
        2.867467   0.0043  1.999997  2.000000  2.000000   -0.581864E+01   -0.117343E+02   -0.138647E+02
        2.869818   0.0042  1.999997  2.000000  2.000000   -0.582334E+01   -0.117436E+02   -0.138718E+02
        2.872156   0.0042  1.999997  2.000000  2.000000   -0.582803E+01   -0.117529E+02   -0.138754E+02
        2.874482   0.0042  1.999997  2.000000  2.000000   -0.583268E+01   -0.117627E+02   -0.138754E+02
        2.876795   0.0042  1.999997  2.000000  2.000000   -0.583732E+01   -0.117717E+02   -0.139015E+02
        2.879096   0.0042  1.999997  2.000000  2.000000   -0.584192E+01   -0.117807E+02   -0.138577E+02
        2.881385   0.0041  1.999997  2.000000  2.000000   -0.584651E+01   -0.117900E+02   -0.138406E+02
        2.883661   0.0041  1.999997  2.000000  2.000000   -0.585107E+01   -0.117988E+02   -0.138827E+02
        2.885926   0.0041  1.999997  2.000000  2.000000   -0.585560E+01   -0.118082E+02   -0.138612E+02
        2.888179   0.0041  1.999997  2.000000  2.000000   -0.586012E+01   -0.118174E+02   -0.138612E+02
        2.890421   0.0040  1.999997  2.000000  2.000000   -0.586460E+01   -0.118263E+02   -0.138682E+02
        2.892651   0.0040  1.999997  2.000000  2.000000   -0.586907E+01   -0.118352E+02   -0.138406E+02
        2.894870   0.0040  1.999997  2.000000  2.000000   -0.587351E+01   -0.118443E+02   -0.138790E+02
        2.897077   0.0040  1.999997  2.000000  2.000000   -0.587793E+01   -0.118529E+02   -0.138612E+02
        2.899273   0.0040  1.999997  2.000000  2.000000   -0.588233E+01   -0.118617E+02   -0.138275E+02
        2.901458   0.0039  1.999997  2.000000  2.000000   -0.588671E+01   -0.118702E+02   -0.138054E+02
        2.903633   0.0039  1.999997  2.000000  2.000000   -0.589106E+01   -0.118788E+02   -0.138179E+02
