#log10(N)          h      T-rule     S-rule    G-Quad       log10(eT)       log10(eS)       log10(eG)
        0.698970   0.7854  1.896119  2.004560  2.000000   -0.128449E+01   -0.264209E+01   -0.692369E+01
        0.954243   0.3927  1.974232  2.000269  1.999998   -0.188994E+01   -0.387100E+01   -0.611078E+01
        1.113943   0.2618  1.988564  2.000053  1.999997   -0.224275E+01   -0.457930E+01   -0.584451E+01
        1.230449   0.1963  1.993570  2.000017  1.999998   -0.249283E+01   -0.507859E+01   -0.607859E+01
        1.322219   0.1571  1.995886  2.000007  1.999999   -0.268676E+01   -0.547653E+01   -0.644657E+01
        1.397940   0.1309  1.997143  2.000003  2.000000   -0.284514E+01   -0.577756E+01   -0.692369E+01
        1.462398   0.1122  1.997902  2.000002  1.999999   -0.297918E+01   -0.607859E+01   -0.644657E+01
        1.518514   0.0982  1.998394  2.000001  2.000000   -0.309516E+01   -0.622472E+01   -0.722472E+01
        1.568202   0.0873  1.998731  2.000001  2.000000   -0.319745E+01   -0.644657E+01   -0.722472E+01
        1.612784   0.0785  1.998972  2.000000  2.000000   -0.328901E+01   -0.692369E+01   -0.692369E+01
        1.653213   0.0714  1.999151  2.000000  2.000000   -0.337194E+01   -0.692369E+01   -0.674760E+01
        1.690196   0.0654  1.999286  2.000000  2.000000   -0.344729E+01   -0.692369E+01   -0.692369E+01
        1.724276   0.0604  1.999392  2.000000  2.000000   -0.351681E+01   -0.692369E+01   -0.662266E+01
        1.755875   0.0561  1.999476  2.000000  2.000000   -0.358137E+01   -0.692369E+01   -0.722472E+01
        1.863323   0.0436  1.999683  2.000000  2.000000   -0.379967E+01   -0.722472E+01   -0.662266E+01
        1.908485   0.0393  1.999743  2.000000  2.000000   -0.389107E+01   -0.692369E+01   -0.662266E+01
        1.929419   0.0374  1.999767  2.000000  2.000000   -0.393357E+01   -0.722472E+01   -0.692369E+01
        1.968483   0.0341  1.999806  2.000000  1.999999   -0.401227E+01   -0.662266E+01   -0.637962E+01
        2.004321   0.0314  1.999836  2.000000  2.000000   -0.408516E+01   -0.662266E+01   -0.662266E+01
