  #N         exact        Simpson   Gauss-Legend          Filon             eS             eG             eF
   5       0.62415       69.36604       -3.02334      -23.49451      110.13681        5.84394           38.64240
   9       0.62415       34.78025       -2.00240      -13.10621       54.72419        4.20820           21.99850
  13       0.62415       23.68443       -0.39536        2.10886       36.94670        1.63343            2.37877
  17       0.62415       17.76949       -1.83930       -2.95466       27.46990        3.94689            5.73389
  21       0.62415       14.43495       -4.17926       -4.42219       22.12738        7.69592            8.08514
  25       0.62415       10.70132       -0.06614        2.93320       16.14543        1.10597            3.69950
  29       0.62415        9.13660        0.04251       -2.35138       13.63846        0.93189            4.76732
  33       0.62415        9.53820        1.54790        3.48841       14.28190        1.48001            4.58906
  37       0.62415        7.43004        3.06190        1.61439       10.90425        3.90572            1.58655
  41       0.62415        7.95606        0.36357       -1.32636       11.74703        0.41749            3.12507
  45       0.62415        5.38649       -0.10187       -1.24332        7.63013        1.16321            2.99202
  49       0.62415        5.92130        0.24781        0.26611        8.48699        0.60297            0.57364
  53       0.62415        7.11037        1.62763        1.62005       10.39209        1.60775            1.59561
  57       0.62415        4.54452        0.64616        2.09806        6.28113        0.03526            2.36147
  61       0.62415        3.77339       -0.84617        1.94101        5.04564        2.35571            2.10985
  65       0.62415        3.48516        1.43504        1.55090        4.58385        1.29920            1.48481
  69       0.62415        4.10638        0.34952        1.12257        5.57916        0.44000            0.79856
  73       0.62415        4.40915       -0.20820        0.73127        6.06424        1.33357            0.17163
  77       0.62415        4.97038        1.16343        0.40622        6.96344        0.86403            0.34917
  81       0.62415        4.96562       -0.01932        0.16810        6.95581        1.03095            0.73067
  85       0.62415        3.13056        1.47250        0.03069        4.01572        1.35922            0.95082
  89       0.62415        2.62580        0.49486       -0.02751        3.20700        0.20715            1.04408
  93       0.62415        2.31311        1.29462       -0.02920        2.70601        1.07422            1.04678
  97       0.62415        2.06554        0.36961        0.00876        2.30937        0.40782            0.98596
 101       0.62415        1.81978        0.69501        0.07373        1.91561        0.11352            0.88187
 105       0.62415        1.44581        0.48116        0.15605        1.31644        0.22910            0.74998
 109       0.62415        1.91947        0.99792        0.24824        2.07533        0.59884            0.60227
 113       0.62415        2.17666       -0.15928        0.34459        2.48740        1.25520            0.44791
 117       0.62415        2.28817        0.49034        0.44079        2.66606        0.21440            0.29377
 121       0.62415        2.37006        0.74708        0.53373        2.79725        0.19696            0.14487
 125       0.62415        2.44668       -0.05411        0.62124        2.92002        1.08670            0.00466
 129       0.62415        2.52822        0.87375        0.70192        3.05066        0.39991            0.12460
 133       0.62415        2.62131        0.89216        0.77494        3.19980        0.42939            0.24160
 137       0.62415        2.73233        0.26434        0.83994        3.37768        0.57649            0.34573
 141       0.62415        2.86951        0.40433        0.89684        3.59747        0.35218            0.43690
 145       0.62415        3.04586        0.91845        0.94582        3.88001        0.47152            0.51537
 149       0.62415        3.28572        0.96973        0.98715        4.26432        0.55368            0.58159
 153       0.62415        3.64611        0.62676        1.02122        4.84173        0.00418            0.63618
 157       0.62415        4.33249        0.32873        1.04839        5.94143        0.47332            0.67971
 161       0.62415        3.68380        0.25726        1.06895        4.90211        0.58783            0.71264
 165       0.62415        2.34432        0.33935        1.08322        2.75601        0.45630            0.73551
 169       0.62415        1.89139        0.45450        1.09201        2.03035        0.27181            0.74960
 173       0.62415        1.62115        0.53349        1.09616        1.59737        0.14525            0.75625
 177       0.62415        1.43130        0.55422        1.09645        1.29320        0.11204            0.75671
 181       0.62415        1.28644        0.51472        1.09356        1.06111        0.17533            0.75207
 185       0.62415        1.17015        0.42465        1.08808        0.87478        0.31963            0.74330
 189       0.62415        1.07346        0.32363        1.08054        0.71987        0.48148            0.73122
 193       0.62415        0.99096        0.30811        1.07136        0.58770        0.50635            0.71651
 197       0.62415        0.91915        0.49568        1.06092        0.47264        0.20584            0.69979
 201       0.62415        0.85560        0.83194        1.04953        0.37083        0.33292            0.68153
 205       0.62415        0.79860        0.91248        1.03744        0.27949        0.46196            0.66216
 209       0.62415        0.74684        0.49069        1.02487        0.19658        0.21383            0.64203
 213       0.62415        0.69937        0.36809        1.01201        0.12052        0.41026            0.62143
 217       0.62415        0.65540        0.90990        0.99900        0.05008        0.45782            0.60058
 221       0.62415        0.61433        0.54572        0.98597        0.01573        0.12566            0.57969
 225       0.62415        0.57564        0.51721        0.97300        0.07772        0.17133            0.55892
 229       0.62415        0.53892        0.81660        0.96018        0.13655        0.30835            0.53838
 233       0.62415        0.50380        0.43724        0.94757        0.19283        0.29946            0.51818
 237       0.62415        0.46996        0.68855        0.93523        0.24704        0.10318            0.49841
 241       0.62415        0.43712        0.84713        0.92319        0.29965        0.35726            0.47911
 245       0.62415        0.40503        0.21603        0.91147        0.35107        0.65388            0.46034
 249       0.62415        0.37343        0.28918        0.90010        0.40170        0.53669            0.44213
 253       0.62415        0.34209        0.52486        0.88910        0.45191        0.15908            0.42450
 257       0.62415        0.31077        0.60826        0.87847        0.50209        0.02545            0.40746
 261       0.62415        0.27923        0.62257        0.86821        0.55263        0.00254            0.39103
 265       0.62415        0.24719        0.62404        0.85833        0.60395        0.00017            0.37519
 269       0.62415        0.21438        0.62414        0.84882        0.65653        0.00001            0.35996
 273       0.62415        0.18045        0.62415        0.83968        0.71089        0.00000            0.34532
 277       0.62415        0.14500        0.62415        0.83091        0.76768        0.00000            0.33126
 281       0.62415        0.10755        0.62415        0.82249        0.82768        0.00000            0.31777
 285       0.62415        0.06747        0.62415        0.81441        0.89191        0.00000            0.30483
 289       0.62415        0.02391        0.62415        0.80667        0.96170        0.00000            0.29243
 293       0.62415       -0.02429        0.62415        0.79926        1.03892        0.00000            0.28055
 297       0.62415       -0.07886        0.62415        0.79216        1.12635        0.00000            0.26918
 301       0.62415       -0.14252        0.62415        0.78536        1.22834        0.00000            0.25829
 305       0.62415       -0.21999        0.62415        0.77886        1.35247        0.00000            0.24787
 309       0.62415       -0.32068        0.62415        0.77264        1.51378        0.00000            0.23791
 313       0.62415       -0.46818        0.62415        0.76669        1.75010        0.00000            0.22837
 317       0.62415       -0.76244        0.62415        0.76099        2.22157        0.00000            0.21925
 321       0.62415       -0.26992        0.62415        0.75555        1.43245        0.00000            0.21052
 325       0.62415        0.03097        0.62415        0.75034        0.95038        0.00000            0.20218
 329       0.62415        0.15987        0.62415        0.74536        0.74386        0.00000            0.19420
 333       0.62415        0.23934        0.62415        0.74060        0.61653        0.00000            0.18658
 337       0.62415        0.29525        0.62415        0.73605        0.52695        0.00000            0.17928
 341       0.62415        0.33745        0.62415        0.73169        0.45934        0.00000            0.17230
 345       0.62415        0.37074        0.62415        0.72753        0.40601        0.00000            0.16563
 349       0.62415        0.39780        0.62415        0.72354        0.36265        0.00000            0.15925
 353       0.62415        0.42031        0.62415        0.71973        0.32659        0.00000            0.15314
 357       0.62415        0.43934        0.62415        0.71609        0.29610        0.00000            0.14730
 361       0.62415        0.45566        0.62415        0.71260        0.26995        0.00000            0.14171
 365       0.62415        0.46981        0.62415        0.70926        0.24727        0.00000            0.13636
 369       0.62415        0.48220        0.62415        0.70607        0.22743        0.00000            0.13125
 373       0.62415        0.49312        0.62415        0.70301        0.20994        0.00000            0.12635
 377       0.62415        0.50282        0.62415        0.70008        0.19440        0.00000            0.12166
 381       0.62415        0.51148        0.62415        0.69728        0.18052        0.00000            0.11717
 385       0.62415        0.51925        0.62415        0.69460        0.16806        0.00000            0.11287
 389       0.62415        0.52627        0.62415        0.69203        0.15683        0.00000            0.10875
 393       0.62415        0.53262        0.62415        0.68956        0.14665        0.00000            0.10480
 397       0.62415        0.53839        0.62415        0.68720        0.13741        0.00000            0.10102
 401       0.62415        0.54365        0.62415        0.68494        0.12897        0.00000            0.09740
 405       0.62415        0.54847        0.62415        0.68277        0.12126        0.00000            0.09392
 409       0.62415        0.55289        0.62415        0.68069        0.11418        0.00000            0.09060
 413       0.62415        0.55695        0.62415        0.67870        0.10767        0.00000            0.08740
 417       0.62415        0.56069        0.62415        0.67679        0.10167        0.00000            0.08434
