 #log10(N)         exact        Simpson   Gauss-Legend          Filon      log10(eS)      log10(eG)      log10(eF)
  0.698970     0.6241500     69.3660420     -3.0233440    -23.4945052      2.0419325      0.7667056           1.587064
  0.954243     0.6241500     34.7802508     -2.0023966    -13.1062134      1.7381793      0.6240961           1.342393
  1.113943     0.6241500     23.6844304     -0.3953551      2.1088589      1.5675756      0.2131004           0.376352
  1.230449     0.6241500     17.7694907     -1.8393019     -2.9546600      1.4388571      0.5962551           0.758450
  1.322219     0.6241500     14.4349522     -4.1792582     -4.4221920      1.3449299      0.8862605           0.907688
  1.397940     0.6241500     10.7013198     -0.0661426      2.9331956      1.2080496      0.0437442           0.568144
  1.462398     0.6241500      9.1365973      0.0425083     -2.3513757      1.1347655     -0.0306334           0.678275
  1.518514     0.6241500      9.5381991      1.5478998      3.4884120      1.1547860      0.1702654           0.661724
  1.568202     0.6241500      7.4300394      3.0619024      1.6143930      1.0375959      0.5917006           0.200453
  1.612784     0.6241500      7.9560606      0.3635733     -1.3263623      1.0699282     -0.3793533           0.494860
  1.653213     0.6241500      5.3864931     -0.1018691     -1.2433180      0.8825317      0.0656590           0.475964
  1.690196     0.6241500      5.9213049      0.2478094      0.2661102      0.9287537     -0.2197079          -0.241358
  1.724276     0.6241500      7.1103705      1.6276298      1.6200517      1.0167027      0.2062197           0.202927
  1.755875     0.6241500      4.5445165      0.6461574      2.0980640      0.7980377     -1.4527193           0.373183
  1.785330     0.6241500      3.7733872     -0.8461690      1.9410110      0.7029164      0.3721226           0.324251
  1.812913     0.6241500      3.4851588      1.4350449      1.5508965      0.6612302      0.1136756           0.171672
  1.838849     0.6241500      4.1063801      0.3495241      1.1225704      0.7465685     -0.3565474          -0.097693
  1.863323     0.6241500      4.4091456     -0.2081960      0.7312710      0.7827764      0.1250149          -0.765414
  1.886491     0.6241500      4.9703808      1.1634317      0.4062167      0.8428238     -0.0634733          -0.456965
  1.908485     0.6241500      4.9656161     -0.0193151      0.1681047      0.8423474      0.0132360          -0.136281
  1.929419     0.6241500      3.1305616      1.4725041      0.0306940      0.6037634      0.1332882          -0.021900
  1.949390     0.6241500      2.6258018      0.4948556     -0.0275102      0.5060996     -0.6837092           0.018732
  1.968483     0.6241500      2.3131081      1.2946242     -0.0291961      0.4323299      0.0310931           0.019854
  1.986772     0.6241500      2.0655412      0.3696121      0.0087611      0.3634929     -0.3895365          -0.006139
  2.004321     0.6241500      1.8197805      0.6950052      0.0737326      0.2823080     -0.9449173          -0.054597
  2.021189     0.6241500      1.4458065      0.4811557      0.1560497      0.1194013     -0.6399701          -0.124950
  2.037426     0.6241500      1.9194666      0.9979162      0.2482436      0.3170870     -0.2226890          -0.220209
