        #E     huber       exp     error
      0.00     10.65     10.65      0.00
      5.00     11.65     12.00      0.34
     10.00     13.19     13.60      0.41
     15.00     15.25     15.53      0.27
     20.00     17.85     17.85      0.00
     25.00     20.79     20.67      0.13
     30.00     24.14     24.11      0.03
     35.00     28.27     28.34      0.07
     40.00     33.54     33.54      0.00
     45.00     40.78     39.87      0.92
     50.00     49.56     47.44      2.12
     55.00     58.34     56.17      2.16
     60.00     65.56     65.56      0.00
     65.00     71.74     74.45      2.70
     70.00     77.40     81.04      3.63
     75.00     81.01     83.50      2.49
     80.00     81.04     81.04      0.00
     85.00     75.85     74.45      1.40
     90.00     66.67     65.56      1.11
     95.00     56.27     56.17      0.09
    100.00     47.44     47.44      0.00
    105.00     40.58     39.87      0.72
    110.00     34.33     33.54      0.80
    115.00     28.80     28.34      0.46
    120.00     24.11     24.11      0.00
    125.00     20.45     20.67      0.21
    130.00     17.71     17.85      0.13
    135.00     15.54     15.53      0.02
    140.00     13.60     13.60      0.00
    145.00     11.90     12.00      0.10
    150.00     10.58     10.65      0.07
    155.00      9.51      9.51      0.00
    160.00      8.53      8.53      0.00
    165.00      7.66      7.70      0.04
    170.00      6.95      6.97      0.02
    175.00      6.35      6.34      0.01
    180.00      5.80      5.80      0.00
    185.00      5.29      5.31      0.02
    190.00      4.85      4.89      0.04
    195.00      4.47      4.51      0.04
    200.00      4.17      4.17      0.00
