        #E    recipe       exp     error
      0.00     10.65     10.65      0.00
      2.00     11.79     11.16      0.63
      4.00     12.94     11.71      1.23
      6.00     14.08     12.30      1.78
      8.00     15.22     12.93      2.30
     10.00     16.37     13.60      2.76
     12.00     17.51     14.33      3.18
     14.00     18.65     15.11      3.54
     16.00     19.80     15.95      3.84
     18.00     20.94     16.86      4.08
     20.00     22.09     17.85      4.24
     22.00     23.23     18.91      4.32
     24.00     24.38     20.06      4.32
     26.00     25.52     21.30      4.22
     28.00     26.66     22.65      4.01
     30.00     27.81     24.11      3.70
     32.00     28.96     25.70      3.25
     34.00     30.10     27.43      2.67
     36.00     31.25     29.30      1.95
     38.00     32.39     31.33      1.06
     40.00     33.54     33.54      0.00
     42.00     35.92     35.92      0.01
     44.00     38.29     38.50      0.21
     46.00     40.67     41.28      0.61
     48.00     43.04     44.26      1.22
     50.00     45.42     47.44      2.02
     52.00     47.80     50.81      3.01
     54.00     50.17     54.35      4.18
     56.00     52.55     58.02      5.48
     58.00     54.92     61.78      6.86
     60.00     57.30     65.56      8.26
     62.00     59.68     69.26      9.59
     64.00     62.05     72.79     10.74
     66.00     64.43     76.01     11.59
     68.00     66.80     78.80     12.00
     70.00     69.18     81.04     11.86
     72.00     71.55     82.60     11.05
     74.00     73.92     83.40      9.48
     76.00     76.30     83.40      7.10
     78.00     78.67     82.60      3.93
     80.00     81.04     81.04      0.00
     82.00     78.20     78.80      0.61
     84.00     75.35     76.01      0.66
     86.00     72.51     72.79      0.28
     88.00     69.66     69.26      0.40
     90.00     66.82     65.56      1.26
     92.00     63.97     61.78      2.19
     94.00     61.12     58.02      3.10
     96.00     58.28     54.35      3.93
     98.00     55.43     50.81      4.62
    100.00     52.58     47.44      5.14
    102.00     49.73     44.26      5.48
    104.00     46.89     41.28      5.61
    106.00     44.04     38.50      5.54
    108.00     41.19     35.92      5.27
    110.00     38.34     33.54      4.81
    112.00     35.50     31.33      4.16
    114.00     32.65     29.30      3.35
    116.00     29.80     27.43      2.38
    118.00     26.96     25.70      1.25
    120.00     24.11     24.11      0.00
    122.00     23.33     22.65      0.68
    124.00     22.55     21.30      1.25
    126.00     21.77     20.06      1.71
    128.00     20.99     18.91      2.08
    130.00     20.21     17.85      2.36
    132.00     19.43     16.86      2.56
    134.00     18.65     15.95      2.69
    136.00     17.87     15.11      2.76
    138.00     17.09     14.33      2.76
    140.00     16.31     13.60      2.71
    142.00     15.53     12.93      2.61
    144.00     14.75     12.30      2.46
    146.00     13.98     11.71      2.27
    148.00     13.20     11.16      2.04
    150.00     12.42     10.65      1.77
    152.00     11.64     10.17      1.47
    154.00     10.86      9.72      1.14
    156.00     10.09      9.30      0.79
    158.00      9.31      8.90      0.40
    160.00      8.53      8.53      0.00
    162.00      8.31      8.18      0.13
    164.00      8.09      7.85      0.24
    166.00      7.88      7.54      0.33
    168.00      7.66      7.25      0.41
    170.00      7.44      6.97      0.47
    172.00      7.22      6.71      0.51
    174.00      7.00      6.46      0.54
    176.00      6.79      6.23      0.56
    178.00      6.57      6.01      0.56
    180.00      6.35      5.80      0.55
    182.00      6.13      5.60      0.54
    184.00      5.91      5.40      0.51
    186.00      5.70      5.22      0.47
    188.00      5.48      5.05      0.43
    190.00      5.26      4.89      0.37
    192.00      5.04      4.73      0.31
    194.00      4.82      4.58      0.24
    196.00      4.61      4.44      0.17
    198.00      4.39      4.30      0.08
    200.00      4.17      4.17      0.00
