       0.00     10.60	0.00
       0.84     10.40	2.16
       4.42      9.84	4.97
      10.74     10.03	7.64
      19.63     12.85	10.09
      30.83     20.95	12.26
      44.02     36.89	14.06
      58.82     60.67	15.47
      74.81     83.47	16.43
      91.52     66.01	16.91
     108.48     40.90	16.91
     125.19     19.74	16.43
     141.18     12.57	15.47
     155.98      9.76	14.06
     169.17      8.78	12.26
     180.37      7.57	10.09
     189.26      6.35	7.64
     195.58      5.40	4.97
     199.16      4.84	2.16
