     rmin     rmax   nstep     h        hinv 
     -10      10     100      0.20      5.00
 
   i      xk(i)      vk(i)    
   0     -10.000   100.000
   1      -9.800    96.040
   2      -9.600    92.160
   3      -9.400    88.360
   4      -9.200    84.640
   5      -9.000    81.000
   6      -8.800    77.440
   7      -8.600    73.960
   8      -8.400    70.560
   9      -8.200    67.240
  10      -8.000    64.000
  11      -7.800    60.840
  12      -7.600    57.760
  13      -7.400    54.760
  14      -7.200    51.840
  15      -7.000    49.000
  16      -6.800    46.240
  17      -6.600    43.560
  18      -6.400    40.960
  19      -6.200    38.440
  20      -6.000    36.000
  21      -5.800    33.640
  22      -5.600    31.360
  23      -5.400    29.160
  24      -5.200    27.040
  25      -5.000    25.000
  26      -4.800    23.040
  27      -4.600    21.160
  28      -4.400    19.360
  29      -4.200    17.640
  30      -4.000    16.000
  31      -3.800    14.440
  32      -3.600    12.960
  33      -3.400    11.560
  34      -3.200    10.240
  35      -3.000     9.000
  36      -2.800     7.840
  37      -2.600     6.760
  38      -2.400     5.760
  39      -2.200     4.840
  40      -2.000     4.000
  41      -1.800     3.240
  42      -1.600     2.560
  43      -1.400     1.960
  44      -1.200     1.440
  45      -1.000     1.000
  46      -0.800     0.640
  47      -0.600     0.360
  48      -0.400     0.160
  49      -0.200     0.040
  50       0.000     0.000
  51       0.200     0.040
  52       0.400     0.160
  53       0.600     0.360
  54       0.800     0.640
  55       1.000     1.000
  56       1.200     1.440
  57       1.400     1.960
  58       1.600     2.560
  59       1.800     3.240
  60       2.000     4.000
  61       2.200     4.840
  62       2.400     5.760
  63       2.600     6.760
  64       2.800     7.840
  65       3.000     9.000
  66       3.200    10.240
  67       3.400    11.560
  68       3.600    12.960
  69       3.800    14.440
  70       4.000    16.000
  71       4.200    17.640
  72       4.400    19.360
  73       4.600    21.160
  74       4.800    23.040
  75       5.000    25.000
  76       5.200    27.040
  77       5.400    29.160
  78       5.600    31.360
  79       5.800    33.640
  80       6.000    36.000
  81       6.200    38.440
  82       6.400    40.960
  83       6.600    43.560
  84       6.800    46.240
  85       7.000    49.000
  86       7.200    51.840
  87       7.400    54.760
  88       7.600    57.760
  89       7.800    60.840
  90       8.000    64.000
  91       8.200    67.240
  92       8.400    70.560
  93       8.600    73.960
  94       8.800    77.440
  95       9.000    81.000
  96       9.200    84.640
  97       9.400    88.360
  98       9.600    92.160
  99       9.800    96.040
 100      10.000   100.000
 
      h        2/h^2   -1/h^2
      0.20     50.00    -25.00
 
   i       dk(i)      ek(i)    
   1     146.040   -25.000
   2     142.160   -25.000
   3     138.360   -25.000
   4     134.640   -25.000
   5     131.000   -25.000
   6     127.440   -25.000
   7     123.960   -25.000
   8     120.560   -25.000
   9     117.240   -25.000
  10     114.000   -25.000
  11     110.840   -25.000
  12     107.760   -25.000
  13     104.760   -25.000
  14     101.840   -25.000
  15      99.000   -25.000
  16      96.240   -25.000
  17      93.560   -25.000
  18      90.960   -25.000
  19      88.440   -25.000
  20      86.000   -25.000
  21      83.640   -25.000
  22      81.360   -25.000
  23      79.160   -25.000
  24      77.040   -25.000
  25      75.000   -25.000
  26      73.040   -25.000
  27      71.160   -25.000
  28      69.360   -25.000
  29      67.640   -25.000
  30      66.000   -25.000
  31      64.440   -25.000
  32      62.960   -25.000
  33      61.560   -25.000
  34      60.240   -25.000
  35      59.000   -25.000
  36      57.840   -25.000
  37      56.760   -25.000
  38      55.760   -25.000
  39      54.840   -25.000
  40      54.000   -25.000
  41      53.240   -25.000
  42      52.560   -25.000
  43      51.960   -25.000
  44      51.440   -25.000
  45      51.000   -25.000
  46      50.640   -25.000
  47      50.360   -25.000
  48      50.160   -25.000
  49      50.040   -25.000
  50      50.000   -25.000
  51      50.040   -25.000
  52      50.160   -25.000
  53      50.360   -25.000
  54      50.640   -25.000
  55      51.000   -25.000
  56      51.440   -25.000
  57      51.960   -25.000
  58      52.560   -25.000
  59      53.240   -25.000
  60      54.000   -25.000
  61      54.840   -25.000
  62      55.760   -25.000
  63      56.760   -25.000
  64      57.840   -25.000
  65      59.000   -25.000
  66      60.240   -25.000
  67      61.560   -25.000
  68      62.960   -25.000
  69      64.440   -25.000
  70      66.000   -25.000
  71      67.640   -25.000
  72      69.360   -25.000
  73      71.160   -25.000
  74      73.040   -25.000
  75      75.000   -25.000
  76      77.040   -25.000
  77      79.160   -25.000
  78      81.360   -25.000
  79      83.640   -25.000
  80      86.000   -25.000
  81      88.440   -25.000
  82      90.960   -25.000
  83      93.560   -25.000
  84      96.240   -25.000
  85      99.000   -25.000
  86     101.840   -25.000
  87     104.760   -25.000
  88     107.760   -25.000
  89     110.840   -25.000
  90     114.000   -25.000
  91     117.240   -25.000
  92     120.560   -25.000
  93     123.960   -25.000
  94     127.440   -25.000
  95     131.000   -25.000
  96     134.640   -25.000
  97     138.360   -25.000
  98     142.160   -25.000
  99     146.040   -25.000
 100     150.000   -25.000
 
 input matrix A
 146.040 -25.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 -25.000 142.160 -25.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000 -25.000 138.360 -25.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000 -25.000 134.640 -25.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000 -25.000 131.000 -25.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000 -25.000 127.440 -25.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
