     0.5171618-314     0.5095798-314
     0.5095798-314     0.5212378-314
     0.5212378-314     0.5224890-314
     0.5224890-314     0.5241818-314
     0.5241818-314     0.5222025-314
     0.5222025-314     0.5224404-314
     0.5224404-314     0.5183705-314
     0.5183705-314     0.5217415-314
     0.5217415-314     0.5055022-314
     0.5055022-314     0.5235960-314
     0.5235960-314     0.5232341-314
     0.5232341-314     0.5199260-314
     0.5199260-314     0.5258565-314
     0.5258565-314     0.5235824-314
     0.5235824-314     0.5104042-314
     0.5104042-314     0.5246189-314
     0.5246189-314     0.5233498-314
     0.5233498-314     0.5204060-314
     0.5204060-314     0.5120260-314
     0.5120260-314     0.5261031-314
     0.5261031-314     0.5254940-314
     0.5254940-314     0.5118639-314
     0.5118639-314     0.5160052-314
     0.5160052-314     0.5237861-314
     0.5237861-314     0.5190518-314
     0.5190518-314     0.5256840-314
     0.5256840-314     0.5210907-314
     0.5210907-314     0.5225008-314
     0.5225008-314     0.5204540-314
     0.5204540-314     0.5122170-314
     0.5122170-314     0.5262267-314
     0.5262267-314     0.5209049-314
     0.5209049-314     0.5222709-314
     0.5222709-314     0.5094742-314
     0.5094742-314     0.5217458-314
     0.5217458-314     0.5107515-314
     0.5107515-314     0.5222305-314
     0.5222305-314     0.5209394-314
     0.5209394-314     0.5141230-314
     0.5141230-314     0.5248369-314
     0.5248369-314     0.5246345-314
     0.5246345-314     0.5233766-314
     0.5233766-314     0.5170052-314
     0.5170052-314     0.5240267-314
     0.5240267-314     0.5179178-314
     0.5179178-314     0.5242480-314
     0.5242480-314     0.5262991-314
     0.5262991-314     0.5103565-314
     0.5103565-314     0.5111336-314
     0.5111336-314     0.5214665-314
     0.5214665-314     0.5193352-314
     0.5193352-314     0.5237572-314
     0.5237572-314     0.5238866-314
     0.5238866-314     0.5230756-314
     0.5230756-314     0.5240181-314
     0.5240181-314     0.5214890-314
     0.5214890-314     0.5120487-314
     0.5120487-314     0.5234927-314
     0.5234927-314     0.5186378-314
     0.5186378-314     0.5178446-314
     0.5178446-314     0.5187894-314
     0.5187894-314     0.5242978-314
     0.5242978-314     0.4941994-314
     0.4941994-314     0.5261665-314
     0.5261665-314     0.5262117-314
     0.5262117-314     0.5228225-314
     0.5228225-314     0.5184735-314
     0.5184735-314     0.5227398-314
     0.5227398-314     0.5181868-314
     0.5181868-314     0.5259505-314
     0.5259505-314     0.5227417-314
     0.5227417-314     0.5260431-314
     0.5260431-314     0.5143876-314
     0.5143876-314     0.5263022-314
     0.5263022-314     0.5241028-314
     0.5241028-314     0.5225813-314
     0.5225813-314     0.5190519-314
     0.5190519-314     0.5166814-314
     0.5166814-314     0.5183088-314
     0.5183088-314     0.5229898-314
     0.5229898-314     0.5170312-314
     0.5170312-314     0.5250538-314
     0.5250538-314     0.5227590-314
     0.5227590-314     0.5226409-314
     0.5226409-314     0.5221240-314
     0.5221240-314     0.5212324-314
     0.5212324-314     0.5260802-314
     0.5260802-314     0.5201332-314
     0.5201332-314     0.5192845-314
     0.5192845-314     0.5195180-314
     0.5195180-314     0.5139336-314
     0.5139336-314     0.5127088-314
     0.5127088-314     0.5171789-314
     0.5171789-314     0.5229374-314
     0.5229374-314     0.5074197-314
     0.5074197-314     0.5224701-314
     0.5224701-314     0.5202888-314
     0.5202888-314     0.5226703-314
     0.5226703-314     0.5244883-314
     0.5244883-314     0.5222803-314
     0.5222803-314     0.5221251-314
     0.5221251-314     0.5147984-314
     0.5147984-314     0.5229918-314
     0.5229918-314     0.5198462-314
     0.5198462-314     0.5241085-314
     0.5241085-314     0.5214062-314
     0.5214062-314     0.5170185-314
     0.5170185-314     0.5204795-314
     0.5204795-314     0.5190907-314
     0.5190907-314     0.5158270-314
     0.5158270-314     0.5194040-314
     0.5194040-314     0.5220746-314
     0.5220746-314     0.5250309-314
     0.5250309-314     0.5190236-314
     0.5190236-314     0.5219557-314
     0.5219557-314     0.5178417-314
     0.5178417-314     0.5185309-314
     0.5185309-314     0.5238544-314
     0.5238544-314     0.5154750-314
     0.5154750-314     0.5142884-314
     0.5142884-314     0.5188415-314
     0.5188415-314     0.5232283-314
     0.5232283-314     0.5230788-314
     0.5230788-314     0.5246879-314
     0.5246879-314     0.5203257-314
     0.5203257-314     0.5225529-314
     0.5225529-314     0.5222917-314
     0.5222917-314     0.5166841-314
     0.5166841-314     0.5255678-314
     0.5255678-314     0.5211758-314
     0.5211758-314     0.5261722-314
     0.5261722-314     0.5214756-314
     0.5214756-314     0.5262955-314
     0.5262955-314     0.5236458-314
     0.5236458-314     0.5154195-314
     0.5154195-314     0.5211376-314
     0.5211376-314     0.5020783-314
     0.5020783-314     0.5122011-314
     0.5122011-314     0.5209486-314
     0.5209486-314     0.5227282-314
     0.5227282-314     0.5261846-314
     0.5261846-314     0.5255894-314
     0.5255894-314     0.5091918-314
     0.5091918-314     0.5202464-314
     0.5202464-314     0.5067495-314
     0.5067495-314     0.5215711-314
     0.5215711-314     0.5257166-314
     0.5257166-314     0.5236393-314
     0.5236393-314     0.5124764-314
     0.5124764-314     0.5109685-314
     0.5109685-314     0.5220863-314
     0.5220863-314     0.5208213-314
     0.5208213-314     0.5136212-314
     0.5136212-314     0.5224172-314
     0.5224172-314     0.5073913-314
     0.5073913-314     0.5241006-314
     0.5241006-314     0.5224858-314
     0.5224858-314     0.5235077-314
     0.5235077-314     0.5173287-314
     0.5173287-314     0.5231834-314
     0.5231834-314     0.5063060-314
     0.5063060-314     0.5223095-314
     0.5223095-314     0.5096004-314
     0.5096004-314     0.5159010-314
     0.5159010-314     0.5228392-314
     0.5228392-314     0.5244913-314
     0.5244913-314     0.5151565-314
     0.5151565-314     0.5231547-314
     0.5231547-314     0.5181950-314
     0.5181950-314     0.5202295-314
     0.5202295-314     0.5243024-314
     0.5243024-314     0.5103253-314
     0.5103253-314     0.5229252-314
     0.5229252-314     0.5241363-314
     0.5241363-314     0.5241592-314
     0.5241592-314     0.5199668-314
     0.5199668-314     0.5166034-314
     0.5166034-314     0.5244947-314
     0.5244947-314     0.5254798-314
     0.5254798-314     0.5262378-314
     0.5262378-314     0.5101576-314
     0.5101576-314     0.5255309-314
     0.5255309-314     0.4986890-314
     0.4986890-314     0.5253201-314
     0.5253201-314     0.5238287-314
     0.5238287-314     0.5208499-314
     0.5208499-314     0.5211818-314
     0.5211818-314     0.5063433-314
     0.5063433-314     0.5260339-314
     0.5260339-314     0.5113688-314
     0.5113688-314     0.5213454-314
     0.5213454-314     0.5251303-314
     0.5251303-314     0.5227511-314
     0.5227511-314     0.5257739-314
     0.5257739-314     0.5201102-314
     0.5201102-314     0.5239432-314
     0.5239432-314     0.5132859-314
     0.5132859-314     0.5193171-314
     0.5193171-314     0.5199368-314
     0.5199368-314     0.5188220-314
     0.5188220-314     0.5221791-314
