           k          N            sum                    ucheck 
 
           1         100            0.5000000            0.0000000
           1       10000            0.4999712            0.0028784
           1      100000            0.4999943            0.0018113
 ---------------------------------------------------------------------------
           3         100            0.2413892            0.0861084
           3       10000            0.2499331            0.0066947
           3      100000            0.2499896            0.0032915
 ---------------------------------------------------------------------------
           7         100            0.1131281            0.1187185
           7       10000            0.1249277            0.0072297
           7      100000            0.1249884            0.0036771
 ---------------------------------------------------------------------------
