 #iteration   1/n           result      n
         0     0.100E+01      0.24       1
         1     0.500E+00      0.28       2
         2     0.250E+00      0.33       4
         3     0.125E+00      0.28       8
         4     0.625E-01      0.30      16
         5     0.312E-01      0.35      32
         6     0.156E-01      0.34      64
         7     0.781E-02      0.36     128
         8     0.391E-02      0.37     256
         9     0.195E-02      0.36     512
        10     0.977E-03      0.37    1024
        11     0.488E-03      0.37    2048
        12     0.244E-03      0.37    4096
        13     0.122E-03      0.37    8192
        14     0.610E-04      0.37   16384
        15     0.305E-04      0.37   32768
